Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483870000000003,LAUCN483870000000004,LAUCN483870000000005,LAUCN483870000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Red River County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5554,4924,630,11.3
2010,Feb,5558,4916,642,11.6
2010,Mar,5651,5006,645,11.4
2010,Apr,5632,5013,619,11.0
2010,May,5616,4984,632,11.3
2010,Jun,5642,4973,669,11.9
2010,Jul,5576,4893,683,12.2
2010,Aug,5520,4869,651,11.8
2010,Sep,5583,4928,655,11.7
2010,Oct,5571,4949,622,11.2
2010,Nov,5544,4898,646,11.7
2010,Dec,5512,4879,633,11.5
2011,Jan,5505,4830,675,12.3
2011,Feb,5473,4815,658,12.0
2011,Mar,5511,4880,631,11.4
2011,Apr,5569,4903,666,12.0
2011,May,5468,4793,675,12.3
2011,Jun,5541,4821,720,13.0
2011,Jul,5605,4872,733,13.1
2011,Aug,5484,4793,691,12.6
2011,Sep,5504,4826,678,12.3
2011,Oct,5461,4809,652,11.9
2011,Nov,5419,4816,603,11.1
2011,Dec,5374,4788,586,10.9
2012,Jan,5329,4709,620,11.6
2012,Feb,5302,4708,594,11.2
2012,Mar,5279,4710,569,10.8
2012,Apr,5293,4759,534,10.1
2012,May,5282,4737,545,10.3
2012,Jun,5331,4719,612,11.5
2012,Jul,5294,4668,626,11.8
2012,Aug,5202,4639,563,10.8
2012,Sep,5225,4692,533,10.2
2012,Oct,5249,4718,531,10.1
2012,Nov,5193,4688,505,9.7
2012,Dec,5174,4649,525,10.1
2013,Jan,5227,4663,564,10.8
2013,Feb,5221,4686,535,10.2
2013,Mar,5175,4638,537,10.4
2013,Apr,5169,4648,521,10.1
2013,May,5188,4663,525,10.1
2013,Jun,5206,4654,552,10.6
2013,Jul,5118,4588,530,10.4
2013,Aug,5039,4518,521,10.3
2013,Sep,5126,4623,503,9.8
2013,Oct,5097,4591,506,9.9
2013,Nov,5084,4621,463,9.1
2013,Dec,5051,4610,441,8.7
2014,Jan,5038,4557,481,9.5
2014,Feb,5033,4590,443,8.8
2014,Mar,5020,4589,431,8.6
2014,Apr,4980,4606,374,7.5
2014,May,4973,4585,388,7.8
2014,Jun,4926,4531,395,8.0
2014,Jul,4897,4494,403,8.2
2014,Aug,4786,4399,387,8.1
2014,Sep,4898,4546,352,7.2
2014,Oct,4934,4604,330,6.7
2014,Nov,4916,4600,316,6.4
2014,Dec,4905,4606,299,6.1
2015,Jan,4930,4571,359,7.3
2015,Feb,4919,4588,331,6.7
2015,Mar,4911,4602,309,6.3
2015,Apr,4854,4564,290,6.0
2015,May,4882,4570,312,6.4
2015,Jun,4912,4598,314,6.4
2015,Jul,4911,4600,311,6.3
2015,Aug,4924,4622,302,6.1
2015,Sep,4907,4602,305,6.2
2015,Oct,4932,4630,302,6.1
2015,Nov,4915,4622,293,6.0
2015,Dec,4926,4644,282,5.7
2016,Jan,4892,4614,278,5.7
2016,Feb,4951,4678,273,5.5
2016,Mar,4959,4684,275,5.5
2016,Apr,4994,4733,261,5.2
2016,May,4993,4732,261,5.2
2016,Jun,5041,4735,306,6.1
2016,Jul,5072,4745,327,6.4
2016,Aug,5099,4784,315,6.2
2016,Sep,5093,4782,311,6.1
2016,Oct,5060,4769,291,5.8
2016,Nov,5073,4780,293,5.8
2016,Dec,5139,4844,295,5.7
2017,Jan,5224,4898,326,6.2
2017,Feb,5246,4934,312,5.9
2017,Mar,5266,4981,285,5.4
2017,Apr,5252,4996,256,4.9
2017,May,5206,4952,254,4.9
2017,Jun,5302,5023,279,5.3
2017,Jul,5202,4918,284,5.5
2017,Aug,5136,4850,286,5.6
2017,Sep,5173,4923,250,4.8
2017,Oct,5120,4883,237,4.6
2017,Nov,5117,4874,243,4.7
2017,Dec,5147,4891,256,5.0
2018,Jan,5132,4852,280,5.5
2018,Feb,5156,4871,285,5.5
2018,Mar,5186,4925,261,5.0
2018,Apr,5085,4831,254,5.0
2018,May,5075,4812,263,5.2
2018,Jun,5124,4818,306,6.0
2018,Jul,5064,4765,299,5.9
2018,Aug,5016,4727,289,5.8
2018,Sep,5057,4771,286,5.7
2018,Oct,5060,4799,261,5.2
2018,Nov,5054,4807,247,4.9
2018,Dec,5042,4792,250,5.0
2019,Jan,5051,4770,281,5.6
2019,Feb,5065,4820,245,4.8
2019,Mar,5063,4828,235,4.6
2019,Apr,5097,4895,202,4.0
2019,May,5084,4882,202,4.0
2019,Jun,5080,4843,237,4.7
2019,Jul,5099,4850,249,4.9
2019,Aug,5184,4918,266,5.1
2019,Sep,5148,4919,229,4.4
2019,Oct,5154,4930,224,4.3
2019,Nov,5138,4910,228,4.4
2019,Dec,5140,4916,224,4.4
2020,Jan,5142,4888,254,4.9
2020,Feb,5159,4916,243,4.7
2020,Mar,5119,4793,326,6.4
2020,Apr,4424,4026,398,9.0
