Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483890000000003,LAUCN483890000000004,LAUCN483890000000005,LAUCN483890000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Reeves County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5637,5054,583,10.3
2010,Feb,5635,5082,553,9.8
2010,Mar,5684,5165,519,9.1
2010,Apr,5811,5323,488,8.4
2010,May,5798,5309,489,8.4
2010,Jun,5884,5336,548,9.3
2010,Jul,5831,5298,533,9.1
2010,Aug,5780,5282,498,8.6
2010,Sep,5837,5357,480,8.2
2010,Oct,5758,5285,473,8.2
2010,Nov,5659,5182,477,8.4
2010,Dec,5653,5192,461,8.2
2011,Jan,5500,5050,450,8.2
2011,Feb,5504,5065,439,8.0
2011,Mar,5611,5173,438,7.8
2011,Apr,5622,5196,426,7.6
2011,May,5526,5108,418,7.6
2011,Jun,5732,5197,535,9.3
2011,Jul,5673,5219,454,8.0
2011,Aug,5644,5199,445,7.9
2011,Sep,5554,5082,472,8.5
2011,Oct,5396,4950,446,8.3
2011,Nov,5351,4936,415,7.8
2011,Dec,5411,5006,405,7.5
2012,Jan,5165,4772,393,7.6
2012,Feb,5179,4805,374,7.2
2012,Mar,5230,4875,355,6.8
2012,Apr,5198,4862,336,6.5
2012,May,5254,4907,347,6.6
2012,Jun,5362,4960,402,7.5
2012,Jul,5461,5054,407,7.5
2012,Aug,5458,5082,376,6.9
2012,Sep,5452,5108,344,6.3
2012,Oct,5466,5123,343,6.3
2012,Nov,5447,5126,321,5.9
2012,Dec,5464,5134,330,6.0
2013,Jan,5505,5149,356,6.5
2013,Feb,5527,5195,332,6.0
2013,Mar,5535,5216,319,5.8
2013,Apr,5578,5269,309,5.5
2013,May,5601,5274,327,5.8
2013,Jun,5712,5334,378,6.6
2013,Jul,5746,5376,370,6.4
2013,Aug,5722,5374,348,6.1
2013,Sep,5659,5338,321,5.7
2013,Oct,5632,5332,300,5.3
2013,Nov,5621,5345,276,4.9
2013,Dec,5729,5464,265,4.6
2014,Jan,5692,5427,265,4.7
2014,Feb,5738,5473,265,4.6
2014,Mar,5732,5479,253,4.4
2014,Apr,5763,5551,212,3.7
2014,May,5797,5561,236,4.1
2014,Jun,5853,5598,255,4.4
2014,Jul,5833,5568,265,4.5
2014,Aug,5791,5553,238,4.1
2014,Sep,5755,5538,217,3.8
2014,Oct,5779,5581,198,3.4
2014,Nov,5740,5544,196,3.4
2014,Dec,5717,5537,180,3.1
2015,Jan,5788,5569,219,3.8
2015,Feb,5734,5510,224,3.9
2015,Mar,5547,5321,226,4.1
2015,Apr,5604,5370,234,4.2
2015,May,5646,5378,268,4.7
2015,Jun,5650,5355,295,5.2
2015,Jul,5694,5389,305,5.4
2015,Aug,5571,5279,292,5.2
2015,Sep,5658,5357,301,5.3
2015,Oct,5729,5415,314,5.5
2015,Nov,5722,5418,304,5.3
2015,Dec,5802,5525,277,4.8
2016,Jan,5942,5658,284,4.8
2016,Feb,5981,5681,300,5.0
2016,Mar,6051,5711,340,5.6
2016,Apr,5995,5640,355,5.9
2016,May,5928,5594,334,5.6
2016,Jun,6042,5692,350,5.8
2016,Jul,6095,5743,352,5.8
2016,Aug,6044,5710,334,5.5
2016,Sep,6088,5760,328,5.4
2016,Oct,6082,5780,302,5.0
2016,Nov,6029,5744,285,4.7
2016,Dec,6087,5815,272,4.5
2017,Jan,6253,5952,301,4.8
2017,Feb,6249,5959,290,4.6
2017,Mar,6425,6174,251,3.9
2017,Apr,6547,6312,235,3.6
2017,May,6704,6467,237,3.5
2017,Jun,6940,6706,234,3.4
2017,Jul,7028,6794,234,3.3
2017,Aug,7301,6995,306,4.2
2017,Sep,7416,7163,253,3.4
2017,Oct,7681,7461,220,2.9
2017,Nov,7716,7497,219,2.8
2017,Dec,7677,7463,214,2.8
2018,Jan,8648,8421,227,2.6
2018,Feb,8746,8525,221,2.5
2018,Mar,8795,8582,213,2.4
2018,Apr,8934,8746,188,2.1
2018,May,9141,8957,184,2.0
2018,Jun,9383,9173,210,2.2
2018,Jul,9403,9197,206,2.2
2018,Aug,9369,9175,194,2.1
2018,Sep,9316,9138,178,1.9
2018,Oct,10424,10259,165,1.6
2018,Nov,10426,10258,168,1.6
2018,Dec,10343,10171,172,1.7
2019,Jan,10867,10678,189,1.7
2019,Feb,11128,10948,180,1.6
2019,Mar,11048,10866,182,1.6
2019,Apr,10936,10774,162,1.5
2019,May,11299,11134,165,1.5
2019,Jun,11572,11366,206,1.8
2019,Jul,11215,11000,215,1.9
2019,Aug,11358,11150,208,1.8
2019,Sep,11259,11047,212,1.9
2019,Oct,12072,11882,190,1.6
2019,Nov,12051,11839,212,1.8
2019,Dec,12031,11823,208,1.7
2020,Jan,12406,12152,254,2.0
2020,Feb,12555,12309,246,2.0
2020,Mar,12358,11976,382,3.1
2020,Apr,10700,10127,573,5.4
