Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483910000000003,LAUCN483910000000004,LAUCN483910000000005,LAUCN483910000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Refugio County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3261,2950,311,9.5
2010,Feb,3279,2969,310,9.5
2010,Mar,3318,3023,295,8.9
2010,Apr,3350,3065,285,8.5
2010,May,3355,3068,287,8.6
2010,Jun,3391,3088,303,8.9
2010,Jul,3341,3035,306,9.2
2010,Aug,3331,3041,290,8.7
2010,Sep,3341,3059,282,8.4
2010,Oct,3322,3049,273,8.2
2010,Nov,3315,3035,280,8.4
2010,Dec,3334,3063,271,8.1
2011,Jan,3369,3086,283,8.4
2011,Feb,3366,3094,272,8.1
2011,Mar,3405,3140,265,7.8
2011,Apr,3389,3138,251,7.4
2011,May,3382,3128,254,7.5
2011,Jun,3461,3176,285,8.2
2011,Jul,3430,3155,275,8.0
2011,Aug,3434,3162,272,7.9
2011,Sep,3439,3175,264,7.7
2011,Oct,3420,3189,231,6.8
2011,Nov,3445,3213,232,6.7
2011,Dec,3485,3266,219,6.3
2012,Jan,3432,3206,226,6.6
2012,Feb,3442,3213,229,6.7
2012,Mar,3468,3259,209,6.0
2012,Apr,3476,3274,202,5.8
2012,May,3514,3310,204,5.8
2012,Jun,3543,3317,226,6.4
2012,Jul,3600,3364,236,6.6
2012,Aug,3523,3304,219,6.2
2012,Sep,3569,3371,198,5.5
2012,Oct,3519,3329,190,5.4
2012,Nov,3506,3320,186,5.3
2012,Dec,3504,3303,201,5.7
2013,Jan,3541,3322,219,6.2
2013,Feb,3532,3323,209,5.9
2013,Mar,3517,3321,196,5.6
2013,Apr,3568,3384,184,5.2
2013,May,3597,3402,195,5.4
2013,Jun,3654,3428,226,6.2
2013,Jul,3640,3427,213,5.9
2013,Aug,3558,3370,188,5.3
2013,Sep,3561,3373,188,5.3
2013,Oct,3557,3382,175,4.9
2013,Nov,3511,3352,159,4.5
2013,Dec,3519,3367,152,4.3
2014,Jan,3588,3425,163,4.5
2014,Feb,3615,3460,155,4.3
2014,Mar,3672,3513,159,4.3
2014,Apr,3640,3495,145,4.0
2014,May,3657,3504,153,4.2
2014,Jun,3645,3482,163,4.5
2014,Jul,3643,3474,169,4.6
2014,Aug,3566,3407,159,4.5
2014,Sep,3577,3425,152,4.2
2014,Oct,3585,3438,147,4.1
2014,Nov,3549,3403,146,4.1
2014,Dec,3519,3388,131,3.7
2015,Jan,3420,3276,144,4.2
2015,Feb,3408,3243,165,4.8
2015,Mar,3436,3269,167,4.9
2015,Apr,3383,3211,172,5.1
2015,May,3392,3213,179,5.3
2015,Jun,3355,3165,190,5.7
2015,Jul,3266,3073,193,5.9
2015,Aug,3213,3022,191,5.9
2015,Sep,3275,3091,184,5.6
2015,Oct,3195,3021,174,5.4
2015,Nov,3196,3018,178,5.6
2015,Dec,3144,2974,170,5.4
2016,Jan,3123,2939,184,5.9
2016,Feb,3166,2983,183,5.8
2016,Mar,3192,3000,192,6.0
2016,Apr,3155,2954,201,6.4
2016,May,3152,2950,202,6.4
2016,Jun,3161,2937,224,7.1
2016,Jul,3111,2881,230,7.4
2016,Aug,3111,2889,222,7.1
2016,Sep,3124,2893,231,7.4
2016,Oct,3117,2899,218,7.0
2016,Nov,3095,2894,201,6.5
2016,Dec,3109,2910,199,6.4
2017,Jan,3115,2908,207,6.6
2017,Feb,3185,2995,190,6.0
2017,Mar,3201,3036,165,5.2
2017,Apr,3296,3143,153,4.6
2017,May,3361,3212,149,4.4
2017,Jun,3331,3167,164,4.9
2017,Jul,3315,3154,161,4.9
2017,Aug,3260,3095,165,5.1
2017,Sep,3248,3013,235,7.2
2017,Oct,3227,3025,202,6.3
2017,Nov,3203,3004,199,6.2
2017,Dec,3160,2977,183,5.8
2018,Jan,3145,2964,181,5.8
2018,Feb,3151,2982,169,5.4
2018,Mar,3188,3031,157,4.9
2018,Apr,3141,2991,150,4.8
2018,May,3165,3025,140,4.4
2018,Jun,3135,2975,160,5.1
2018,Jul,3141,2991,150,4.8
2018,Aug,3104,2972,132,4.3
2018,Sep,3135,3009,126,4.0
2018,Oct,3128,3009,119,3.8
2018,Nov,3099,2983,116,3.7
2018,Dec,3109,2989,120,3.9
2019,Jan,3138,2993,145,4.6
2019,Feb,3145,3018,127,4.0
2019,Mar,3167,3054,113,3.6
2019,Apr,3154,3057,97,3.1
2019,May,3197,3092,105,3.3
2019,Jun,3175,3052,123,3.9
2019,Jul,3144,3019,125,4.0
2019,Aug,3169,3048,121,3.8
2019,Sep,3149,3033,116,3.7
2019,Oct,3164,3042,122,3.9
2019,Nov,3123,3009,114,3.7
2019,Dec,3123,3017,106,3.4
2020,Jan,3137,3009,128,4.1
2020,Feb,3156,3038,118,3.7
2020,Mar,3138,2971,167,5.3
2020,Apr,2790,2473,317,11.4
