Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483930000000003,LAUCN483930000000004,LAUCN483930000000005,LAUCN483930000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Roberts County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,459,430,29,6.3
2010,Feb,462,432,30,6.5
2010,Mar,473,443,30,6.3
2010,Apr,478,452,26,5.4
2010,May,479,453,26,5.4
2010,Jun,496,469,27,5.4
2010,Jul,491,464,27,5.5
2010,Aug,478,455,23,4.8
2010,Sep,480,458,22,4.6
2010,Oct,485,462,23,4.7
2010,Nov,484,458,26,5.4
2010,Dec,498,473,25,5.0
2011,Jan,464,439,25,5.4
2011,Feb,459,436,23,5.0
2011,Mar,484,459,25,5.2
2011,Apr,475,454,21,4.4
2011,May,474,452,22,4.6
2011,Jun,492,466,26,5.3
2011,Jul,487,463,24,4.9
2011,Aug,497,473,24,4.8
2011,Sep,482,458,24,5.0
2011,Oct,478,455,23,4.8
2011,Nov,478,455,23,4.8
2011,Dec,488,466,22,4.5
2012,Jan,464,442,22,4.7
2012,Feb,465,442,23,4.9
2012,Mar,470,444,26,5.5
2012,Apr,477,452,25,5.2
2012,May,474,447,27,5.7
2012,Jun,494,467,27,5.5
2012,Jul,490,465,25,5.1
2012,Aug,473,450,23,4.9
2012,Sep,468,445,23,4.9
2012,Oct,463,443,20,4.3
2012,Nov,459,437,22,4.8
2012,Dec,461,437,24,5.2
2013,Jan,445,420,25,5.6
2013,Feb,445,424,21,4.7
2013,Mar,444,424,20,4.5
2013,Apr,452,434,18,4.0
2013,May,460,441,19,4.1
2013,Jun,475,453,22,4.6
2013,Jul,465,445,20,4.3
2013,Aug,459,438,21,4.6
2013,Sep,452,434,18,4.0
2013,Oct,441,423,18,4.1
2013,Nov,434,416,18,4.1
2013,Dec,430,415,15,3.5
2014,Jan,453,435,18,4.0
2014,Feb,456,437,19,4.2
2014,Mar,455,437,18,4.0
2014,Apr,450,434,16,3.6
2014,May,453,438,15,3.3
2014,Jun,463,445,18,3.9
2014,Jul,461,443,18,3.9
2014,Aug,448,431,17,3.8
2014,Sep,456,441,15,3.3
2014,Oct,446,432,14,3.1
2014,Nov,442,427,15,3.4
2014,Dec,428,415,13,3.0
2015,Jan,440,424,16,3.6
2015,Feb,451,433,18,4.0
2015,Mar,460,442,18,3.9
2015,Apr,459,442,17,3.7
2015,May,478,457,21,4.4
2015,Jun,486,464,22,4.5
2015,Jul,460,441,19,4.1
2015,Aug,457,437,20,4.4
2015,Sep,447,428,19,4.3
2015,Oct,457,439,18,3.9
2015,Nov,436,422,14,3.2
2015,Dec,437,422,15,3.4
2016,Jan,429,413,16,3.7
2016,Feb,443,428,15,3.4
2016,Mar,445,428,17,3.8
2016,Apr,436,421,15,3.4
2016,May,451,431,20,4.4
2016,Jun,456,430,26,5.7
2016,Jul,452,429,23,5.1
2016,Aug,453,430,23,5.1
2016,Sep,437,416,21,4.8
2016,Oct,437,416,21,4.8
2016,Nov,431,411,20,4.6
2016,Dec,426,407,19,4.5
2017,Jan,440,418,22,5.0
2017,Feb,433,410,23,5.3
2017,Mar,450,430,20,4.4
2017,Apr,444,428,16,3.6
2017,May,451,434,17,3.8
2017,Jun,459,443,16,3.5
2017,Jul,438,422,16,3.7
2017,Aug,437,420,17,3.9
2017,Sep,438,424,14,3.2
2017,Oct,435,422,13,3.0
2017,Nov,438,424,14,3.2
2017,Dec,428,416,12,2.8
2018,Jan,429,417,12,2.8
2018,Feb,434,422,12,2.8
2018,Mar,448,436,12,2.7
2018,Apr,429,418,11,2.6
2018,May,432,421,11,2.5
2018,Jun,444,428,16,3.6
2018,Jul,432,418,14,3.2
2018,Aug,432,419,13,3.0
2018,Sep,422,410,12,2.8
2018,Oct,417,406,11,2.6
2018,Nov,419,408,11,2.6
2018,Dec,406,393,13,3.2
2019,Jan,397,382,15,3.8
2019,Feb,404,391,13,3.2
2019,Mar,414,401,13,3.1
2019,Apr,405,392,13,3.2
2019,May,416,403,13,3.1
2019,Jun,432,417,15,3.5
2019,Jul,428,413,15,3.5
2019,Aug,434,421,13,3.0
2019,Sep,423,412,11,2.6
2019,Oct,428,417,11,2.6
2019,Nov,415,405,10,2.4
2019,Dec,416,406,10,2.4
2020,Jan,414,402,12,2.9
2020,Feb,417,405,12,2.9
2020,Mar,419,399,20,4.8
2020,Apr,356,334,22,6.2
