Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483950000000003,LAUCN483950000000004,LAUCN483950000000005,LAUCN483950000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Robertson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7317,6585,732,10.0
2010,Feb,7497,6783,714,9.5
2010,Mar,7561,6862,699,9.2
2010,Apr,7687,7033,654,8.5
2010,May,7625,6968,657,8.6
2010,Jun,7442,6707,735,9.9
2010,Jul,7496,6778,718,9.6
2010,Aug,7383,6669,714,9.7
2010,Sep,7661,6998,663,8.7
2010,Oct,7675,7000,675,8.8
2010,Nov,7701,7002,699,9.1
2010,Dec,7687,6990,697,9.1
2011,Jan,7454,6725,729,9.8
2011,Feb,7560,6850,710,9.4
2011,Mar,7616,6907,709,9.3
2011,Apr,7617,6948,669,8.8
2011,May,7567,6884,683,9.0
2011,Jun,7457,6702,755,10.1
2011,Jul,7451,6712,739,9.9
2011,Aug,7427,6726,701,9.4
2011,Sep,7635,6930,705,9.2
2011,Oct,7571,6923,648,8.6
2011,Nov,7606,6961,645,8.5
2011,Dec,7562,6941,621,8.2
2012,Jan,7022,6394,628,8.9
2012,Feb,7238,6619,619,8.6
2012,Mar,7246,6641,605,8.3
2012,Apr,7340,6777,563,7.7
2012,May,7404,6821,583,7.9
2012,Jun,7289,6657,632,8.7
2012,Jul,7195,6569,626,8.7
2012,Aug,7080,6495,585,8.3
2012,Sep,7387,6831,556,7.5
2012,Oct,7451,6900,551,7.4
2012,Nov,7442,6909,533,7.2
2012,Dec,7388,6838,550,7.4
2013,Jan,7094,6497,597,8.4
2013,Feb,7291,6725,566,7.8
2013,Mar,7252,6726,526,7.3
2013,Apr,7266,6768,498,6.9
2013,May,7351,6835,516,7.0
2013,Jun,7211,6637,574,8.0
2013,Jul,7108,6565,543,7.6
2013,Aug,7126,6629,497,7.0
2013,Sep,7452,6973,479,6.4
2013,Oct,7472,7008,464,6.2
2013,Nov,7460,7007,453,6.1
2013,Dec,7382,6965,417,5.6
2014,Jan,6984,6547,437,6.3
2014,Feb,7226,6797,429,5.9
2014,Mar,7223,6811,412,5.7
2014,Apr,7205,6861,344,4.8
2014,May,7268,6885,383,5.3
2014,Jun,7071,6662,409,5.8
2014,Jul,7038,6608,430,6.1
2014,Aug,6997,6584,413,5.9
2014,Sep,7218,6843,375,5.2
2014,Oct,7260,6922,338,4.7
2014,Nov,7252,6918,334,4.6
2014,Dec,7130,6823,307,4.3
2015,Jan,7263,6910,353,4.9
2015,Feb,7377,7047,330,4.5
2015,Mar,7395,7087,308,4.2
2015,Apr,7252,6937,315,4.3
2015,May,7340,7001,339,4.6
2015,Jun,7102,6728,374,5.3
2015,Jul,7017,6628,389,5.5
2015,Aug,7008,6645,363,5.2
2015,Sep,7284,6930,354,4.9
2015,Oct,7358,7018,340,4.6
2015,Nov,7337,6994,343,4.7
2015,Dec,7253,6922,331,4.6
2016,Jan,7106,6764,342,4.8
2016,Feb,7319,6980,339,4.6
2016,Mar,7364,7010,354,4.8
2016,Apr,7308,6967,341,4.7
2016,May,7396,7052,344,4.7
2016,Jun,7127,6722,405,5.7
2016,Jul,7061,6643,418,5.9
2016,Aug,7008,6615,393,5.6
2016,Sep,7312,6929,383,5.2
2016,Oct,7352,6991,361,4.9
2016,Nov,7372,7014,358,4.9
2016,Dec,7301,6940,361,4.9
2017,Jan,7319,6894,425,5.8
2017,Feb,7517,7129,388,5.2
2017,Mar,7622,7256,366,4.8
2017,Apr,7540,7214,326,4.3
2017,May,7496,7158,338,4.5
2017,Jun,7214,6836,378,5.2
2017,Jul,7215,6845,370,5.1
2017,Aug,7181,6805,376,5.2
2017,Sep,7486,7170,316,4.2
2017,Oct,7591,7297,294,3.9
2017,Nov,7631,7307,324,4.2
2017,Dec,7555,7237,318,4.2
2018,Jan,7382,7035,347,4.7
2018,Feb,7592,7268,324,4.3
2018,Mar,7678,7367,311,4.1
2018,Apr,7587,7298,289,3.8
2018,May,7589,7296,293,3.9
2018,Jun,7327,6978,349,4.8
2018,Jul,7315,6977,338,4.6
2018,Aug,7312,6983,329,4.5
2018,Sep,7628,7326,302,4.0
2018,Oct,7696,7396,300,3.9
2018,Nov,7746,7464,282,3.6
2018,Dec,7573,7292,281,3.7
2019,Jan,7488,7165,323,4.3
2019,Feb,7767,7464,303,3.9
2019,Mar,7813,7535,278,3.6
2019,Apr,7660,7428,232,3.0
2019,May,7652,7407,245,3.2
2019,Jun,7396,7110,286,3.9
2019,Jul,7396,7107,289,3.9
2019,Aug,7453,7168,285,3.8
2019,Sep,7745,7482,263,3.4
2019,Oct,7889,7629,260,3.3
2019,Nov,7866,7606,260,3.3
2019,Dec,7753,7500,253,3.3
2020,Jan,7691,7396,295,3.8
2020,Feb,7930,7641,289,3.6
2020,Mar,7822,7418,404,5.2
2020,Apr,6911,6309,602,8.7
