Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483970000000003,LAUCN483970000000004,LAUCN483970000000005,LAUCN483970000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Rockwall County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,38797,35715,3082,7.9
2010,Feb,38821,35842,2979,7.7
2010,Mar,38934,36003,2931,7.5
2010,Apr,39386,36541,2845,7.2
2010,May,39291,36476,2815,7.2
2010,Jun,39468,36461,3007,7.6
2010,Jul,39635,36667,2968,7.5
2010,Aug,39672,36755,2917,7.4
2010,Sep,39717,36856,2861,7.2
2010,Oct,39756,36933,2823,7.1
2010,Nov,39919,36974,2945,7.4
2010,Dec,39867,37064,2803,7.0
2011,Jan,40195,37154,3041,7.6
2011,Feb,40245,37273,2972,7.4
2011,Mar,40384,37470,2914,7.2
2011,Apr,40393,37628,2765,6.8
2011,May,40450,37632,2818,7.0
2011,Jun,40668,37543,3125,7.7
2011,Jul,40749,37669,3080,7.6
2011,Aug,40689,37718,2971,7.3
2011,Sep,40935,37998,2937,7.2
2011,Oct,40987,38205,2782,6.8
2011,Nov,40892,38282,2610,6.4
2011,Dec,40808,38272,2536,6.2
2012,Jan,40728,38048,2680,6.6
2012,Feb,40907,38253,2654,6.5
2012,Mar,40955,38387,2568,6.3
2012,Apr,40938,38533,2405,5.9
2012,May,41103,38582,2521,6.1
2012,Jun,41392,38558,2834,6.8
2012,Jul,41350,38555,2795,6.8
2012,Aug,41119,38505,2614,6.4
2012,Sep,41348,38933,2415,5.8
2012,Oct,41519,39133,2386,5.7
2012,Nov,41485,39155,2330,5.6
2012,Dec,41495,39150,2345,5.7
2013,Jan,41766,39103,2663,6.4
2013,Feb,41725,39213,2512,6.0
2013,Mar,41766,39305,2461,5.9
2013,Apr,41931,39638,2293,5.5
2013,May,42155,39732,2423,5.7
2013,Jun,42493,39756,2737,6.4
2013,Jul,42577,39945,2632,6.2
2013,Aug,42527,40013,2514,5.9
2013,Sep,42610,40206,2404,5.6
2013,Oct,42384,40049,2335,5.5
2013,Nov,42745,40572,2173,5.1
2013,Dec,42628,40591,2037,4.8
2014,Jan,42919,40806,2113,4.9
2014,Feb,43071,40912,2159,5.0
2014,Mar,43247,41102,2145,5.0
2014,Apr,43125,41355,1770,4.1
2014,May,43258,41329,1929,4.5
2014,Jun,43523,41413,2110,4.8
2014,Jul,43749,41547,2202,5.0
2014,Aug,43668,41558,2110,4.8
2014,Sep,43656,41750,1906,4.4
2014,Oct,43762,41988,1774,4.1
2014,Nov,43888,42161,1727,3.9
2014,Dec,43704,42129,1575,3.6
2015,Jan,44279,42467,1812,4.1
2015,Feb,44327,42613,1714,3.9
2015,Mar,44313,42619,1694,3.8
2015,Apr,44605,43086,1519,3.4
2015,May,44759,43135,1624,3.6
2015,Jun,44969,43150,1819,4.0
2015,Jul,45152,43311,1841,4.1
2015,Aug,45046,43360,1686,3.7
2015,Sep,45032,43367,1665,3.7
2015,Oct,45282,43636,1646,3.6
2015,Nov,45545,43913,1632,3.6
2015,Dec,45555,44026,1529,3.4
2016,Jan,46377,44785,1592,3.4
2016,Feb,46707,45134,1573,3.4
2016,Mar,46864,45216,1648,3.5
2016,Apr,46877,45436,1441,3.1
2016,May,46915,45456,1459,3.1
2016,Jun,47344,45523,1821,3.8
2016,Jul,47634,45768,1866,3.9
2016,Aug,47591,45778,1813,3.8
2016,Sep,47709,45965,1744,3.7
2016,Oct,47843,46162,1681,3.5
2016,Nov,48037,46436,1601,3.3
2016,Dec,48043,46411,1632,3.4
2017,Jan,48320,46533,1787,3.7
2017,Feb,48650,46826,1824,3.7
2017,Mar,48582,46876,1706,3.5
2017,Apr,48709,47172,1537,3.2
2017,May,48581,47016,1565,3.2
2017,Jun,48846,47132,1714,3.5
2017,Jul,49160,47423,1737,3.5
2017,Aug,49039,47324,1715,3.5
2017,Sep,49433,47849,1584,3.2
2017,Oct,49241,47762,1479,3.0
2017,Nov,49631,48072,1559,3.1
2017,Dec,49506,47979,1527,3.1
2018,Jan,50406,48709,1697,3.4
2018,Feb,50850,49104,1746,3.4
2018,Mar,50666,48975,1691,3.3
2018,Apr,50661,49140,1521,3.0
2018,May,50635,49110,1525,3.0
2018,Jun,50922,49153,1769,3.5
2018,Jul,51114,49408,1706,3.3
2018,Aug,50719,49030,1689,3.3
2018,Sep,50987,49389,1598,3.1
2018,Oct,51189,49654,1535,3.0
2018,Nov,51465,49938,1527,3.0
2018,Dec,51527,49936,1591,3.1
2019,Jan,51456,49650,1806,3.5
2019,Feb,51596,49933,1663,3.2
2019,Mar,51489,49882,1607,3.1
2019,Apr,51427,50061,1366,2.7
2019,May,51486,50039,1447,2.8
2019,Jun,51948,50255,1693,3.3
2019,Jul,52299,50563,1736,3.3
2019,Aug,52223,50508,1715,3.3
2019,Sep,52557,50955,1602,3.0
2019,Oct,52629,51081,1548,2.9
2019,Nov,52915,51363,1552,2.9
2019,Dec,52962,51488,1474,2.8
2020,Jan,52817,51155,1662,3.1
2020,Feb,53118,51523,1595,3.0
2020,Mar,51985,49756,2229,4.3
2020,Apr,48212,42513,5699,11.8
