Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483990000000003,LAUCN483990000000004,LAUCN483990000000005,LAUCN483990000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Runnels County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5055,4593,462,9.1
2010,Feb,5035,4584,451,9.0
2010,Mar,5090,4654,436,8.6
2010,Apr,5174,4763,411,7.9
2010,May,5106,4710,396,7.8
2010,Jun,5250,4809,441,8.4
2010,Jul,5248,4736,512,9.8
2010,Aug,5165,4680,485,9.4
2010,Sep,5155,4700,455,8.8
2010,Oct,5082,4725,357,7.0
2010,Nov,5077,4713,364,7.2
2010,Dec,5110,4761,349,6.8
2011,Jan,5042,4666,376,7.5
2011,Feb,5002,4631,371,7.4
2011,Mar,5064,4700,364,7.2
2011,Apr,5066,4725,341,6.7
2011,May,5081,4737,344,6.8
2011,Jun,5157,4746,411,8.0
2011,Jul,5101,4699,402,7.9
2011,Aug,5202,4729,473,9.1
2011,Sep,5224,4762,462,8.8
2011,Oct,5095,4756,339,6.7
2011,Nov,5104,4795,309,6.1
2011,Dec,5161,4862,299,5.8
2012,Jan,4983,4672,311,6.2
2012,Feb,4954,4655,299,6.0
2012,Mar,4984,4702,282,5.7
2012,Apr,5094,4830,264,5.2
2012,May,5183,4908,275,5.3
2012,Jun,5143,4847,296,5.8
2012,Jul,5059,4767,292,5.8
2012,Aug,4949,4617,332,6.7
2012,Sep,5060,4761,299,5.9
2012,Oct,5136,4893,243,4.7
2012,Nov,5101,4868,233,4.6
2012,Dec,5085,4849,236,4.6
2013,Jan,4952,4683,269,5.4
2013,Feb,4966,4702,264,5.3
2013,Mar,4931,4679,252,5.1
2013,Apr,4977,4736,241,4.8
2013,May,5023,4757,266,5.3
2013,Jun,5130,4829,301,5.9
2013,Jul,5039,4751,288,5.7
2013,Aug,4938,4630,308,6.2
2013,Sep,4971,4676,295,5.9
2013,Oct,4985,4747,238,4.8
2013,Nov,4904,4684,220,4.5
2013,Dec,4938,4733,205,4.2
2014,Jan,4948,4730,218,4.4
2014,Feb,5013,4791,222,4.4
2014,Mar,5033,4818,215,4.3
2014,Apr,5056,4872,184,3.6
2014,May,5168,4962,206,4.0
2014,Jun,5216,4973,243,4.7
2014,Jul,5069,4818,251,5.0
2014,Aug,4891,4653,238,4.9
2014,Sep,4925,4706,219,4.4
2014,Oct,4847,4656,191,3.9
2014,Nov,4804,4623,181,3.8
2014,Dec,4765,4603,162,3.4
2015,Jan,4695,4503,192,4.1
2015,Feb,4757,4582,175,3.7
2015,Mar,4766,4595,171,3.6
2015,Apr,4750,4587,163,3.4
2015,May,4834,4652,182,3.8
2015,Jun,4800,4607,193,4.0
2015,Jul,4703,4517,186,4.0
2015,Aug,4615,4443,172,3.7
2015,Sep,4620,4453,167,3.6
2015,Oct,4546,4385,161,3.5
2015,Nov,4466,4304,162,3.6
2015,Dec,4504,4353,151,3.4
2016,Jan,4578,4410,168,3.7
2016,Feb,4720,4551,169,3.6
2016,Mar,4726,4548,178,3.8
2016,Apr,4734,4574,160,3.4
2016,May,4773,4612,161,3.4
2016,Jun,4738,4541,197,4.2
2016,Jul,4685,4467,218,4.7
2016,Aug,4674,4471,203,4.3
2016,Sep,4600,4394,206,4.5
2016,Oct,4546,4353,193,4.2
2016,Nov,4506,4330,176,3.9
2016,Dec,4472,4300,172,3.8
2017,Jan,4481,4291,190,4.2
2017,Feb,4514,4332,182,4.0
2017,Mar,4704,4529,175,3.7
2017,Apr,4644,4485,159,3.4
2017,May,4684,4506,178,3.8
2017,Jun,4644,4455,189,4.1
2017,Jul,4507,4321,186,4.1
2017,Aug,4511,4335,176,3.9
2017,Sep,4508,4357,151,3.3
2017,Oct,4613,4468,145,3.1
2017,Nov,4544,4394,150,3.3
2017,Dec,4600,4458,142,3.1
2018,Jan,4538,4382,156,3.4
2018,Feb,4561,4400,161,3.5
2018,Mar,4650,4494,156,3.4
2018,Apr,4620,4480,140,3.0
2018,May,4679,4542,137,2.9
2018,Jun,4649,4489,160,3.4
2018,Jul,4601,4452,149,3.2
2018,Aug,4568,4429,139,3.0
2018,Sep,4560,4430,130,2.9
2018,Oct,4519,4396,123,2.7
2018,Nov,4514,4389,125,2.8
2018,Dec,4457,4328,129,2.9
2019,Jan,4477,4326,151,3.4
2019,Feb,4514,4378,136,3.0
2019,Mar,4569,4437,132,2.9
2019,Apr,4585,4480,105,2.3
2019,May,4638,4530,108,2.3
2019,Jun,4656,4518,138,3.0
2019,Jul,4638,4502,136,2.9
2019,Aug,4646,4511,135,2.9
2019,Sep,4632,4507,125,2.7
2019,Oct,4673,4545,128,2.7
2019,Nov,4595,4466,129,2.8
2019,Dec,4618,4498,120,2.6
2020,Jan,4598,4455,143,3.1
2020,Feb,4634,4487,147,3.2
2020,Mar,4601,4386,215,4.7
2020,Apr,3996,3687,309,7.7
