Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484010000000003,LAUCN484010000000004,LAUCN484010000000005,LAUCN484010000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Rusk County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,23399,21292,2107,9.0
2010,Feb,23466,21519,1947,8.3
2010,Mar,23740,21836,1904,8.0
2010,Apr,24031,22226,1805,7.5
2010,May,23858,22072,1786,7.5
2010,Jun,23962,22025,1937,8.1
2010,Jul,24072,22153,1919,8.0
2010,Aug,24092,22221,1871,7.8
2010,Sep,24231,22410,1821,7.5
2010,Oct,24354,22581,1773,7.3
2010,Nov,24307,22469,1838,7.6
2010,Dec,24019,22285,1734,7.2
2011,Jan,23991,22174,1817,7.6
2011,Feb,23966,22233,1733,7.2
2011,Mar,24033,22373,1660,6.9
2011,Apr,24209,22577,1632,6.7
2011,May,24102,22431,1671,6.9
2011,Jun,24191,22291,1900,7.9
2011,Jul,24349,22505,1844,7.6
2011,Aug,24472,22691,1781,7.3
2011,Sep,24520,22779,1741,7.1
2011,Oct,24561,22890,1671,6.8
2011,Nov,24550,22976,1574,6.4
2011,Dec,24490,22994,1496,6.1
2012,Jan,24445,22881,1564,6.4
2012,Feb,24509,22975,1534,6.3
2012,Mar,24715,23214,1501,6.1
2012,Apr,24747,23336,1411,5.7
2012,May,24658,23145,1513,6.1
2012,Jun,24715,22999,1716,6.9
2012,Jul,24666,22931,1735,7.0
2012,Aug,24434,22811,1623,6.6
2012,Sep,24583,23039,1544,6.3
2012,Oct,24648,23166,1482,6.0
2012,Nov,24561,23127,1434,5.8
2012,Dec,24396,22925,1471,6.0
2013,Jan,24365,22689,1676,6.9
2013,Feb,24423,22885,1538,6.3
2013,Mar,24437,22944,1493,6.1
2013,Apr,24423,23031,1392,5.7
2013,May,24353,22877,1476,6.1
2013,Jun,24484,22833,1651,6.7
2013,Jul,24476,22809,1667,6.8
2013,Aug,24264,22676,1588,6.5
2013,Sep,24292,22752,1540,6.3
2013,Oct,24054,22591,1463,6.1
2013,Nov,24097,22751,1346,5.6
2013,Dec,24071,22777,1294,5.4
2014,Jan,23995,22648,1347,5.6
2014,Feb,24133,22782,1351,5.6
2014,Mar,24148,22832,1316,5.4
2014,Apr,24189,23080,1109,4.6
2014,May,24266,23064,1202,5.0
2014,Jun,24409,23125,1284,5.3
2014,Jul,24389,23066,1323,5.4
2014,Aug,24303,23049,1254,5.2
2014,Sep,24374,23242,1132,4.6
2014,Oct,24300,23270,1030,4.2
2014,Nov,24282,23245,1037,4.3
2014,Dec,24030,23098,932,3.9
2015,Jan,23282,22257,1025,4.4
2015,Feb,23175,22191,984,4.2
2015,Mar,23004,22039,965,4.2
2015,Apr,22882,21949,933,4.1
2015,May,22901,21822,1079,4.7
2015,Jun,22799,21617,1182,5.2
2015,Jul,22778,21541,1237,5.4
2015,Aug,22668,21513,1155,5.1
2015,Sep,22609,21476,1133,5.0
2015,Oct,22672,21554,1118,4.9
2015,Nov,22778,21667,1111,4.9
2015,Dec,22614,21518,1096,4.8
2016,Jan,22293,21154,1139,5.1
2016,Feb,22496,21325,1171,5.2
2016,Mar,22604,21405,1199,5.3
2016,Apr,22404,21241,1163,5.2
2016,May,22340,21151,1189,5.3
2016,Jun,22442,20999,1443,6.4
2016,Jul,22347,20884,1463,6.5
2016,Aug,22365,20875,1490,6.7
2016,Sep,22381,20914,1467,6.6
2016,Oct,22325,21004,1321,5.9
2016,Nov,22239,20950,1289,5.8
2016,Dec,22115,20838,1277,5.8
2017,Jan,22159,20754,1405,6.3
2017,Feb,22239,20903,1336,6.0
2017,Mar,22290,21072,1218,5.5
2017,Apr,22176,21063,1113,5.0
2017,May,21991,20934,1057,4.8
2017,Jun,22155,21004,1151,5.2
2017,Jul,22121,20976,1145,5.2
2017,Aug,22064,20944,1120,5.1
2017,Sep,22160,21117,1043,4.7
2017,Oct,22030,21069,961,4.4
2017,Nov,22025,21061,964,4.4
2017,Dec,22087,21129,958,4.3
2018,Jan,22556,21486,1070,4.7
2018,Feb,22755,21724,1031,4.5
2018,Mar,22915,21959,956,4.2
2018,Apr,22856,21990,866,3.8
2018,May,22810,21976,834,3.7
2018,Jun,22864,21853,1011,4.4
2018,Jul,22794,21852,942,4.1
2018,Aug,22674,21748,926,4.1
2018,Sep,22777,21890,887,3.9
2018,Oct,22756,21912,844,3.7
2018,Nov,22734,21910,824,3.6
2018,Dec,22722,21858,864,3.8
2019,Jan,22943,21987,956,4.2
2019,Feb,23031,22188,843,3.7
2019,Mar,23034,22251,783,3.4
2019,Apr,23005,22341,664,2.9
2019,May,22997,22278,719,3.1
2019,Jun,22996,22138,858,3.7
2019,Jul,23085,22187,898,3.9
2019,Aug,23106,22239,867,3.8
2019,Sep,23185,22361,824,3.6
2019,Oct,23243,22436,807,3.5
2019,Nov,23193,22354,839,3.6
2019,Dec,23065,22247,818,3.5
2020,Jan,23036,22051,985,4.3
2020,Feb,22975,22051,924,4.0
2020,Mar,22561,21297,1264,5.6
2020,Apr,20319,18220,2099,10.3
