Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484030000000003,LAUCN484030000000004,LAUCN484030000000005,LAUCN484030000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Sabine County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3679,3023,656,17.8
2010,Feb,3657,3033,624,17.1
2010,Mar,3691,3059,632,17.1
2010,Apr,3684,3084,600,16.3
2010,May,3692,3097,595,16.1
2010,Jun,3766,3161,605,16.1
2010,Jul,3737,3158,579,15.5
2010,Aug,3699,3130,569,15.4
2010,Sep,3673,3100,573,15.6
2010,Oct,3540,3005,535,15.1
2010,Nov,3523,2928,595,16.9
2010,Dec,3514,2923,591,16.8
2011,Jan,3448,2856,592,17.2
2011,Feb,3425,2845,580,16.9
2011,Mar,3447,2886,561,16.3
2011,Apr,3463,2922,541,15.6
2011,May,3470,2924,546,15.7
2011,Jun,3568,2974,594,16.6
2011,Jul,3548,2981,567,16.0
2011,Aug,3524,2971,553,15.7
2011,Sep,3457,2938,519,15.0
2011,Oct,3385,2894,491,14.5
2011,Nov,3408,2917,491,14.4
2011,Dec,3395,2895,500,14.7
2012,Jan,3354,2828,526,15.7
2012,Feb,3319,2814,505,15.2
2012,Mar,3284,2798,486,14.8
2012,Apr,3304,2835,469,14.2
2012,May,3325,2835,490,14.7
2012,Jun,3404,2870,534,15.7
2012,Jul,3422,2876,546,16.0
2012,Aug,3388,2900,488,14.4
2012,Sep,3446,2973,473,13.7
2012,Oct,3450,3000,450,13.0
2012,Nov,3447,2996,451,13.1
2012,Dec,3512,3018,494,14.1
2013,Jan,3560,3042,518,14.6
2013,Feb,3555,3066,489,13.8
2013,Mar,3503,3056,447,12.8
2013,Apr,3609,3173,436,12.1
2013,May,3629,3159,470,13.0
2013,Jun,3614,3119,495,13.7
2013,Jul,3616,3157,459,12.7
2013,Aug,3592,3133,459,12.8
2013,Sep,3568,3122,446,12.5
2013,Oct,3478,3050,428,12.3
2013,Nov,3501,3058,443,12.7
2013,Dec,3509,3080,429,12.2
2014,Jan,3579,3149,430,12.0
2014,Feb,3585,3163,422,11.8
2014,Mar,3565,3165,400,11.2
2014,Apr,3537,3183,354,10.0
2014,May,3571,3190,381,10.7
2014,Jun,3578,3205,373,10.4
2014,Jul,3623,3239,384,10.6
2014,Aug,3554,3167,387,10.9
2014,Sep,3562,3216,346,9.7
2014,Oct,3501,3180,321,9.2
2014,Nov,3457,3111,346,10.0
2014,Dec,3440,3091,349,10.1
2015,Jan,3555,3198,357,10.0
2015,Feb,3499,3182,317,9.1
2015,Mar,3487,3180,307,8.8
2015,Apr,3515,3218,297,8.4
2015,May,3474,3148,326,9.4
2015,Jun,3505,3167,338,9.6
2015,Jul,3499,3165,334,9.5
2015,Aug,3541,3218,323,9.1
2015,Sep,3491,3178,313,9.0
2015,Oct,3472,3155,317,9.1
2015,Nov,3493,3153,340,9.7
2015,Dec,3491,3155,336,9.6
2016,Jan,3434,3120,314,9.1
2016,Feb,3467,3168,299,8.6
2016,Mar,3481,3172,309,8.9
2016,Apr,3491,3208,283,8.1
2016,May,3485,3190,295,8.5
2016,Jun,3482,3157,325,9.3
2016,Jul,3483,3126,357,10.2
2016,Aug,3449,3103,346,10.0
2016,Sep,3494,3145,349,10.0
2016,Oct,3445,3142,303,8.8
2016,Nov,3568,3222,346,9.7
2016,Dec,3490,3109,381,10.9
2017,Jan,3533,3132,401,11.4
2017,Feb,3534,3167,367,10.4
2017,Mar,3526,3199,327,9.3
2017,Apr,3537,3225,312,8.8
2017,May,3571,3289,282,7.9
2017,Jun,3592,3291,301,8.4
2017,Jul,3590,3287,303,8.4
2017,Aug,3555,3257,298,8.4
2017,Sep,3564,3298,266,7.5
2017,Oct,3637,3396,241,6.6
2017,Nov,3611,3339,272,7.5
2017,Dec,3630,3321,309,8.5
2018,Jan,3621,3274,347,9.6
2018,Feb,3589,3285,304,8.5
2018,Mar,3612,3322,290,8.0
2018,Apr,3551,3282,269,7.6
2018,May,3548,3290,258,7.3
2018,Jun,3609,3305,304,8.4
2018,Jul,3565,3284,281,7.9
2018,Aug,3525,3245,280,7.9
2018,Sep,3482,3228,254,7.3
2018,Oct,3487,3259,228,6.5
2018,Nov,3466,3232,234,6.8
2018,Dec,3470,3175,295,8.5
2019,Jan,3747,3425,322,8.6
2019,Feb,3748,3482,266,7.1
2019,Mar,3732,3492,240,6.4
2019,Apr,3723,3527,196,5.3
2019,May,3757,3547,210,5.6
2019,Jun,3813,3543,270,7.1
2019,Jul,3847,3567,280,7.3
2019,Aug,3783,3534,249,6.6
2019,Sep,3716,3487,229,6.2
2019,Oct,3670,3450,220,6.0
2019,Nov,3663,3423,240,6.6
2019,Dec,3644,3403,241,6.6
2020,Jan,3715,3423,292,7.9
2020,Feb,3696,3438,258,7.0
2020,Mar,3728,3363,365,9.8
2020,Apr,3409,2825,584,17.1
