Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484050000000003,LAUCN484050000000004,LAUCN484050000000005,LAUCN484050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"San Augustine County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3074,2635,439,14.3
2010,Feb,3110,2699,411,13.2
2010,Mar,3155,2746,409,13.0
2010,Apr,3185,2773,412,12.9
2010,May,3233,2811,422,13.1
2010,Jun,3271,2828,443,13.5
2010,Jul,3280,2844,436,13.3
2010,Aug,3219,2811,408,12.7
2010,Sep,3210,2806,404,12.6
2010,Oct,3179,2794,385,12.1
2010,Nov,3208,2815,393,12.3
2010,Dec,3192,2784,408,12.8
2011,Jan,3183,2724,459,14.4
2011,Feb,3163,2717,446,14.1
2011,Mar,3192,2738,454,14.2
2011,Apr,3170,2737,433,13.7
2011,May,3153,2703,450,14.3
2011,Jun,3164,2702,462,14.6
2011,Jul,3179,2731,448,14.1
2011,Aug,3243,2713,530,16.3
2011,Sep,3125,2689,436,14.0
2011,Oct,3079,2661,418,13.6
2011,Nov,3102,2691,411,13.2
2011,Dec,3092,2687,405,13.1
2012,Jan,3082,2684,398,12.9
2012,Feb,3030,2648,382,12.6
2012,Mar,3081,2699,382,12.4
2012,Apr,3010,2654,356,11.8
2012,May,3030,2667,363,12.0
2012,Jun,3054,2670,384,12.6
2012,Jul,3068,2681,387,12.6
2012,Aug,3058,2689,369,12.1
2012,Sep,2991,2639,352,11.8
2012,Oct,2987,2647,340,11.4
2012,Nov,2974,2641,333,11.2
2012,Dec,2952,2600,352,11.9
2013,Jan,2931,2553,378,12.9
2013,Feb,2907,2558,349,12.0
2013,Mar,2908,2561,347,11.9
2013,Apr,2945,2613,332,11.3
2013,May,2993,2667,326,10.9
2013,Jun,3014,2650,364,12.1
2013,Jul,3028,2668,360,11.9
2013,Aug,2973,2632,341,11.5
2013,Sep,2945,2599,346,11.7
2013,Oct,2880,2544,336,11.7
2013,Nov,2847,2534,313,11.0
2013,Dec,2860,2558,302,10.6
2014,Jan,2837,2532,305,10.8
2014,Feb,2857,2544,313,11.0
2014,Mar,2834,2546,288,10.2
2014,Apr,2822,2573,249,8.8
2014,May,2829,2567,262,9.3
2014,Jun,2835,2575,260,9.2
2014,Jul,2901,2624,277,9.5
2014,Aug,2852,2574,278,9.7
2014,Sep,2840,2563,277,9.8
2014,Oct,2801,2558,243,8.7
2014,Nov,2793,2543,250,9.0
2014,Dec,2747,2509,238,8.7
2015,Jan,2787,2536,251,9.0
2015,Feb,2804,2567,237,8.5
2015,Mar,2804,2563,241,8.6
2015,Apr,2818,2573,245,8.7
2015,May,2823,2574,249,8.8
2015,Jun,2873,2603,270,9.4
2015,Jul,2847,2576,271,9.5
2015,Aug,2802,2534,268,9.6
2015,Sep,2744,2482,262,9.5
2015,Oct,2775,2526,249,9.0
2015,Nov,2757,2505,252,9.1
2015,Dec,2754,2510,244,8.9
2016,Jan,2770,2520,250,9.0
2016,Feb,2823,2583,240,8.5
2016,Mar,2816,2570,246,8.7
2016,Apr,2845,2610,235,8.3
2016,May,2840,2608,232,8.2
2016,Jun,2817,2559,258,9.2
2016,Jul,2823,2561,262,9.3
2016,Aug,2806,2541,265,9.4
2016,Sep,2813,2544,269,9.6
2016,Oct,2757,2510,247,9.0
2016,Nov,2743,2496,247,9.0
2016,Dec,2770,2524,246,8.9
2017,Jan,2822,2542,280,9.9
2017,Feb,2837,2592,245,8.6
2017,Mar,2874,2643,231,8.0
2017,Apr,2846,2639,207,7.3
2017,May,2868,2664,204,7.1
2017,Jun,2871,2661,210,7.3
2017,Jul,2858,2640,218,7.6
2017,Aug,2818,2603,215,7.6
2017,Sep,2934,2739,195,6.6
2017,Oct,2897,2725,172,5.9
2017,Nov,2881,2692,189,6.6
2017,Dec,2914,2704,210,7.2
2018,Jan,2958,2726,232,7.8
2018,Feb,2944,2736,208,7.1
2018,Mar,2968,2771,197,6.6
2018,Apr,2984,2792,192,6.4
2018,May,2974,2786,188,6.3
2018,Jun,3012,2801,211,7.0
2018,Jul,3002,2799,203,6.8
2018,Aug,2961,2780,181,6.1
2018,Sep,3008,2829,179,6.0
2018,Oct,2988,2827,161,5.4
2018,Nov,3102,2934,168,5.4
2018,Dec,3162,2973,189,6.0
2019,Jan,3374,3173,201,6.0
2019,Feb,3465,3305,160,4.6
2019,Mar,3461,3310,151,4.4
2019,Apr,3395,3270,125,3.7
2019,May,3317,3181,136,4.1
2019,Jun,3343,3186,157,4.7
2019,Jul,3339,3171,168,5.0
2019,Aug,3451,3289,162,4.7
2019,Sep,3393,3234,159,4.7
2019,Oct,3406,3246,160,4.7
2019,Nov,3424,3249,175,5.1
2019,Dec,3456,3270,186,5.4
2020,Jan,3521,3326,195,5.5
2020,Feb,3555,3376,179,5.0
2020,Mar,3545,3295,250,7.1
2020,Apr,3118,2777,341,10.9
