Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484070000000003,LAUCN484070000000004,LAUCN484070000000005,LAUCN484070000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"San Jacinto County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11070,9903,1167,10.5
2010,Feb,11102,9959,1143,10.3
2010,Mar,11187,10066,1121,10.0
2010,Apr,11250,10189,1061,9.4
2010,May,11285,10237,1048,9.3
2010,Jun,11326,10220,1106,9.8
2010,Jul,11331,10207,1124,9.9
2010,Aug,11264,10122,1142,10.1
2010,Sep,11245,10117,1128,10.0
2010,Oct,11211,10124,1087,9.7
2010,Nov,11264,10092,1172,10.4
2010,Dec,11226,10085,1141,10.2
2011,Jan,11309,10128,1181,10.4
2011,Feb,11265,10120,1145,10.2
2011,Mar,11341,10218,1123,9.9
2011,Apr,11384,10300,1084,9.5
2011,May,11361,10259,1102,9.7
2011,Jun,11478,10282,1196,10.4
2011,Jul,11378,10230,1148,10.1
2011,Aug,11361,10260,1101,9.7
2011,Sep,11454,10364,1090,9.5
2011,Oct,11335,10318,1017,9.0
2011,Nov,11363,10377,986,8.7
2011,Dec,11371,10381,990,8.7
2012,Jan,11431,10400,1031,9.0
2012,Feb,11415,10426,989,8.7
2012,Mar,11410,10459,951,8.3
2012,Apr,11384,10491,893,7.8
2012,May,11410,10491,919,8.1
2012,Jun,11654,10625,1029,8.8
2012,Jul,11559,10527,1032,8.9
2012,Aug,11415,10446,969,8.5
2012,Sep,11486,10584,902,7.9
2012,Oct,11531,10662,869,7.5
2012,Nov,11503,10655,848,7.4
2012,Dec,11482,10580,902,7.9
2013,Jan,11464,10485,979,8.5
2013,Feb,11391,10499,892,7.8
2013,Mar,11340,10467,873,7.7
2013,Apr,11461,10623,838,7.3
2013,May,11525,10641,884,7.7
2013,Jun,11618,10638,980,8.4
2013,Jul,11625,10681,944,8.1
2013,Aug,11371,10488,883,7.8
2013,Sep,11449,10588,861,7.5
2013,Oct,11384,10597,787,6.9
2013,Nov,11406,10659,747,6.5
2013,Dec,11402,10684,718,6.3
2014,Jan,11452,10714,738,6.4
2014,Feb,11496,10773,723,6.3
2014,Mar,11501,10792,709,6.2
2014,Apr,11428,10832,596,5.2
2014,May,11458,10785,673,5.9
2014,Jun,11478,10776,702,6.1
2014,Jul,11479,10749,730,6.4
2014,Aug,11337,10641,696,6.1
2014,Sep,11376,10740,636,5.6
2014,Oct,11420,10836,584,5.1
2014,Nov,11405,10830,575,5.0
2014,Dec,11278,10746,532,4.7
2015,Jan,11264,10650,614,5.5
2015,Feb,11288,10701,587,5.2
2015,Mar,11324,10758,566,5.0
2015,Apr,11318,10772,546,4.8
2015,May,11388,10782,606,5.3
2015,Jun,11389,10727,662,5.8
2015,Jul,11332,10649,683,6.0
2015,Aug,11125,10461,664,6.0
2015,Sep,11169,10500,669,6.0
2015,Oct,11291,10636,655,5.8
2015,Nov,11320,10647,673,5.9
2015,Dec,11293,10628,665,5.9
2016,Jan,11326,10661,665,5.9
2016,Feb,11428,10761,667,5.8
2016,Mar,11518,10839,679,5.9
2016,Apr,11463,10808,655,5.7
2016,May,11459,10800,659,5.8
2016,Jun,11497,10717,780,6.8
2016,Jul,11488,10693,795,6.9
2016,Aug,11361,10589,772,6.8
2016,Sep,11371,10624,747,6.6
2016,Oct,11358,10648,710,6.3
2016,Nov,11377,10666,711,6.2
2016,Dec,11409,10666,743,6.5
2017,Jan,11401,10610,791,6.9
2017,Feb,11426,10682,744,6.5
2017,Mar,11477,10795,682,5.9
2017,Apr,11487,10878,609,5.3
2017,May,11469,10853,616,5.4
2017,Jun,11535,10880,655,5.7
2017,Jul,11463,10799,664,5.8
2017,Aug,11419,10749,670,5.9
2017,Sep,11446,10817,629,5.5
2017,Oct,11430,10862,568,5.0
2017,Nov,11488,10890,598,5.2
2017,Dec,11479,10873,606,5.3
2018,Jan,11438,10770,668,5.8
2018,Feb,11462,10848,614,5.4
2018,Mar,11576,10994,582,5.0
2018,Apr,11531,11007,524,4.5
2018,May,11571,11044,527,4.6
2018,Jun,11605,10991,614,5.3
2018,Jul,11485,10915,570,5.0
2018,Aug,11391,10805,586,5.1
2018,Sep,11471,10928,543,4.7
2018,Oct,11506,10992,514,4.5
2018,Nov,11569,11047,522,4.5
2018,Dec,11589,11039,550,4.7
2019,Jan,11660,11033,627,5.4
2019,Feb,11771,11207,564,4.8
2019,Mar,11728,11220,508,4.3
2019,Apr,11665,11229,436,3.7
2019,May,11725,11257,468,4.0
2019,Jun,11761,11208,553,4.7
2019,Jul,11697,11122,575,4.9
2019,Aug,11663,11088,575,4.9
2019,Sep,11784,11252,532,4.5
2019,Oct,11815,11301,514,4.4
2019,Nov,11854,11313,541,4.6
2019,Dec,11858,11300,558,4.7
2020,Jan,11865,11259,606,5.1
2020,Feb,11931,11374,557,4.7
2020,Mar,11794,11038,756,6.4
2020,Apr,10466,9283,1183,11.3
