Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484090000000003,LAUCN484090000000004,LAUCN484090000000005,LAUCN484090000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"San Patricio County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,30102,26856,3246,10.8
2010,Feb,30275,27080,3195,10.6
2010,Mar,30611,27465,3146,10.3
2010,Apr,30760,27723,3037,9.9
2010,May,30626,27461,3165,10.3
2010,Jun,30616,27293,3323,10.9
2010,Jul,30564,27258,3306,10.8
2010,Aug,30284,27138,3146,10.4
2010,Sep,30328,27237,3091,10.2
2010,Oct,30212,27172,3040,10.1
2010,Nov,30458,27129,3329,10.9
2010,Dec,30377,27108,3269,10.8
2011,Jan,29950,26593,3357,11.2
2011,Feb,29962,26793,3169,10.6
2011,Mar,30086,27072,3014,10.0
2011,Apr,30277,27416,2861,9.4
2011,May,30355,27421,2934,9.7
2011,Jun,30540,27374,3166,10.4
2011,Jul,30317,27247,3070,10.1
2011,Aug,30204,27247,2957,9.8
2011,Sep,30332,27484,2848,9.4
2011,Oct,30268,27571,2697,8.9
2011,Nov,30295,27681,2614,8.6
2011,Dec,30193,27644,2549,8.4
2012,Jan,30050,27450,2600,8.7
2012,Feb,30260,27796,2464,8.1
2012,Mar,30331,27984,2347,7.7
2012,Apr,30466,28260,2206,7.2
2012,May,30662,28382,2280,7.4
2012,Jun,30694,28197,2497,8.1
2012,Jul,30627,28139,2488,8.1
2012,Aug,30400,28084,2316,7.6
2012,Sep,30451,28292,2159,7.1
2012,Oct,30588,28477,2111,6.9
2012,Nov,30397,28339,2058,6.8
2012,Dec,30296,28147,2149,7.1
2013,Jan,30303,27936,2367,7.8
2013,Feb,30514,28310,2204,7.2
2013,Mar,30653,28469,2184,7.1
2013,Apr,30641,28551,2090,6.8
2013,May,30770,28597,2173,7.1
2013,Jun,30966,28573,2393,7.7
2013,Jul,30837,28452,2385,7.7
2013,Aug,30717,28444,2273,7.4
2013,Sep,30763,28552,2211,7.2
2013,Oct,30590,28442,2148,7.0
2013,Nov,30637,28595,2042,6.7
2013,Dec,30586,28624,1962,6.4
2014,Jan,30461,28420,2041,6.7
2014,Feb,30763,28745,2018,6.6
2014,Mar,30911,28951,1960,6.3
2014,Apr,30651,28902,1749,5.7
2014,May,30793,28942,1851,6.0
2014,Jun,30836,28836,2000,6.5
2014,Jul,30814,28762,2052,6.7
2014,Aug,30673,28703,1970,6.4
2014,Sep,30646,28898,1748,5.7
2014,Oct,30814,28934,1880,6.1
2014,Nov,30705,28801,1904,6.2
2014,Dec,30572,28756,1816,5.9
2015,Jan,30191,28206,1985,6.6
2015,Feb,30270,28370,1900,6.3
2015,Mar,30364,28492,1872,6.2
2015,Apr,30317,28476,1841,6.1
2015,May,30407,28452,1955,6.4
2015,Jun,30366,28355,2011,6.6
2015,Jul,30173,28134,2039,6.8
2015,Aug,30217,28205,2012,6.7
2015,Sep,30089,28172,1917,6.4
2015,Oct,30123,28166,1957,6.5
2015,Nov,30177,28110,2067,6.8
2015,Dec,30124,28085,2039,6.8
2016,Jan,30107,27997,2110,7.0
2016,Feb,30456,28392,2064,6.8
2016,Mar,30669,28481,2188,7.1
2016,Apr,30519,28371,2148,7.0
2016,May,30550,28416,2134,7.0
2016,Jun,30709,28315,2394,7.8
2016,Jul,30698,28343,2355,7.7
2016,Aug,30683,28324,2359,7.7
2016,Sep,30721,28280,2441,7.9
2016,Oct,30634,28257,2377,7.8
2016,Nov,30744,28408,2336,7.6
2016,Dec,30626,28202,2424,7.9
2017,Jan,30556,27868,2688,8.8
2017,Feb,30716,28214,2502,8.1
2017,Mar,31092,28676,2416,7.8
2017,Apr,30905,28591,2314,7.5
2017,May,30664,28524,2140,7.0
2017,Jun,30615,28386,2229,7.3
2017,Jul,30328,28162,2166,7.1
2017,Aug,30213,27981,2232,7.4
2017,Sep,30575,27952,2623,8.6
2017,Oct,30340,28053,2287,7.5
2017,Nov,30346,28046,2300,7.6
2017,Dec,30400,28160,2240,7.4
2018,Jan,30260,27844,2416,8.0
2018,Feb,30538,28295,2243,7.3
2018,Mar,30458,28389,2069,6.8
2018,Apr,30283,28383,1900,6.3
2018,May,30215,28428,1787,5.9
2018,Jun,30327,28263,2064,6.8
2018,Jul,30110,28183,1927,6.4
2018,Aug,29797,27985,1812,6.1
2018,Sep,29663,27932,1731,5.8
2018,Oct,29715,28159,1556,5.2
2018,Nov,29754,28207,1547,5.2
2018,Dec,29807,28147,1660,5.6
2019,Jan,29847,27987,1860,6.2
2019,Feb,29971,28200,1771,5.9
2019,Mar,29907,28277,1630,5.5
2019,Apr,29736,28411,1325,4.5
2019,May,29775,28331,1444,4.8
2019,Jun,29885,28185,1700,5.7
2019,Jul,29951,28208,1743,5.8
2019,Aug,29958,28222,1736,5.8
2019,Sep,29821,28226,1595,5.3
2019,Oct,30020,28492,1528,5.1
2019,Nov,30024,28481,1543,5.1
2019,Dec,29972,28314,1658,5.5
2020,Jan,29929,28079,1850,6.2
2020,Feb,30035,28379,1656,5.5
2020,Mar,29831,27530,2301,7.7
2020,Apr,26950,22444,4506,16.7
