Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484110000000003,LAUCN484110000000004,LAUCN484110000000005,LAUCN484110000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"San Saba County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2577,2402,175,6.8
2010,Feb,2583,2417,166,6.4
2010,Mar,2531,2374,157,6.2
2010,Apr,2544,2393,151,5.9
2010,May,2502,2360,142,5.7
2010,Jun,2518,2355,163,6.5
2010,Jul,2549,2383,166,6.5
2010,Aug,2541,2383,158,6.2
2010,Sep,2576,2424,152,5.9
2010,Oct,2578,2425,153,5.9
2010,Nov,2589,2427,162,6.3
2010,Dec,2614,2465,149,5.7
2011,Jan,2582,2419,163,6.3
2011,Feb,2541,2394,147,5.8
2011,Mar,2545,2395,150,5.9
2011,Apr,2534,2394,140,5.5
2011,May,2519,2377,142,5.6
2011,Jun,2544,2378,166,6.5
2011,Jul,2521,2355,166,6.6
2011,Aug,2539,2380,159,6.3
2011,Sep,2540,2384,156,6.1
2011,Oct,2478,2326,152,6.1
2011,Nov,2462,2316,146,5.9
2011,Dec,2455,2312,143,5.8
2012,Jan,2331,2174,157,6.7
2012,Feb,2315,2154,161,7.0
2012,Mar,2320,2163,157,6.8
2012,Apr,2298,2157,141,6.1
2012,May,2285,2145,140,6.1
2012,Jun,2305,2151,154,6.7
2012,Jul,2277,2123,154,6.8
2012,Aug,2254,2108,146,6.5
2012,Sep,2290,2156,134,5.9
2012,Oct,2297,2165,132,5.7
2012,Nov,2287,2167,120,5.2
2012,Dec,2283,2161,122,5.3
2013,Jan,2276,2130,146,6.4
2013,Feb,2267,2134,133,5.9
2013,Mar,2246,2117,129,5.7
2013,Apr,2277,2153,124,5.4
2013,May,2292,2156,136,5.9
2013,Jun,2341,2185,156,6.7
2013,Jul,2309,2161,148,6.4
2013,Aug,2283,2147,136,6.0
2013,Sep,2269,2142,127,5.6
2013,Oct,2241,2125,116,5.2
2013,Nov,2234,2125,109,4.9
2013,Dec,2244,2144,100,4.5
2014,Jan,2202,2103,99,4.5
2014,Feb,2226,2122,104,4.7
2014,Mar,2223,2122,101,4.5
2014,Apr,2198,2115,83,3.8
2014,May,2236,2141,95,4.2
2014,Jun,2243,2141,102,4.5
2014,Jul,2273,2159,114,5.0
2014,Aug,2249,2148,101,4.5
2014,Sep,2219,2133,86,3.9
2014,Oct,2262,2176,86,3.8
2014,Nov,2241,2163,78,3.5
2014,Dec,2235,2165,70,3.1
2015,Jan,2221,2136,85,3.8
2015,Feb,2218,2142,76,3.4
2015,Mar,2225,2149,76,3.4
2015,Apr,2219,2147,72,3.2
2015,May,2230,2150,80,3.6
2015,Jun,2256,2164,92,4.1
2015,Jul,2276,2186,90,4.0
2015,Aug,2275,2195,80,3.5
2015,Sep,2272,2184,88,3.9
2015,Oct,2258,2174,84,3.7
2015,Nov,2236,2154,82,3.7
2015,Dec,2259,2183,76,3.4
2016,Jan,2190,2112,78,3.6
2016,Feb,2294,2216,78,3.4
2016,Mar,2418,2342,76,3.1
2016,Apr,2419,2352,67,2.8
2016,May,2455,2386,69,2.8
2016,Jun,2499,2413,86,3.4
2016,Jul,2468,2376,92,3.7
2016,Aug,2526,2439,87,3.4
2016,Sep,2531,2437,94,3.7
2016,Oct,2512,2419,93,3.7
2016,Nov,2516,2426,90,3.6
2016,Dec,2531,2446,85,3.4
2017,Jan,2458,2364,94,3.8
2017,Feb,2487,2393,94,3.8
2017,Mar,2489,2411,78,3.1
2017,Apr,2421,2350,71,2.9
2017,May,2407,2336,71,2.9
2017,Jun,2391,2312,79,3.3
2017,Jul,2375,2293,82,3.5
2017,Aug,2391,2314,77,3.2
2017,Sep,2363,2292,71,3.0
2017,Oct,2375,2303,72,3.0
2017,Nov,2405,2330,75,3.1
2017,Dec,2448,2377,71,2.9
2018,Jan,2450,2366,84,3.4
2018,Feb,2524,2443,81,3.2
2018,Mar,2543,2462,81,3.2
2018,Apr,2458,2385,73,3.0
2018,May,2483,2413,70,2.8
2018,Jun,2472,2384,88,3.6
2018,Jul,2487,2404,83,3.3
2018,Aug,2484,2406,78,3.1
2018,Sep,2555,2481,74,2.9
2018,Oct,2633,2564,69,2.6
2018,Nov,2671,2603,68,2.5
2018,Dec,2698,2625,73,2.7
2019,Jan,2658,2582,76,2.9
2019,Feb,2666,2589,77,2.9
2019,Mar,2611,2535,76,2.9
2019,Apr,2569,2504,65,2.5
2019,May,2506,2434,72,2.9
2019,Jun,2517,2439,78,3.1
2019,Jul,2497,2419,78,3.1
2019,Aug,2520,2444,76,3.0
2019,Sep,2538,2464,74,2.9
2019,Oct,2575,2498,77,3.0
2019,Nov,2564,2492,72,2.8
2019,Dec,2601,2523,78,3.0
2020,Jan,2570,2477,93,3.6
2020,Feb,2597,2505,92,3.5
2020,Mar,2551,2421,130,5.1
2020,Apr,2154,2017,137,6.4
