Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484130000000003,LAUCN484130000000004,LAUCN484130000000005,LAUCN484130000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Schleicher County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1572,1430,142,9.0
2010,Feb,1576,1438,138,8.8
2010,Mar,1578,1452,126,8.0
2010,Apr,1614,1491,123,7.6
2010,May,1605,1487,118,7.4
2010,Jun,1659,1534,125,7.5
2010,Jul,1661,1535,126,7.6
2010,Aug,1637,1515,122,7.5
2010,Sep,1675,1552,123,7.3
2010,Oct,1679,1559,120,7.1
2010,Nov,1676,1558,118,7.0
2010,Dec,1678,1570,108,6.4
2011,Jan,1616,1506,110,6.8
2011,Feb,1608,1498,110,6.8
2011,Mar,1640,1532,108,6.6
2011,Apr,1690,1586,104,6.2
2011,May,1682,1588,94,5.6
2011,Jun,1722,1619,103,6.0
2011,Jul,1705,1606,99,5.8
2011,Aug,1726,1627,99,5.7
2011,Sep,1733,1639,94,5.4
2011,Oct,1749,1666,83,4.7
2011,Nov,1755,1676,79,4.5
2011,Dec,1768,1697,71,4.0
2012,Jan,1758,1684,74,4.2
2012,Feb,1744,1669,75,4.3
2012,Mar,1741,1672,69,4.0
2012,Apr,1782,1715,67,3.8
2012,May,1793,1721,72,4.0
2012,Jun,1845,1761,84,4.6
2012,Jul,1793,1710,83,4.6
2012,Aug,1792,1716,76,4.2
2012,Sep,1789,1723,66,3.7
2012,Oct,1775,1710,65,3.7
2012,Nov,1769,1706,63,3.6
2012,Dec,1789,1728,61,3.4
2013,Jan,1775,1708,67,3.8
2013,Feb,1764,1705,59,3.3
2013,Mar,1762,1707,55,3.1
2013,Apr,1777,1721,56,3.2
2013,May,1801,1734,67,3.7
2013,Jun,1881,1805,76,4.0
2013,Jul,1901,1828,73,3.8
2013,Aug,1835,1767,68,3.7
2013,Sep,1821,1753,68,3.7
2013,Oct,1773,1712,61,3.4
2013,Nov,1761,1706,55,3.1
2013,Dec,1780,1722,58,3.3
2014,Jan,1774,1720,54,3.0
2014,Feb,1783,1723,60,3.4
2014,Mar,1786,1734,52,2.9
2014,Apr,1785,1740,45,2.5
2014,May,1816,1760,56,3.1
2014,Jun,1811,1756,55,3.0
2014,Jul,1785,1727,58,3.2
2014,Aug,1750,1689,61,3.5
2014,Sep,1797,1744,53,2.9
2014,Oct,1778,1725,53,3.0
2014,Nov,1762,1711,51,2.9
2014,Dec,1747,1702,45,2.6
2015,Jan,1735,1677,58,3.3
2015,Feb,1568,1496,72,4.6
2015,Mar,1599,1518,81,5.1
2015,Apr,1537,1458,79,5.1
2015,May,1543,1461,82,5.3
2015,Jun,1557,1469,88,5.7
2015,Jul,1475,1387,88,6.0
2015,Aug,1444,1362,82,5.7
2015,Sep,1399,1318,81,5.8
2015,Oct,1398,1315,83,5.9
2015,Nov,1388,1311,77,5.5
2015,Dec,1368,1294,74,5.4
2016,Jan,1524,1456,68,4.5
2016,Feb,1567,1493,74,4.7
2016,Mar,1574,1499,75,4.8
2016,Apr,1410,1339,71,5.0
2016,May,1419,1345,74,5.2
2016,Jun,1423,1344,79,5.6
2016,Jul,1380,1299,81,5.9
2016,Aug,1389,1302,87,6.3
2016,Sep,1335,1255,80,6.0
2016,Oct,1342,1273,69,5.1
2016,Nov,1337,1271,66,4.9
2016,Dec,1335,1272,63,4.7
2017,Jan,1338,1272,66,4.9
2017,Feb,1350,1290,60,4.4
2017,Mar,1359,1306,53,3.9
2017,Apr,1398,1350,48,3.4
2017,May,1400,1352,48,3.4
2017,Jun,1387,1335,52,3.7
2017,Jul,1345,1295,50,3.7
2017,Aug,1313,1262,51,3.9
2017,Sep,1286,1237,49,3.8
2017,Oct,1280,1240,40,3.1
2017,Nov,1268,1228,40,3.2
2017,Dec,1281,1244,37,2.9
2018,Jan,1286,1249,37,2.9
2018,Feb,1299,1258,41,3.2
2018,Mar,1338,1294,44,3.3
2018,Apr,1320,1282,38,2.9
2018,May,1362,1325,37,2.7
2018,Jun,1397,1354,43,3.1
2018,Jul,1407,1365,42,3.0
2018,Aug,1394,1355,39,2.8
2018,Sep,1392,1356,36,2.6
2018,Oct,1389,1355,34,2.4
2018,Nov,1424,1389,35,2.5
2018,Dec,1432,1395,37,2.6
2019,Jan,1370,1330,40,2.9
2019,Feb,1370,1332,38,2.8
2019,Mar,1366,1331,35,2.6
2019,Apr,1316,1288,28,2.1
2019,May,1326,1291,35,2.6
2019,Jun,1327,1289,38,2.9
2019,Jul,1292,1246,46,3.6
2019,Aug,1304,1262,42,3.2
2019,Sep,1295,1255,40,3.1
2019,Oct,1304,1264,40,3.1
2019,Nov,1299,1258,41,3.2
2019,Dec,1307,1269,38,2.9
2020,Jan,1308,1268,40,3.1
2020,Feb,1317,1277,40,3.0
2020,Mar,1303,1242,61,4.7
2020,Apr,1081,993,88,8.1
