Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484150000000003,LAUCN484150000000004,LAUCN484150000000005,LAUCN484150000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Scurry County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,6871,6356,515,7.5
2010,Feb,6903,6399,504,7.3
2010,Mar,6960,6445,515,7.4
2010,Apr,7100,6614,486,6.8
2010,May,7088,6617,471,6.6
2010,Jun,7182,6649,533,7.4
2010,Jul,7232,6712,520,7.2
2010,Aug,7129,6646,483,6.8
2010,Sep,7190,6726,464,6.5
2010,Oct,7189,6751,438,6.1
2010,Nov,7187,6745,442,6.1
2010,Dec,7189,6772,417,5.8
2011,Jan,7143,6695,448,6.3
2011,Feb,7139,6719,420,5.9
2011,Mar,7209,6801,408,5.7
2011,Apr,7198,6798,400,5.6
2011,May,7245,6830,415,5.7
2011,Jun,7329,6830,499,6.8
2011,Jul,7449,6965,484,6.5
2011,Aug,7531,7084,447,5.9
2011,Sep,7545,7133,412,5.5
2011,Oct,7644,7264,380,5.0
2011,Nov,7711,7348,363,4.7
2011,Dec,7735,7377,358,4.6
2012,Jan,7736,7353,383,5.0
2012,Feb,7800,7422,378,4.8
2012,Mar,7846,7478,368,4.7
2012,Apr,7937,7600,337,4.2
2012,May,8092,7737,355,4.4
2012,Jun,8061,7631,430,5.3
2012,Jul,8145,7709,436,5.4
2012,Aug,8102,7725,377,4.7
2012,Sep,8272,7940,332,4.0
2012,Oct,8464,8139,325,3.8
2012,Nov,8471,8155,316,3.7
2012,Dec,8494,8175,319,3.8
2013,Jan,8494,8127,367,4.3
2013,Feb,8529,8175,354,4.2
2013,Mar,8486,8148,338,4.0
2013,Apr,8546,8232,314,3.7
2013,May,8572,8216,356,4.2
2013,Jun,8676,8240,436,5.0
2013,Jul,8703,8273,430,4.9
2013,Aug,8654,8266,388,4.5
2013,Sep,8685,8338,347,4.0
2013,Oct,8530,8194,336,3.9
2013,Nov,8473,8163,310,3.7
2013,Dec,8440,8145,295,3.5
2014,Jan,8438,8133,305,3.6
2014,Feb,8487,8172,315,3.7
2014,Mar,8480,8175,305,3.6
2014,Apr,8594,8348,246,2.9
2014,May,8655,8378,277,3.2
2014,Jun,8661,8336,325,3.8
2014,Jul,8761,8409,352,4.0
2014,Aug,8702,8379,323,3.7
2014,Sep,8670,8396,274,3.2
2014,Oct,8715,8461,254,2.9
2014,Nov,8688,8449,239,2.8
2014,Dec,8605,8386,219,2.5
2015,Jan,8409,8145,264,3.1
2015,Feb,8367,8084,283,3.4
2015,Mar,8330,7997,333,4.0
2015,Apr,8268,7969,299,3.6
2015,May,8324,7998,326,3.9
2015,Jun,8309,7925,384,4.6
2015,Jul,8257,7858,399,4.8
2015,Aug,8130,7765,365,4.5
2015,Sep,8011,7665,346,4.3
2015,Oct,7912,7550,362,4.6
2015,Nov,7896,7546,350,4.4
2015,Dec,7807,7467,340,4.4
2016,Jan,7770,7365,405,5.2
2016,Feb,7765,7339,426,5.5
2016,Mar,7715,7252,463,6.0
2016,Apr,7522,7081,441,5.9
2016,May,7461,7033,428,5.7
2016,Jun,7522,7002,520,6.9
2016,Jul,7354,6854,500,6.8
2016,Aug,7321,6849,472,6.4
2016,Sep,7154,6712,442,6.2
2016,Oct,7089,6698,391,5.5
2016,Nov,7072,6702,370,5.2
2016,Dec,7101,6738,363,5.1
2017,Jan,7067,6684,383,5.4
2017,Feb,7099,6732,367,5.2
2017,Mar,7086,6728,358,5.1
2017,Apr,7106,6802,304,4.3
2017,May,7090,6785,305,4.3
2017,Jun,7091,6766,325,4.6
2017,Jul,7084,6759,325,4.6
2017,Aug,6990,6685,305,4.4
2017,Sep,6810,6557,253,3.7
2017,Oct,6771,6546,225,3.3
2017,Nov,6826,6588,238,3.5
2017,Dec,6824,6591,233,3.4
2018,Jan,6938,6678,260,3.7
2018,Feb,6982,6733,249,3.6
2018,Mar,7061,6793,268,3.8
2018,Apr,7030,6810,220,3.1
2018,May,6997,6782,215,3.1
2018,Jun,7044,6762,282,4.0
2018,Jul,6931,6678,253,3.7
2018,Aug,6846,6615,231,3.4
2018,Sep,6849,6632,217,3.2
2018,Oct,6857,6659,198,2.9
2018,Nov,6812,6613,199,2.9
2018,Dec,6790,6587,203,3.0
2019,Jan,6686,6451,235,3.5
2019,Feb,6672,6464,208,3.1
2019,Mar,6686,6472,214,3.2
2019,Apr,6677,6499,178,2.7
2019,May,6801,6606,195,2.9
2019,Jun,6845,6587,258,3.8
2019,Jul,6805,6542,263,3.9
2019,Aug,6750,6528,222,3.3
2019,Sep,6709,6505,204,3.0
2019,Oct,6724,6514,210,3.1
2019,Nov,6731,6518,213,3.2
2019,Dec,6737,6527,210,3.1
2020,Jan,6735,6478,257,3.8
2020,Feb,6770,6512,258,3.8
2020,Mar,6690,6332,358,5.4
2020,Apr,5828,5210,618,10.6
