Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484170000000003,LAUCN484170000000004,LAUCN484170000000005,LAUCN484170000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Shackelford County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1813,1695,118,6.5
2010,Feb,1781,1672,109,6.1
2010,Mar,1806,1706,100,5.5
2010,Apr,1920,1827,93,4.8
2010,May,1913,1826,87,4.5
2010,Jun,1997,1890,107,5.4
2010,Jul,1988,1879,109,5.5
2010,Aug,1910,1798,112,5.9
2010,Sep,1901,1790,111,5.8
2010,Oct,1936,1824,112,5.8
2010,Nov,1940,1830,110,5.7
2010,Dec,1948,1844,104,5.3
2011,Jan,1906,1796,110,5.8
2011,Feb,1872,1771,101,5.4
2011,Mar,1908,1809,99,5.2
2011,Apr,1915,1830,85,4.4
2011,May,1940,1849,91,4.7
2011,Jun,2028,1919,109,5.4
2011,Jul,2036,1935,101,5.0
2011,Aug,2022,1924,98,4.8
2011,Sep,2086,1989,97,4.7
2011,Oct,2083,1999,84,4.0
2011,Nov,2127,2042,85,4.0
2011,Dec,2160,2083,77,3.6
2012,Jan,2123,2041,82,3.9
2012,Feb,2138,2059,79,3.7
2012,Mar,2139,2065,74,3.5
2012,Apr,2187,2111,76,3.5
2012,May,2221,2140,81,3.6
2012,Jun,2297,2205,92,4.0
2012,Jul,2273,2183,90,4.0
2012,Aug,2270,2192,78,3.4
2012,Sep,2245,2173,72,3.2
2012,Oct,2229,2156,73,3.3
2012,Nov,2221,2153,68,3.1
2012,Dec,2214,2148,66,3.0
2013,Jan,2215,2130,85,3.8
2013,Feb,2200,2124,76,3.5
2013,Mar,2203,2132,71,3.2
2013,Apr,2222,2151,71,3.2
2013,May,2230,2156,74,3.3
2013,Jun,2317,2230,87,3.8
2013,Jul,2387,2301,86,3.6
2013,Aug,2367,2287,80,3.4
2013,Sep,2331,2251,80,3.4
2013,Oct,2384,2312,72,3.0
2013,Nov,2349,2286,63,2.7
2013,Dec,2367,2301,66,2.8
2014,Jan,2354,2279,75,3.2
2014,Feb,2416,2340,76,3.1
2014,Mar,2407,2334,73,3.0
2014,Apr,2402,2343,59,2.5
2014,May,2409,2340,69,2.9
2014,Jun,2424,2351,73,3.0
2014,Jul,2491,2419,72,2.9
2014,Aug,2342,2277,65,2.8
2014,Sep,2355,2296,59,2.5
2014,Oct,2318,2261,57,2.5
2014,Nov,2311,2255,56,2.4
2014,Dec,2291,2238,53,2.3
2015,Jan,2252,2193,59,2.6
2015,Feb,2231,2177,54,2.4
2015,Mar,2190,2134,56,2.6
2015,Apr,2108,2057,51,2.4
2015,May,2103,2044,59,2.8
2015,Jun,2120,2057,63,3.0
2015,Jul,2102,2035,67,3.2
2015,Aug,2038,1978,60,2.9
2015,Sep,2023,1964,59,2.9
2015,Oct,1968,1906,62,3.2
2015,Nov,1930,1869,61,3.2
2015,Dec,1925,1868,57,3.0
2016,Jan,1871,1811,60,3.2
2016,Feb,1897,1827,70,3.7
2016,Mar,1921,1835,86,4.5
2016,Apr,1902,1829,73,3.8
2016,May,1928,1852,76,3.9
2016,Jun,1949,1866,83,4.3
2016,Jul,1914,1842,72,3.8
2016,Aug,1870,1798,72,3.9
2016,Sep,1823,1750,73,4.0
2016,Oct,1808,1743,65,3.6
2016,Nov,1794,1729,65,3.6
2016,Dec,1831,1768,63,3.4
2017,Jan,1842,1773,69,3.7
2017,Feb,1865,1798,67,3.6
2017,Mar,1924,1864,60,3.1
2017,Apr,1892,1842,50,2.6
2017,May,1922,1870,52,2.7
2017,Jun,1956,1900,56,2.9
2017,Jul,1871,1808,63,3.4
2017,Aug,1910,1854,56,2.9
2017,Sep,1851,1800,51,2.8
2017,Oct,1862,1815,47,2.5
2017,Nov,1872,1825,47,2.5
2017,Dec,1892,1844,48,2.5
2018,Jan,1908,1861,47,2.5
2018,Feb,1945,1896,49,2.5
2018,Mar,1970,1925,45,2.3
2018,Apr,1969,1930,39,2.0
2018,May,1999,1959,40,2.0
2018,Jun,1989,1941,48,2.4
2018,Jul,1965,1919,46,2.3
2018,Aug,1975,1928,47,2.4
2018,Sep,1952,1906,46,2.4
2018,Oct,1895,1854,41,2.2
2018,Nov,1881,1840,41,2.2
2018,Dec,1870,1827,43,2.3
2019,Jan,1888,1838,50,2.6
2019,Feb,1884,1843,41,2.2
2019,Mar,1907,1859,48,2.5
2019,Apr,1906,1873,33,1.7
2019,May,1905,1865,40,2.1
2019,Jun,1940,1896,44,2.3
2019,Jul,1940,1896,44,2.3
2019,Aug,2000,1953,47,2.4
2019,Sep,1897,1856,41,2.2
2019,Oct,1895,1855,40,2.1
2019,Nov,1875,1834,41,2.2
2019,Dec,1890,1850,40,2.1
2020,Jan,1896,1844,52,2.7
2020,Feb,1903,1856,47,2.5
2020,Mar,1880,1806,74,3.9
2020,Apr,1608,1501,107,6.7
