Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484190000000003,LAUCN484190000000004,LAUCN484190000000005,LAUCN484190000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Shelby County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11308,10277,1031,9.1
2010,Feb,11292,10316,976,8.6
2010,Mar,11532,10592,940,8.2
2010,Apr,11897,10904,993,8.3
2010,May,11735,10754,981,8.4
2010,Jun,11998,10938,1060,8.8
2010,Jul,11928,10854,1074,9.0
2010,Aug,11958,10919,1039,8.7
2010,Sep,12037,11031,1006,8.4
2010,Oct,12150,11192,958,7.9
2010,Nov,12197,11200,997,8.2
2010,Dec,12038,11070,968,8.0
2011,Jan,11726,10645,1081,9.2
2011,Feb,11604,10562,1042,9.0
2011,Mar,11702,10686,1016,8.7
2011,Apr,11727,10750,977,8.3
2011,May,11772,10774,998,8.5
2011,Jun,11935,10839,1096,9.2
2011,Jul,12033,10946,1087,9.0
2011,Aug,12357,11006,1351,10.9
2011,Sep,12241,11251,990,8.1
2011,Oct,12190,11256,934,7.7
2011,Nov,12227,11355,872,7.1
2011,Dec,12209,11356,853,7.0
2012,Jan,12132,11271,861,7.1
2012,Feb,12052,11209,843,7.0
2012,Mar,12164,11337,827,6.8
2012,Apr,12207,11407,800,6.6
2012,May,12283,11405,878,7.1
2012,Jun,12381,11376,1005,8.1
2012,Jul,12286,11284,1002,8.2
2012,Aug,12035,11088,947,7.9
2012,Sep,12042,11193,849,7.1
2012,Oct,12037,11193,844,7.0
2012,Nov,12007,11179,828,6.9
2012,Dec,11888,11011,877,7.4
2013,Jan,11656,10708,948,8.1
2013,Feb,11587,10693,894,7.7
2013,Mar,11459,10636,823,7.2
2013,Apr,11666,10881,785,6.7
2013,May,11843,11012,831,7.0
2013,Jun,11936,11004,932,7.8
2013,Jul,11971,11049,922,7.7
2013,Aug,11712,10793,919,7.8
2013,Sep,11731,10832,899,7.7
2013,Oct,11420,10571,849,7.4
2013,Nov,11318,10525,793,7.0
2013,Dec,11271,10509,762,6.8
2014,Jan,11531,10755,776,6.7
2014,Feb,11657,10886,771,6.6
2014,Mar,11699,10948,751,6.4
2014,Apr,11704,11056,648,5.5
2014,May,11741,11062,679,5.8
2014,Jun,11727,11015,712,6.1
2014,Jul,11748,10989,759,6.5
2014,Aug,11559,10842,717,6.2
2014,Sep,11673,11021,652,5.6
2014,Oct,11591,11015,576,5.0
2014,Nov,11488,10911,577,5.0
2014,Dec,11396,10863,533,4.7
2015,Jan,11513,10937,576,5.0
2015,Feb,11497,10936,561,4.9
2015,Mar,11480,10936,544,4.7
2015,Apr,11429,10904,525,4.6
2015,May,11515,10919,596,5.2
2015,Jun,11522,10864,658,5.7
2015,Jul,11529,10850,679,5.9
2015,Aug,11295,10648,647,5.7
2015,Sep,11393,10790,603,5.3
2015,Oct,11228,10630,598,5.3
2015,Nov,11075,10485,590,5.3
2015,Dec,11077,10483,594,5.4
2016,Jan,10950,10313,637,5.8
2016,Feb,11161,10546,615,5.5
2016,Mar,11182,10538,644,5.8
2016,Apr,11082,10459,623,5.6
2016,May,11113,10474,639,5.8
2016,Jun,11157,10410,747,6.7
2016,Jul,10954,10223,731,6.7
2016,Aug,10861,10142,719,6.6
2016,Sep,10818,10137,681,6.3
2016,Oct,10757,10146,611,5.7
2016,Nov,10723,10115,608,5.7
2016,Dec,10635,10015,620,5.8
2017,Jan,10675,10000,675,6.3
2017,Feb,10759,10117,642,6.0
2017,Mar,10900,10303,597,5.5
2017,Apr,10850,10313,537,4.9
2017,May,10794,10255,539,5.0
2017,Jun,10913,10339,574,5.3
2017,Jul,10793,10202,591,5.5
2017,Aug,10806,10237,569,5.3
2017,Sep,10771,10271,500,4.6
2017,Oct,10681,10215,466,4.4
2017,Nov,10700,10220,480,4.5
2017,Dec,10700,10201,499,4.7
2018,Jan,10787,10254,533,4.9
2018,Feb,10929,10433,496,4.5
2018,Mar,11055,10566,489,4.4
2018,Apr,10963,10531,432,3.9
2018,May,10981,10554,427,3.9
2018,Jun,11103,10585,518,4.7
2018,Jul,11162,10660,502,4.5
2018,Aug,11222,10743,479,4.3
2018,Sep,11146,10705,441,4.0
2018,Oct,11041,10596,445,4.0
2018,Nov,10968,10538,430,3.9
2018,Dec,10907,10448,459,4.2
2019,Jan,10951,10420,531,4.8
2019,Feb,11047,10600,447,4.0
2019,Mar,11061,10624,437,4.0
2019,Apr,11006,10650,356,3.2
2019,May,11172,10798,374,3.3
2019,Jun,11299,10844,455,4.0
2019,Jul,11266,10773,493,4.4
2019,Aug,11308,10840,468,4.1
2019,Sep,11311,10885,426,3.8
2019,Oct,11304,10888,416,3.7
2019,Nov,11213,10773,440,3.9
2019,Dec,11208,10766,442,3.9
2020,Jan,11141,10632,509,4.6
2020,Feb,11188,10712,476,4.3
2020,Mar,11105,10458,647,5.8
2020,Apr,9722,8853,869,8.9
