Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484210000000003,LAUCN484210000000004,LAUCN484210000000005,LAUCN484210000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Sherman County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1454,1377,77,5.3
2010,Feb,1508,1439,69,4.6
2010,Mar,1554,1482,72,4.6
2010,Apr,1572,1506,66,4.2
2010,May,1565,1498,67,4.3
2010,Jun,1638,1561,77,4.7
2010,Jul,1589,1513,76,4.8
2010,Aug,1532,1458,74,4.8
2010,Sep,1569,1497,72,4.6
2010,Oct,1573,1506,67,4.3
2010,Nov,1554,1481,73,4.7
2010,Dec,1555,1488,67,4.3
2011,Jan,1521,1448,73,4.8
2011,Feb,1500,1434,66,4.4
2011,Mar,1539,1476,63,4.1
2011,Apr,1554,1487,67,4.3
2011,May,1568,1498,70,4.5
2011,Jun,1627,1545,82,5.0
2011,Jul,1646,1566,80,4.9
2011,Aug,1633,1555,78,4.8
2011,Sep,1605,1529,76,4.7
2011,Oct,1562,1493,69,4.4
2011,Nov,1582,1513,69,4.4
2011,Dec,1597,1532,65,4.1
2012,Jan,1515,1452,63,4.2
2012,Feb,1469,1408,61,4.2
2012,Mar,1478,1421,57,3.9
2012,Apr,1505,1449,56,3.7
2012,May,1516,1455,61,4.0
2012,Jun,1552,1478,74,4.8
2012,Jul,1560,1490,70,4.5
2012,Aug,1527,1456,71,4.6
2012,Sep,1513,1452,61,4.0
2012,Oct,1485,1422,63,4.2
2012,Nov,1467,1409,58,4.0
2012,Dec,1459,1399,60,4.1
2013,Jan,1423,1355,68,4.8
2013,Feb,1412,1350,62,4.4
2013,Mar,1402,1344,58,4.1
2013,Apr,1459,1405,54,3.7
2013,May,1510,1450,60,4.0
2013,Jun,1532,1463,69,4.5
2013,Jul,1562,1493,69,4.4
2013,Aug,1503,1443,60,4.0
2013,Sep,1532,1472,60,3.9
2013,Oct,1506,1451,55,3.7
2013,Nov,1445,1390,55,3.8
2013,Dec,1480,1428,52,3.5
2014,Jan,1476,1426,50,3.4
2014,Feb,1509,1457,52,3.4
2014,Mar,1496,1448,48,3.2
2014,Apr,1530,1491,39,2.5
2014,May,1564,1519,45,2.9
2014,Jun,1553,1502,51,3.3
2014,Jul,1548,1489,59,3.8
2014,Aug,1491,1441,50,3.4
2014,Sep,1489,1440,49,3.3
2014,Oct,1508,1465,43,2.9
2014,Nov,1476,1433,43,2.9
2014,Dec,1442,1406,36,2.5
2015,Jan,1447,1407,40,2.8
2015,Feb,1516,1479,37,2.4
2015,Mar,1484,1448,36,2.4
2015,Apr,1437,1405,32,2.2
2015,May,1466,1427,39,2.7
2015,Jun,1468,1425,43,2.9
2015,Jul,1412,1366,46,3.3
2015,Aug,1348,1308,40,3.0
2015,Sep,1394,1356,38,2.7
2015,Oct,1382,1343,39,2.8
2015,Nov,1349,1310,39,2.9
2015,Dec,1344,1306,38,2.8
2016,Jan,1294,1252,42,3.2
2016,Feb,1394,1354,40,2.9
2016,Mar,1416,1376,40,2.8
2016,Apr,1407,1375,32,2.3
2016,May,1455,1422,33,2.3
2016,Jun,1419,1379,40,2.8
2016,Jul,1335,1291,44,3.3
2016,Aug,1336,1294,42,3.1
2016,Sep,1315,1273,42,3.2
2016,Oct,1289,1249,40,3.1
2016,Nov,1268,1230,38,3.0
2016,Dec,1266,1228,38,3.0
2017,Jan,1240,1198,42,3.4
2017,Feb,1255,1214,41,3.3
2017,Mar,1342,1303,39,2.9
2017,Apr,1305,1270,35,2.7
2017,May,1334,1294,40,3.0
2017,Jun,1314,1267,47,3.6
2017,Jul,1255,1210,45,3.6
2017,Aug,1279,1237,42,3.3
2017,Sep,1274,1238,36,2.8
2017,Oct,1331,1297,34,2.6
2017,Nov,1264,1226,38,3.0
2017,Dec,1277,1241,36,2.8
2018,Jan,1247,1212,35,2.8
2018,Feb,1257,1221,36,2.9
2018,Mar,1336,1300,36,2.7
2018,Apr,1315,1286,29,2.2
2018,May,1379,1347,32,2.3
2018,Jun,1366,1326,40,2.9
2018,Jul,1376,1339,37,2.7
2018,Aug,1391,1355,36,2.6
2018,Sep,1357,1324,33,2.4
2018,Oct,1340,1305,35,2.6
2018,Nov,1328,1295,33,2.5
2018,Dec,1268,1234,34,2.7
2019,Jan,1308,1271,37,2.8
2019,Feb,1401,1367,34,2.4
2019,Mar,1411,1378,33,2.3
2019,Apr,1370,1344,26,1.9
2019,May,1378,1350,28,2.0
2019,Jun,1396,1360,36,2.6
2019,Jul,1369,1332,37,2.7
2019,Aug,1404,1369,35,2.5
2019,Sep,1385,1354,31,2.2
2019,Oct,1416,1383,33,2.3
2019,Nov,1351,1319,32,2.4
2019,Dec,1360,1333,27,2.0
2020,Jan,1367,1330,37,2.7
2020,Feb,1387,1354,33,2.4
2020,Mar,1383,1333,50,3.6
2020,Apr,1175,1143,32,2.7
