Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484230000000003,LAUCN484230000000004,LAUCN484230000000005,LAUCN484230000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Smith County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,99773,90936,8837,8.9
2010,Feb,99222,90874,8348,8.4
2010,Mar,99561,91545,8016,8.1
2010,Apr,101046,93426,7620,7.5
2010,May,100662,93028,7634,7.6
2010,Jun,101391,93208,8183,8.1
2010,Jul,101986,93821,8165,8.0
2010,Aug,102093,94101,7992,7.8
2010,Sep,101626,93847,7779,7.7
2010,Oct,102125,94288,7837,7.7
2010,Nov,102062,93919,8143,8.0
2010,Dec,102268,94332,7936,7.8
2011,Jan,101467,93207,8260,8.1
2011,Feb,101095,93264,7831,7.7
2011,Mar,101220,93685,7535,7.4
2011,Apr,101442,94242,7200,7.1
2011,May,101183,93862,7321,7.2
2011,Jun,102017,93782,8235,8.1
2011,Jul,101980,93797,8183,8.0
2011,Aug,102110,93843,8267,8.1
2011,Sep,102410,94261,8149,8.0
2011,Oct,103793,95224,8569,8.3
2011,Nov,103758,95470,8288,8.0
2011,Dec,103149,95626,7523,7.3
2012,Jan,101003,93249,7754,7.7
2012,Feb,101353,93875,7478,7.4
2012,Mar,101387,94283,7104,7.0
2012,Apr,101097,94487,6610,6.5
2012,May,101925,94975,6950,6.8
2012,Jun,102777,95116,7661,7.5
2012,Jul,102958,95352,7606,7.4
2012,Aug,101936,94497,7439,7.3
2012,Sep,101346,94460,6886,6.8
2012,Oct,101854,94917,6937,6.8
2012,Nov,101817,95086,6731,6.6
2012,Dec,101786,95070,6716,6.6
2013,Jan,100951,93490,7461,7.4
2013,Feb,100620,93841,6779,6.7
2013,Mar,100971,94529,6442,6.4
2013,Apr,101828,95718,6110,6.0
2013,May,102131,95676,6455,6.3
2013,Jun,102560,95422,7138,7.0
2013,Jul,102180,95226,6954,6.8
2013,Aug,102214,95126,7088,6.9
2013,Sep,102016,95129,6887,6.8
2013,Oct,101083,94538,6545,6.5
2013,Nov,101747,95546,6201,6.1
2013,Dec,101455,95729,5726,5.6
2014,Jan,101814,95633,6181,6.1
2014,Feb,101729,95657,6072,6.0
2014,Mar,101878,96116,5762,5.7
2014,Apr,101608,96717,4891,4.8
2014,May,102754,97502,5252,5.1
2014,Jun,102452,96917,5535,5.4
2014,Jul,102877,97150,5727,5.6
2014,Aug,102612,97197,5415,5.3
2014,Sep,102175,96956,5219,5.1
2014,Oct,102944,98062,4882,4.7
2014,Nov,103079,98349,4730,4.6
2014,Dec,102538,98280,4258,4.2
2015,Jan,103095,98238,4857,4.7
2015,Feb,102798,98291,4507,4.4
2015,Mar,102744,98306,4438,4.3
2015,Apr,103173,98997,4176,4.0
2015,May,103274,98705,4569,4.4
2015,Jun,103725,98914,4811,4.6
2015,Jul,104446,99334,5112,4.9
2015,Aug,104161,99385,4776,4.6
2015,Sep,103765,99099,4666,4.5
2015,Oct,104094,99506,4588,4.4
2015,Nov,104493,99935,4558,4.4
2015,Dec,105210,100687,4523,4.3
2016,Jan,103453,99051,4402,4.3
2016,Feb,104068,99703,4365,4.2
2016,Mar,104508,99977,4531,4.3
2016,Apr,104945,100656,4289,4.1
2016,May,105648,101305,4343,4.1
2016,Jun,105854,100730,5124,4.8
2016,Jul,106149,100955,5194,4.9
2016,Aug,106373,100991,5382,5.1
2016,Sep,106172,100912,5260,5.0
2016,Oct,105855,100940,4915,4.6
2016,Nov,105873,101213,4660,4.4
2016,Dec,105869,101219,4650,4.4
2017,Jan,104021,99003,5018,4.8
2017,Feb,104664,99844,4820,4.6
2017,Mar,105022,100508,4514,4.3
2017,Apr,105283,101232,4051,3.8
2017,May,106107,102007,4100,3.9
2017,Jun,105671,101297,4374,4.1
2017,Jul,106040,101662,4378,4.1
2017,Aug,105861,101539,4322,4.1
2017,Sep,106686,102558,4128,3.9
2017,Oct,107808,103276,4532,4.2
2017,Nov,107604,103661,3943,3.7
2017,Dec,107650,103778,3872,3.6
2018,Jan,105147,100993,4154,4.0
2018,Feb,106255,102202,4053,3.8
2018,Mar,106020,102126,3894,3.7
2018,Apr,106618,103030,3588,3.4
2018,May,107354,103774,3580,3.3
2018,Jun,107040,102810,4230,4.0
2018,Jul,107517,103502,4015,3.7
2018,Aug,106683,102726,3957,3.7
2018,Sep,106918,103207,3711,3.5
2018,Oct,107042,103287,3755,3.5
2018,Nov,107435,103732,3703,3.4
2018,Dec,107828,104018,3810,3.5
2019,Jan,106112,101972,4140,3.9
2019,Feb,106791,103024,3767,3.5
2019,Mar,107033,103444,3589,3.4
2019,Apr,107114,104063,3051,2.8
2019,May,106825,103662,3163,3.0
2019,Jun,107044,103249,3795,3.5
2019,Jul,107191,103276,3915,3.7
2019,Aug,107003,103185,3818,3.6
2019,Sep,107227,103720,3507,3.3
2019,Oct,107593,104149,3444,3.2
2019,Nov,108146,104653,3493,3.2
2019,Dec,107966,104609,3357,3.1
2020,Jan,106713,102843,3870,3.6
2020,Feb,107438,103725,3713,3.5
2020,Mar,105512,100345,5167,4.9
2020,Apr,98894,86859,12035,12.2
