Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484250000000003,LAUCN484250000000004,LAUCN484250000000005,LAUCN484250000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Somervell County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3971,3646,325,8.2
2010,Feb,3986,3661,325,8.2
2010,Mar,4000,3686,314,7.9
2010,Apr,4038,3734,304,7.5
2010,May,4037,3722,315,7.8
2010,Jun,4061,3721,340,8.4
2010,Jul,4066,3725,341,8.4
2010,Aug,4064,3731,333,8.2
2010,Sep,4059,3747,312,7.7
2010,Oct,4062,3755,307,7.6
2010,Nov,4077,3755,322,7.9
2010,Dec,4099,3771,328,8.0
2011,Jan,4031,3686,345,8.6
2011,Feb,4039,3701,338,8.4
2011,Mar,4047,3727,320,7.9
2011,Apr,4056,3751,305,7.5
2011,May,4070,3760,310,7.6
2011,Jun,4095,3760,335,8.2
2011,Jul,4104,3768,336,8.2
2011,Aug,4105,3780,325,7.9
2011,Sep,4122,3799,323,7.8
2011,Oct,4102,3811,291,7.1
2011,Nov,4123,3830,293,7.1
2011,Dec,4121,3836,285,6.9
2012,Jan,4098,3802,296,7.2
2012,Feb,4104,3821,283,6.9
2012,Mar,4111,3838,273,6.6
2012,Apr,4097,3852,245,6.0
2012,May,4127,3862,265,6.4
2012,Jun,4170,3869,301,7.2
2012,Jul,4172,3862,310,7.4
2012,Aug,4149,3861,288,6.9
2012,Sep,4168,3900,268,6.4
2012,Oct,4160,3915,245,5.9
2012,Nov,4174,3921,253,6.1
2012,Dec,4193,3929,264,6.3
2013,Jan,4128,3832,296,7.2
2013,Feb,4106,3851,255,6.2
2013,Mar,4097,3858,239,5.8
2013,Apr,4116,3893,223,5.4
2013,May,4169,3909,260,6.2
2013,Jun,4190,3902,288,6.9
2013,Jul,4190,3905,285,6.8
2013,Aug,4171,3905,266,6.4
2013,Sep,4171,3926,245,5.9
2013,Oct,4122,3896,226,5.5
2013,Nov,4149,3936,213,5.1
2013,Dec,4149,3945,204,4.9
2014,Jan,4081,3861,220,5.4
2014,Feb,4098,3886,212,5.2
2014,Mar,4105,3910,195,4.8
2014,Apr,4097,3928,169,4.1
2014,May,4150,3933,217,5.2
2014,Jun,4170,3936,234,5.6
2014,Jul,4173,3928,245,5.9
2014,Aug,4161,3921,240,5.8
2014,Sep,4148,3942,206,5.0
2014,Oct,4158,3961,197,4.7
2014,Nov,4181,3968,213,5.1
2014,Dec,4168,3969,199,4.8
2015,Jan,4082,3869,213,5.2
2015,Feb,4069,3877,192,4.7
2015,Mar,4053,3876,177,4.4
2015,Apr,4085,3909,176,4.3
2015,May,4124,3921,203,4.9
2015,Jun,4139,3903,236,5.7
2015,Jul,4130,3900,230,5.6
2015,Aug,4115,3900,215,5.2
2015,Sep,4106,3902,204,5.0
2015,Oct,4114,3917,197,4.8
2015,Nov,4147,3935,212,5.1
2015,Dec,4164,3949,215,5.2
2016,Jan,4068,3867,201,4.9
2016,Feb,4097,3900,197,4.8
2016,Mar,4105,3912,193,4.7
2016,Apr,4105,3929,176,4.3
2016,May,4112,3931,181,4.4
2016,Jun,4148,3926,222,5.4
2016,Jul,4158,3936,222,5.3
2016,Aug,4144,3933,211,5.1
2016,Sep,4146,3948,198,4.8
2016,Oct,4133,3949,184,4.5
2016,Nov,4159,3977,182,4.4
2016,Dec,4187,3976,211,5.0
2017,Jan,4154,3920,234,5.6
2017,Feb,4150,3944,206,5.0
2017,Mar,4145,3963,182,4.4
2017,Apr,4142,3980,162,3.9
2017,May,4154,3972,182,4.4
2017,Jun,4195,3983,212,5.1
2017,Jul,4218,4004,214,5.1
2017,Aug,4211,4001,210,5.0
2017,Sep,4230,4047,183,4.3
2017,Oct,4188,4036,152,3.6
2017,Nov,4241,4061,180,4.2
2017,Dec,4232,4058,174,4.1
2018,Jan,4254,4053,201,4.7
2018,Feb,4289,4093,196,4.6
2018,Mar,4268,4094,174,4.1
2018,Apr,4268,4108,160,3.7
2018,May,4284,4112,172,4.0
2018,Jun,4313,4109,204,4.7
2018,Jul,4325,4120,205,4.7
2018,Aug,4288,4095,193,4.5
2018,Sep,4295,4130,165,3.8
2018,Oct,4296,4146,150,3.5
2018,Nov,4310,4163,147,3.4
2018,Dec,4311,4168,143,3.3
2019,Jan,4327,4149,178,4.1
2019,Feb,4345,4178,167,3.8
2019,Mar,4337,4181,156,3.6
2019,Apr,4307,4179,128,3.0
2019,May,4314,4183,131,3.0
2019,Jun,4350,4185,165,3.8
2019,Jul,4366,4204,162,3.7
2019,Aug,4363,4202,161,3.7
2019,Sep,4393,4240,153,3.5
2019,Oct,4392,4247,145,3.3
2019,Nov,4432,4283,149,3.4
2019,Dec,4433,4274,159,3.6
2020,Jan,4428,4253,175,4.0
2020,Feb,4450,4286,164,3.7
2020,Mar,4340,4118,222,5.1
2020,Apr,3872,3468,404,10.4
