Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484270000000003,LAUCN484270000000004,LAUCN484270000000005,LAUCN484270000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Starr County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,26567,21312,5255,19.8
2010,Feb,26458,21327,5131,19.4
2010,Mar,26269,21333,4936,18.8
2010,Apr,26153,21837,4316,16.5
2010,May,25952,21668,4284,16.5
2010,Jun,25787,21328,4459,17.3
2010,Jul,25548,21234,4314,16.9
2010,Aug,25523,21294,4229,16.6
2010,Sep,25757,21672,4085,15.9
2010,Oct,25982,21896,4086,15.7
2010,Nov,26311,21946,4365,16.6
2010,Dec,26573,21930,4643,17.5
2011,Jan,26877,21918,4959,18.5
2011,Feb,26779,21908,4871,18.2
2011,Mar,26543,21985,4558,17.2
2011,Apr,26072,21951,4121,15.8
2011,May,25992,21904,4088,15.7
2011,Jun,26005,21569,4436,17.1
2011,Jul,25707,21483,4224,16.4
2011,Aug,25644,21548,4096,16.0
2011,Sep,25609,21897,3712,14.5
2011,Oct,25854,22118,3736,14.5
2011,Nov,26293,22404,3889,14.8
2011,Dec,26649,22479,4170,15.6
2012,Jan,26795,22453,4342,16.2
2012,Feb,26521,22333,4188,15.8
2012,Mar,26340,22380,3960,15.0
2012,Apr,25785,22163,3622,14.0
2012,May,25693,22061,3632,14.1
2012,Jun,25992,21977,4015,15.4
2012,Jul,25823,21875,3948,15.3
2012,Aug,25352,21762,3590,14.2
2012,Sep,25559,22273,3286,12.9
2012,Oct,25929,22544,3385,13.1
2012,Nov,26095,22623,3472,13.3
2012,Dec,26546,22581,3965,14.9
2013,Jan,27023,22558,4465,16.5
2013,Feb,26911,22608,4303,16.0
2013,Mar,26568,22541,4027,15.2
2013,Apr,26620,22850,3770,14.2
2013,May,26669,22680,3989,15.0
2013,Jun,26618,22491,4127,15.5
2013,Jul,26188,22241,3947,15.1
2013,Aug,25839,22039,3800,14.7
2013,Sep,25780,22218,3562,13.8
2013,Oct,25663,22052,3611,14.1
2013,Nov,26013,22229,3784,14.5
2013,Dec,26237,22316,3921,14.9
2014,Jan,26737,22526,4211,15.7
2014,Feb,26741,22602,4139,15.5
2014,Mar,26668,22661,4007,15.0
2014,Apr,26450,22836,3614,13.7
2014,May,26178,22767,3411,13.0
2014,Jun,25935,22345,3590,13.8
2014,Jul,25672,22067,3605,14.0
2014,Aug,25507,22032,3475,13.6
2014,Sep,25503,22459,3044,11.9
2014,Oct,25426,22506,2920,11.5
2014,Nov,25764,22498,3266,12.7
2014,Dec,25693,22412,3281,12.8
2015,Jan,26189,22441,3748,14.3
2015,Feb,26103,22504,3599,13.8
2015,Mar,26240,22630,3610,13.8
2015,Apr,26108,22728,3380,12.9
2015,May,26117,22704,3413,13.1
2015,Jun,25987,22336,3651,14.0
2015,Jul,25527,21945,3582,14.0
2015,Aug,25306,21880,3426,13.5
2015,Sep,25199,22026,3173,12.6
2015,Oct,25626,22407,3219,12.6
2015,Nov,25971,22511,3460,13.3
2015,Dec,26178,22674,3504,13.4
2016,Jan,26380,22735,3645,13.8
2016,Feb,26731,23120,3611,13.5
2016,Mar,26868,23119,3749,14.0
2016,Apr,26651,23160,3491,13.1
2016,May,26396,23202,3194,12.1
2016,Jun,26508,22840,3668,13.8
2016,Jul,25980,22339,3641,14.0
2016,Aug,25897,22343,3554,13.7
2016,Sep,25982,22512,3470,13.4
2016,Oct,25766,22657,3109,12.1
2016,Nov,26168,22838,3330,12.7
2016,Dec,26675,22991,3684,13.8
2017,Jan,27355,23063,4292,15.7
2017,Feb,27135,23144,3991,14.7
2017,Mar,27024,23411,3613,13.4
2017,Apr,26841,23463,3378,12.6
2017,May,26305,23417,2888,11.0
2017,Jun,26233,23119,3114,11.9
2017,Jul,25600,22686,2914,11.4
2017,Aug,25209,22438,2771,11.0
2017,Sep,25183,22708,2475,9.8
2017,Oct,25184,22966,2218,8.8
2017,Nov,25357,22901,2456,9.7
2017,Dec,25812,23091,2721,10.5
2018,Jan,26262,22990,3272,12.5
2018,Feb,26075,23051,3024,11.6
2018,Mar,25905,23144,2761,10.7
2018,Apr,25805,23075,2730,10.6
2018,May,25428,23028,2400,9.4
2018,Jun,25348,22500,2848,11.2
2018,Jul,24382,21780,2602,10.7
2018,Aug,24213,21954,2259,9.3
2018,Sep,24239,22144,2095,8.6
2018,Oct,24587,22628,1959,8.0
2018,Nov,24707,22694,2013,8.1
2018,Dec,25093,22717,2376,9.5
2019,Jan,25810,23086,2724,10.6
2019,Feb,25700,23212,2488,9.7
2019,Mar,25574,23338,2236,8.7
2019,Apr,25222,23262,1960,7.8
2019,May,25066,23089,1977,7.9
2019,Jun,24817,22356,2461,9.9
2019,Jul,24693,22011,2682,10.9
2019,Aug,24796,22322,2474,10.0
2019,Sep,24613,22213,2400,9.8
2019,Oct,25044,22664,2380,9.5
2019,Nov,25426,22643,2783,10.9
2019,Dec,25960,22741,3219,12.4
2020,Jan,26543,22882,3661,13.8
2020,Feb,26387,22978,3409,12.9
2020,Mar,27069,22393,4676,17.3
2020,Apr,24458,18507,5951,24.3
