Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484290000000003,LAUCN484290000000004,LAUCN484290000000005,LAUCN484290000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Stephens County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4093,3745,348,8.5
2010,Feb,4100,3769,331,8.1
2010,Mar,4186,3855,331,7.9
2010,Apr,4265,3954,311,7.3
2010,May,4237,3949,288,6.8
2010,Jun,4336,4023,313,7.2
2010,Jul,4323,4007,316,7.3
2010,Aug,4263,3953,310,7.3
2010,Sep,4290,3986,304,7.1
2010,Oct,4241,3951,290,6.8
2010,Nov,4234,3937,297,7.0
2010,Dec,4372,4010,362,8.3
2011,Jan,4410,4025,385,8.7
2011,Feb,4364,3985,379,8.7
2011,Mar,4399,4034,365,8.3
2011,Apr,4383,4043,340,7.8
2011,May,4411,4074,337,7.6
2011,Jun,4505,4127,378,8.4
2011,Jul,4502,4135,367,8.2
2011,Aug,4512,4162,350,7.8
2011,Sep,4517,4167,350,7.7
2011,Oct,4436,4121,315,7.1
2011,Nov,4436,4140,296,6.7
2011,Dec,4401,4121,280,6.4
2012,Jan,4400,4116,284,6.5
2012,Feb,4403,4122,281,6.4
2012,Mar,4447,4184,263,5.9
2012,Apr,4417,4176,241,5.5
2012,May,4427,4168,259,5.9
2012,Jun,4426,4137,289,6.5
2012,Jul,4386,4103,283,6.5
2012,Aug,4361,4096,265,6.1
2012,Sep,4439,4190,249,5.6
2012,Oct,4348,4099,249,5.7
2012,Nov,4280,4052,228,5.3
2012,Dec,4271,4046,225,5.3
2013,Jan,4239,3985,254,6.0
2013,Feb,4274,4034,240,5.6
2013,Mar,4204,3984,220,5.2
2013,Apr,4185,3973,212,5.1
2013,May,4214,3995,219,5.2
2013,Jun,4248,4014,234,5.5
2013,Jul,4223,3991,232,5.5
2013,Aug,4174,3955,219,5.2
2013,Sep,4192,3981,211,5.0
2013,Oct,4186,3983,203,4.8
2013,Nov,4152,3970,182,4.4
2013,Dec,4203,4020,183,4.4
2014,Jan,4272,4067,205,4.8
2014,Feb,4293,4093,200,4.7
2014,Mar,4338,4134,204,4.7
2014,Apr,4312,4135,177,4.1
2014,May,4295,4101,194,4.5
2014,Jun,4322,4123,199,4.6
2014,Jul,4301,4099,202,4.7
2014,Aug,4245,4044,201,4.7
2014,Sep,4299,4119,180,4.2
2014,Oct,4326,4159,167,3.9
2014,Nov,4291,4126,165,3.8
2014,Dec,4263,4107,156,3.7
2015,Jan,4228,4056,172,4.1
2015,Feb,4259,4101,158,3.7
2015,Mar,4234,4079,155,3.7
2015,Apr,4223,4071,152,3.6
2015,May,4186,4010,176,4.2
2015,Jun,4172,3996,176,4.2
2015,Jul,4069,3885,184,4.5
2015,Aug,3998,3825,173,4.3
2015,Sep,4000,3826,174,4.4
2015,Oct,3964,3792,172,4.3
2015,Nov,3961,3779,182,4.6
2015,Dec,3995,3812,183,4.6
2016,Jan,3997,3797,200,5.0
2016,Feb,4006,3805,201,5.0
2016,Mar,4075,3866,209,5.1
2016,Apr,4047,3846,201,5.0
2016,May,4059,3854,205,5.1
2016,Jun,4103,3857,246,6.0
2016,Jul,4008,3780,228,5.7
2016,Aug,3980,3752,228,5.7
2016,Sep,4011,3790,221,5.5
2016,Oct,4000,3799,201,5.0
2016,Nov,3951,3749,202,5.1
2016,Dec,3948,3754,194,4.9
2017,Jan,3906,3711,195,5.0
2017,Feb,3951,3764,187,4.7
2017,Mar,4049,3842,207,5.1
2017,Apr,4049,3855,194,4.8
2017,May,3994,3805,189,4.7
2017,Jun,4032,3825,207,5.1
2017,Jul,3984,3798,186,4.7
2017,Aug,4001,3815,186,4.6
2017,Sep,4020,3858,162,4.0
2017,Oct,4047,3891,156,3.9
2017,Nov,4028,3869,159,3.9
2017,Dec,3999,3846,153,3.8
2018,Jan,3978,3808,170,4.3
2018,Feb,4004,3841,163,4.1
2018,Mar,4032,3875,157,3.9
2018,Apr,3967,3828,139,3.5
2018,May,4036,3900,136,3.4
2018,Jun,4012,3850,162,4.0
2018,Jul,3974,3827,147,3.7
2018,Aug,3934,3793,141,3.6
2018,Sep,3923,3787,136,3.5
2018,Oct,3972,3845,127,3.2
2018,Nov,4047,3926,121,3.0
2018,Dec,4052,3927,125,3.1
2019,Jan,4166,4024,142,3.4
2019,Feb,4208,4074,134,3.2
2019,Mar,4210,4080,130,3.1
2019,Apr,4167,4059,108,2.6
2019,May,4117,3999,118,2.9
2019,Jun,4083,3947,136,3.3
2019,Jul,4089,3955,134,3.3
2019,Aug,4045,3907,138,3.4
2019,Sep,4062,3937,125,3.1
2019,Oct,4069,3950,119,2.9
2019,Nov,4036,3922,114,2.8
2019,Dec,4049,3938,111,2.7
2020,Jan,4063,3923,140,3.4
2020,Feb,4083,3948,135,3.3
2020,Mar,4052,3861,191,4.7
2020,Apr,3444,3212,232,6.7
