Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484310000000003,LAUCN484310000000004,LAUCN484310000000005,LAUCN484310000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Sterling County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,636,598,38,6.0
2010,Feb,644,607,37,5.7
2010,Mar,659,626,33,5.0
2010,Apr,685,653,32,4.7
2010,May,666,635,31,4.7
2010,Jun,700,666,34,4.9
2010,Jul,706,674,32,4.5
2010,Aug,680,652,28,4.1
2010,Sep,677,651,26,3.8
2010,Oct,690,659,31,4.5
2010,Nov,680,648,32,4.7
2010,Dec,679,648,31,4.6
2011,Jan,667,629,38,5.7
2011,Feb,646,612,34,5.3
2011,Mar,664,629,35,5.3
2011,Apr,669,634,35,5.2
2011,May,662,623,39,5.9
2011,Jun,694,657,37,5.3
2011,Jul,695,662,33,4.7
2011,Aug,714,681,33,4.6
2011,Sep,710,679,31,4.4
2011,Oct,683,655,28,4.1
2011,Nov,691,661,30,4.3
2011,Dec,693,667,26,3.8
2012,Jan,664,639,25,3.8
2012,Feb,669,643,26,3.9
2012,Mar,696,669,27,3.9
2012,Apr,720,696,24,3.3
2012,May,723,698,25,3.5
2012,Jun,744,716,28,3.8
2012,Jul,763,735,28,3.7
2012,Aug,741,716,25,3.4
2012,Sep,748,724,24,3.2
2012,Oct,737,714,23,3.1
2012,Nov,720,697,23,3.2
2012,Dec,713,688,25,3.5
2013,Jan,711,678,33,4.6
2013,Feb,706,676,30,4.2
2013,Mar,708,679,29,4.1
2013,Apr,711,680,31,4.4
2013,May,742,715,27,3.6
2013,Jun,789,754,35,4.4
2013,Jul,808,778,30,3.7
2013,Aug,774,746,28,3.6
2013,Sep,781,754,27,3.5
2013,Oct,784,755,29,3.7
2013,Nov,745,720,25,3.4
2013,Dec,762,738,24,3.1
2014,Jan,777,750,27,3.5
2014,Feb,806,778,28,3.5
2014,Mar,815,787,28,3.4
2014,Apr,833,809,24,2.9
2014,May,859,836,23,2.7
2014,Jun,850,827,23,2.7
2014,Jul,829,804,25,3.0
2014,Aug,797,774,23,2.9
2014,Sep,816,793,23,2.8
2014,Oct,816,794,22,2.7
2014,Nov,785,764,21,2.7
2014,Dec,772,754,18,2.3
2015,Jan,742,718,24,3.2
2015,Feb,762,737,25,3.3
2015,Mar,785,759,26,3.3
2015,Apr,773,743,30,3.9
2015,May,784,752,32,4.1
2015,Jun,774,745,29,3.7
2015,Jul,745,722,23,3.1
2015,Aug,726,705,21,2.9
2015,Sep,751,727,24,3.2
2015,Oct,728,706,22,3.0
2015,Nov,694,670,24,3.5
2015,Dec,697,676,21,3.0
2016,Jan,660,639,21,3.2
2016,Feb,710,683,27,3.8
2016,Mar,722,700,22,3.0
2016,Apr,707,685,22,3.1
2016,May,716,694,22,3.1
2016,Jun,690,667,23,3.3
2016,Jul,642,617,25,3.9
2016,Aug,658,632,26,4.0
2016,Sep,634,603,31,4.9
2016,Oct,636,606,30,4.7
2016,Nov,634,603,31,4.9
2016,Dec,621,589,32,5.2
2017,Jan,581,548,33,5.7
2017,Feb,602,570,32,5.3
2017,Mar,646,615,31,4.8
2017,Apr,619,600,19,3.1
2017,May,625,604,21,3.4
2017,Jun,616,597,19,3.1
2017,Jul,568,551,17,3.0
2017,Aug,585,568,17,2.9
2017,Sep,561,545,16,2.9
2017,Oct,584,567,17,2.9
2017,Nov,566,545,21,3.7
2017,Dec,565,548,17,3.0
2018,Jan,580,559,21,3.6
2018,Feb,582,562,20,3.4
2018,Mar,614,596,18,2.9
2018,Apr,584,566,18,3.1
2018,May,603,586,17,2.8
2018,Jun,601,580,21,3.5
2018,Jul,571,551,20,3.5
2018,Aug,592,570,22,3.7
2018,Sep,583,564,19,3.3
2018,Oct,573,555,18,3.1
2018,Nov,564,544,20,3.5
2018,Dec,533,514,19,3.6
2019,Jan,533,513,20,3.8
2019,Feb,569,551,18,3.2
2019,Mar,589,573,16,2.7
2019,Apr,578,560,18,3.1
2019,May,596,579,17,2.9
2019,Jun,591,574,17,2.9
2019,Jul,572,554,18,3.1
2019,Aug,619,600,19,3.1
2019,Sep,580,563,17,2.9
2019,Oct,597,579,18,3.0
2019,Nov,561,542,19,3.4
2019,Dec,564,548,16,2.8
2020,Jan,563,542,21,3.7
2020,Feb,573,554,19,3.3
2020,Mar,578,550,28,4.8
2020,Apr,509,469,40,7.9
