Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484330000000003,LAUCN484330000000004,LAUCN484330000000005,LAUCN484330000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Stonewall County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,709,664,45,6.3
2010,Feb,706,660,46,6.5
2010,Mar,709,670,39,5.5
2010,Apr,734,691,43,5.9
2010,May,749,709,40,5.3
2010,Jun,786,739,47,6.0
2010,Jul,789,743,46,5.8
2010,Aug,781,736,45,5.8
2010,Sep,768,723,45,5.9
2010,Oct,752,712,40,5.3
2010,Nov,739,698,41,5.5
2010,Dec,729,690,39,5.3
2011,Jan,710,666,44,6.2
2011,Feb,710,669,41,5.8
2011,Mar,714,677,37,5.2
2011,Apr,711,675,36,5.1
2011,May,724,685,39,5.4
2011,Jun,768,724,44,5.7
2011,Jul,766,723,43,5.6
2011,Aug,796,751,45,5.7
2011,Sep,768,726,42,5.5
2011,Oct,760,719,41,5.4
2011,Nov,764,726,38,5.0
2011,Dec,760,724,36,4.7
2012,Jan,735,699,36,4.9
2012,Feb,723,690,33,4.6
2012,Mar,730,696,34,4.7
2012,Apr,737,706,31,4.2
2012,May,740,708,32,4.3
2012,Jun,776,740,36,4.6
2012,Jul,781,744,37,4.7
2012,Aug,775,740,35,4.5
2012,Sep,762,729,33,4.3
2012,Oct,735,704,31,4.2
2012,Nov,737,710,27,3.7
2012,Dec,745,719,26,3.5
2013,Jan,698,668,30,4.3
2013,Feb,702,670,32,4.6
2013,Mar,685,652,33,4.8
2013,Apr,723,690,33,4.6
2013,May,736,701,35,4.8
2013,Jun,743,704,39,5.2
2013,Jul,742,704,38,5.1
2013,Aug,726,693,33,4.5
2013,Sep,703,668,35,5.0
2013,Oct,687,653,34,4.9
2013,Nov,662,632,30,4.5
2013,Dec,685,657,28,4.1
2014,Jan,665,637,28,4.2
2014,Feb,695,663,32,4.6
2014,Mar,702,671,31,4.4
2014,Apr,713,689,24,3.4
2014,May,721,694,27,3.7
2014,Jun,727,701,26,3.6
2014,Jul,722,695,27,3.7
2014,Aug,702,674,28,4.0
2014,Sep,700,675,25,3.6
2014,Oct,687,662,25,3.6
2014,Nov,671,647,24,3.6
2014,Dec,667,643,24,3.6
2015,Jan,657,628,29,4.4
2015,Feb,656,627,29,4.4
2015,Mar,668,634,34,5.1
2015,Apr,670,640,30,4.5
2015,May,698,667,31,4.4
2015,Jun,700,674,26,3.7
2015,Jul,686,659,27,3.9
2015,Aug,669,645,24,3.6
2015,Sep,655,628,27,4.1
2015,Oct,647,615,32,4.9
2015,Nov,622,592,30,4.8
2015,Dec,620,593,27,4.4
2016,Jan,605,576,29,4.8
2016,Feb,631,603,28,4.4
2016,Mar,642,613,29,4.5
2016,Apr,648,623,25,3.9
2016,May,670,645,25,3.7
2016,Jun,665,637,28,4.2
2016,Jul,658,629,29,4.4
2016,Aug,664,634,30,4.5
2016,Sep,641,609,32,5.0
2016,Oct,622,594,28,4.5
2016,Nov,612,587,25,4.1
2016,Dec,615,591,24,3.9
2017,Jan,608,583,25,4.1
2017,Feb,618,596,22,3.6
2017,Mar,627,606,21,3.3
2017,Apr,615,596,19,3.1
2017,May,636,613,23,3.6
2017,Jun,636,614,22,3.5
2017,Jul,625,600,25,4.0
2017,Aug,633,610,23,3.6
2017,Sep,611,590,21,3.4
2017,Oct,591,573,18,3.0
2017,Nov,577,558,19,3.3
2017,Dec,590,571,19,3.2
2018,Jan,572,551,21,3.7
2018,Feb,576,554,22,3.8
2018,Mar,606,587,19,3.1
2018,Apr,581,563,18,3.1
2018,May,600,584,16,2.7
2018,Jun,609,586,23,3.8
2018,Jul,613,592,21,3.4
2018,Aug,616,593,23,3.7
2018,Sep,599,579,20,3.3
2018,Oct,582,562,20,3.4
2018,Nov,565,547,18,3.2
2018,Dec,559,542,17,3.0
2019,Jan,561,540,21,3.7
2019,Feb,571,553,18,3.2
2019,Mar,576,558,18,3.1
2019,Apr,581,566,15,2.6
2019,May,603,588,15,2.5
2019,Jun,614,597,17,2.8
2019,Jul,614,595,19,3.1
2019,Aug,623,604,19,3.0
2019,Sep,595,578,17,2.9
2019,Oct,583,567,16,2.7
2019,Nov,564,546,18,3.2
2019,Dec,570,554,16,2.8
2020,Jan,566,548,18,3.2
2020,Feb,576,557,19,3.3
2020,Mar,567,543,24,4.2
2020,Apr,478,451,27,5.6
