Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484350000000003,LAUCN484350000000004,LAUCN484350000000005,LAUCN484350000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Sutton County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2067,1808,259,12.5
2010,Feb,2045,1816,229,11.2
2010,Mar,2008,1789,219,10.9
2010,Apr,2013,1816,197,9.8
2010,May,1983,1796,187,9.4
2010,Jun,2011,1816,195,9.7
2010,Jul,2017,1825,192,9.5
2010,Aug,1992,1814,178,8.9
2010,Sep,1968,1803,165,8.4
2010,Oct,1916,1759,157,8.2
2010,Nov,1928,1764,164,8.5
2010,Dec,1936,1783,153,7.9
2011,Jan,1911,1757,154,8.1
2011,Feb,1926,1779,147,7.6
2011,Mar,1932,1789,143,7.4
2011,Apr,1924,1791,133,6.9
2011,May,1948,1812,136,7.0
2011,Jun,1960,1813,147,7.5
2011,Jul,1983,1842,141,7.1
2011,Aug,1993,1860,133,6.7
2011,Sep,1973,1846,127,6.4
2011,Oct,1924,1810,114,5.9
2011,Nov,1939,1833,106,5.5
2011,Dec,1949,1847,102,5.2
2012,Jan,1942,1839,103,5.3
2012,Feb,1953,1853,100,5.1
2012,Mar,1945,1851,94,4.8
2012,Apr,1986,1897,89,4.5
2012,May,1991,1895,96,4.8
2012,Jun,2020,1916,104,5.1
2012,Jul,2042,1936,106,5.2
2012,Aug,2065,1965,100,4.8
2012,Sep,2065,1977,88,4.3
2012,Oct,2054,1969,85,4.1
2012,Nov,2034,1945,89,4.4
2012,Dec,2048,1957,91,4.4
2013,Jan,2068,1964,104,5.0
2013,Feb,2071,1972,99,4.8
2013,Mar,2050,1954,96,4.7
2013,Apr,2071,1977,94,4.5
2013,May,2074,1977,97,4.7
2013,Jun,2091,1984,107,5.1
2013,Jul,2094,1990,104,5.0
2013,Aug,2079,1989,90,4.3
2013,Sep,2070,1977,93,4.5
2013,Oct,2040,1952,88,4.3
2013,Nov,2035,1953,82,4.0
2013,Dec,2043,1965,78,3.8
2014,Jan,2053,1970,83,4.0
2014,Feb,2032,1949,83,4.1
2014,Mar,2061,1983,78,3.8
2014,Apr,2066,2000,66,3.2
2014,May,2059,1987,72,3.5
2014,Jun,2070,1995,75,3.6
2014,Jul,2092,2015,77,3.7
2014,Aug,2031,1957,74,3.6
2014,Sep,2003,1935,68,3.4
2014,Oct,1983,1919,64,3.2
2014,Nov,1961,1897,64,3.3
2014,Dec,1873,1815,58,3.1
2015,Jan,1837,1760,77,4.2
2015,Feb,1813,1725,88,4.9
2015,Mar,1799,1711,88,4.9
2015,Apr,1743,1662,81,4.6
2015,May,1727,1634,93,5.4
2015,Jun,1733,1629,104,6.0
2015,Jul,1723,1614,109,6.3
2015,Aug,1702,1585,117,6.9
2015,Sep,1698,1579,119,7.0
2015,Oct,1642,1513,129,7.9
2015,Nov,1622,1497,125,7.7
2015,Dec,1587,1474,113,7.1
2016,Jan,1629,1500,129,7.9
2016,Feb,1633,1501,132,8.1
2016,Mar,1641,1497,144,8.8
2016,Apr,1627,1485,142,8.7
2016,May,1608,1474,134,8.3
2016,Jun,1605,1463,142,8.8
2016,Jul,1605,1471,134,8.3
2016,Aug,1596,1469,127,8.0
2016,Sep,1566,1439,127,8.1
2016,Oct,1538,1427,111,7.2
2016,Nov,1532,1433,99,6.5
2016,Dec,1503,1409,94,6.3
2017,Jan,1482,1382,100,6.7
2017,Feb,1497,1397,100,6.7
2017,Mar,1515,1424,91,6.0
2017,Apr,1510,1428,82,5.4
2017,May,1516,1441,75,4.9
2017,Jun,1518,1436,82,5.4
2017,Jul,1539,1466,73,4.7
2017,Aug,1523,1455,68,4.5
2017,Sep,1514,1452,62,4.1
2017,Oct,1499,1440,59,3.9
2017,Nov,1486,1424,62,4.2
2017,Dec,1484,1420,64,4.3
2018,Jan,1464,1398,66,4.5
2018,Feb,1447,1382,65,4.5
2018,Mar,1464,1404,60,4.1
2018,Apr,1450,1395,55,3.8
2018,May,1453,1404,49,3.4
2018,Jun,1468,1408,60,4.1
2018,Jul,1485,1428,57,3.8
2018,Aug,1469,1413,56,3.8
2018,Sep,1481,1428,53,3.6
2018,Oct,1428,1380,48,3.4
2018,Nov,1445,1396,49,3.4
2018,Dec,1440,1390,50,3.5
2019,Jan,1509,1451,58,3.8
2019,Feb,1515,1463,52,3.4
2019,Mar,1517,1467,50,3.3
2019,Apr,1507,1462,45,3.0
2019,May,1518,1471,47,3.1
2019,Jun,1533,1477,56,3.7
2019,Jul,1327,1273,54,4.1
2019,Aug,1346,1287,59,4.4
2019,Sep,1319,1267,52,3.9
2019,Oct,1286,1232,54,4.2
2019,Nov,1296,1239,57,4.4
2019,Dec,1292,1239,53,4.1
2020,Jan,1346,1286,60,4.5
2020,Feb,1351,1298,53,3.9
2020,Mar,1336,1260,76,5.7
2020,Apr,1164,1027,137,11.8
