Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484370000000003,LAUCN484370000000004,LAUCN484370000000005,LAUCN484370000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Swisher County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3105,2873,232,7.5
2010,Feb,3101,2870,231,7.4
2010,Mar,3143,2929,214,6.8
2010,Apr,3204,2985,219,6.8
2010,May,3180,2984,196,6.2
2010,Jun,3244,3029,215,6.6
2010,Jul,3240,3025,215,6.6
2010,Aug,3215,3012,203,6.3
2010,Sep,3198,3003,195,6.1
2010,Oct,3185,2993,192,6.0
2010,Nov,3173,2973,200,6.3
2010,Dec,3186,2996,190,6.0
2011,Jan,3120,2902,218,7.0
2011,Feb,3100,2887,213,6.9
2011,Mar,3125,2920,205,6.6
2011,Apr,3147,2949,198,6.3
2011,May,3135,2934,201,6.4
2011,Jun,3234,2991,243,7.5
2011,Jul,3185,2944,241,7.6
2011,Aug,3192,2958,234,7.3
2011,Sep,3193,2969,224,7.0
2011,Oct,3125,2925,200,6.4
2011,Nov,3119,2935,184,5.9
2011,Dec,3140,2960,180,5.7
2012,Jan,3051,2862,189,6.2
2012,Feb,3026,2846,180,5.9
2012,Mar,3047,2870,177,5.8
2012,Apr,3094,2918,176,5.7
2012,May,3093,2905,188,6.1
2012,Jun,3163,2949,214,6.8
2012,Jul,3081,2872,209,6.8
2012,Aug,3031,2846,185,6.1
2012,Sep,3056,2887,169,5.5
2012,Oct,3009,2846,163,5.4
2012,Nov,2989,2833,156,5.2
2012,Dec,2958,2791,167,5.6
2013,Jan,2894,2692,202,7.0
2013,Feb,2950,2699,251,8.5
2013,Mar,2934,2690,244,8.3
2013,Apr,2985,2718,267,8.9
2013,May,3013,2749,264,8.8
2013,Jun,3055,2762,293,9.6
2013,Jul,3028,2745,283,9.3
2013,Aug,2964,2696,268,9.0
2013,Sep,2986,2726,260,8.7
2013,Oct,2962,2717,245,8.3
2013,Nov,2894,2669,225,7.8
2013,Dec,2903,2701,202,7.0
2014,Jan,2871,2659,212,7.4
2014,Feb,2933,2715,218,7.4
2014,Mar,2922,2720,202,6.9
2014,Apr,2921,2752,169,5.8
2014,May,2930,2747,183,6.2
2014,Jun,2928,2743,185,6.3
2014,Jul,2899,2710,189,6.5
2014,Aug,2836,2659,177,6.2
2014,Sep,2903,2739,164,5.6
2014,Oct,2876,2726,150,5.2
2014,Nov,2825,2680,145,5.1
2014,Dec,2768,2643,125,4.5
2015,Jan,2697,2552,145,5.4
2015,Feb,2719,2583,136,5.0
2015,Mar,2754,2621,133,4.8
2015,Apr,2782,2666,116,4.2
2015,May,2829,2697,132,4.7
2015,Jun,2820,2676,144,5.1
2015,Jul,2746,2605,141,5.1
2015,Aug,2708,2582,126,4.7
2015,Sep,2709,2581,128,4.7
2015,Oct,2696,2572,124,4.6
2015,Nov,2662,2542,120,4.5
2015,Dec,2669,2558,111,4.2
2016,Jan,2579,2463,116,4.5
2016,Feb,2699,2581,118,4.4
2016,Mar,2735,2618,117,4.3
2016,Apr,2777,2665,112,4.0
2016,May,2795,2689,106,3.8
2016,Jun,2788,2663,125,4.5
2016,Jul,2665,2540,125,4.7
2016,Aug,2721,2597,124,4.6
2016,Sep,2714,2590,124,4.6
2016,Oct,2721,2610,111,4.1
2016,Nov,2697,2592,105,3.9
2016,Dec,2676,2575,101,3.8
2017,Jan,2671,2557,114,4.3
2017,Feb,2728,2600,128,4.7
2017,Mar,2789,2665,124,4.4
2017,Apr,2739,2628,111,4.1
2017,May,2744,2634,110,4.0
2017,Jun,2725,2610,115,4.2
2017,Jul,2646,2536,110,4.2
2017,Aug,2671,2564,107,4.0
2017,Sep,2635,2529,106,4.0
2017,Oct,2663,2563,100,3.8
2017,Nov,2631,2529,102,3.9
2017,Dec,2651,2557,94,3.5
2018,Jan,2634,2526,108,4.1
2018,Feb,2661,2552,109,4.1
2018,Mar,2747,2632,115,4.2
2018,Apr,2688,2573,115,4.3
2018,May,2692,2584,108,4.0
2018,Jun,2681,2555,126,4.7
2018,Jul,2610,2488,122,4.7
2018,Aug,2671,2545,126,4.7
2018,Sep,2661,2543,118,4.4
2018,Oct,2608,2509,99,3.8
2018,Nov,2596,2491,105,4.0
2018,Dec,2582,2480,102,4.0
2019,Jan,2608,2491,117,4.5
2019,Feb,2654,2547,107,4.0
2019,Mar,2673,2569,104,3.9
2019,Apr,2627,2544,83,3.2
2019,May,2648,2562,86,3.2
2019,Jun,2634,2533,101,3.8
2019,Jul,2611,2510,101,3.9
2019,Aug,2673,2569,104,3.9
2019,Sep,2611,2519,92,3.5
2019,Oct,2629,2537,92,3.5
2019,Nov,2575,2481,94,3.7
2019,Dec,2591,2505,86,3.3
2020,Jan,2577,2477,100,3.9
2020,Feb,2613,2513,100,3.8
2020,Mar,2591,2459,132,5.1
2020,Apr,2238,2076,162,7.2
