Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484390000000003,LAUCN484390000000004,LAUCN484390000000005,LAUCN484390000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Tarrant County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,910822,832262,78560,8.6
2010,Feb,912956,836036,76920,8.4
2010,Mar,917821,841607,76214,8.3
2010,Apr,925323,852031,73292,7.9
2010,May,923847,850747,73100,7.9
2010,Jun,926075,848550,77525,8.4
2010,Jul,928410,849967,78443,8.4
2010,Aug,928392,852014,76378,8.2
2010,Sep,929792,855377,74415,8.0
2010,Oct,930695,857933,72762,7.8
2010,Nov,932703,857635,75068,8.0
2010,Dec,932573,860752,71821,7.7
2011,Jan,934600,858797,75803,8.1
2011,Feb,936692,863367,73325,7.8
2011,Mar,941664,869418,72246,7.7
2011,Apr,944493,875454,69039,7.3
2011,May,948845,878332,70513,7.4
2011,Jun,954916,877209,77707,8.1
2011,Jul,955429,878839,76590,8.0
2011,Aug,955407,880959,74448,7.8
2011,Sep,958772,885697,73075,7.6
2011,Oct,959094,889643,69451,7.2
2011,Nov,958648,892974,65674,6.9
2011,Dec,957617,894027,63590,6.6
2012,Jan,954047,887172,66875,7.0
2012,Feb,959433,893273,66160,6.9
2012,Mar,961262,896941,64321,6.7
2012,Apr,959265,899450,59815,6.2
2012,May,965429,902702,62727,6.5
2012,Jun,971517,902924,68593,7.1
2012,Jul,969716,901370,68346,7.0
2012,Aug,966286,901003,65283,6.8
2012,Sep,969044,909211,59833,6.2
2012,Oct,972753,913757,58996,6.1
2012,Nov,971332,914502,56830,5.9
2012,Dec,975024,917471,57553,5.9
2013,Jan,974813,907170,67643,6.9
2013,Feb,973496,911964,61532,6.3
2013,Mar,974032,914524,59508,6.1
2013,Apr,977117,921050,56067,5.7
2013,May,984686,925174,59512,6.0
2013,Jun,988572,923156,65416,6.6
2013,Jul,986501,923406,63095,6.4
2013,Aug,984254,924342,59912,6.1
2013,Sep,987073,929034,58039,5.9
2013,Oct,978821,921635,57186,5.8
2013,Nov,985263,931358,53905,5.5
2013,Dec,983819,933227,50592,5.1
2014,Jan,982418,927310,55108,5.6
2014,Feb,986453,931993,54460,5.5
2014,Mar,991240,937633,53607,5.4
2014,Apr,987886,941692,46194,4.7
2014,May,992798,942953,49845,5.0
2014,Jun,996111,943573,52538,5.3
2014,Jul,996545,941859,54686,5.5
2014,Aug,994694,941398,53296,5.4
2014,Sep,993174,944814,48360,4.9
2014,Oct,994668,949198,45470,4.6
2014,Nov,995908,951209,44699,4.5
2014,Dec,993633,953216,40417,4.1
2015,Jan,988139,943029,45110,4.6
2015,Feb,986849,944753,42096,4.3
2015,Mar,983812,942835,40977,4.2
2015,Apr,987790,950113,37677,3.8
2015,May,992813,952322,40491,4.1
2015,Jun,992090,948679,43411,4.4
2015,Jul,993055,948882,44173,4.4
2015,Aug,992082,950126,41956,4.2
2015,Sep,991172,950080,41092,4.1
2015,Oct,993572,953254,40318,4.1
2015,Nov,998253,958560,39693,4.0
2015,Dec,1000070,962850,37220,3.7
2016,Jan,995405,956236,39169,3.9
2016,Feb,1001491,962778,38713,3.9
2016,Mar,1003853,964445,39408,3.9
2016,Apr,1005014,967889,37125,3.7
2016,May,1004960,968142,36818,3.7
2016,Jun,1010049,967051,42998,4.3
2016,Jul,1015549,971537,44012,4.3
2016,Aug,1013706,970717,42989,4.2
2016,Sep,1019049,976338,42711,4.2
2016,Oct,1016244,975848,40396,4.0
2016,Nov,1022163,983373,38790,3.8
2016,Dec,1020849,982152,38697,3.8
2017,Jan,1021629,979000,42629,4.2
2017,Feb,1026739,983988,42751,4.2
2017,Mar,1028241,987473,40768,4.0
2017,Apr,1029121,992625,36496,3.5
2017,May,1027058,990078,36980,3.6
2017,Jun,1033173,992867,40306,3.9
2017,Jul,1041419,1000505,40914,3.9
2017,Aug,1040170,999168,41002,3.9
2017,Sep,1048470,1011987,36483,3.5
2017,Oct,1042194,1008165,34029,3.3
2017,Nov,1050382,1014911,35471,3.4
2017,Dec,1047517,1012822,34695,3.3
2018,Jan,1045899,1007170,38729,3.7
2018,Feb,1056318,1017478,38840,3.7
2018,Mar,1053307,1015165,38142,3.6
2018,Apr,1054613,1019915,34698,3.3
2018,May,1054969,1020566,34403,3.3
2018,Jun,1061605,1020846,40759,3.8
2018,Jul,1064142,1024667,39475,3.7
2018,Aug,1055954,1017787,38167,3.6
2018,Sep,1063013,1027134,35879,3.4
2018,Oct,1066837,1032127,34710,3.3
2018,Nov,1070595,1036277,34318,3.2
2018,Dec,1072234,1037065,35169,3.3
2019,Jan,1075567,1031880,43687,4.1
2019,Feb,1075811,1039223,36588,3.4
2019,Mar,1074459,1038886,35573,3.3
2019,Apr,1069781,1039477,30304,2.8
2019,May,1071220,1039833,31387,2.9
2019,Jun,1078738,1041255,37483,3.5
2019,Jul,1084792,1045899,38893,3.6
2019,Aug,1081348,1043832,37516,3.5
2019,Sep,1089878,1055280,34598,3.2
2019,Oct,1092588,1057072,35516,3.3
2019,Nov,1100806,1066663,34143,3.1
2019,Dec,1095859,1063687,32172,2.9
2020,Jan,1095298,1058827,36471,3.3
2020,Feb,1101454,1066126,35328,3.2
2020,Mar,1075094,1024230,50864,4.7
2020,Apr,997947,863704,134243,13.5
