Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484410000000003,LAUCN484410000000004,LAUCN484410000000005,LAUCN484410000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Taylor County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,63600,59154,4446,7.0
2010,Feb,63852,59539,4313,6.8
2010,Mar,64036,59781,4255,6.6
2010,Apr,64593,60467,4126,6.4
2010,May,64407,60221,4186,6.5
2010,Jun,64379,59801,4578,7.1
2010,Jul,64375,59760,4615,7.2
2010,Aug,64145,59636,4509,7.0
2010,Sep,64462,60094,4368,6.8
2010,Oct,64602,60288,4314,6.7
2010,Nov,64623,60224,4399,6.8
2010,Dec,64350,60208,4142,6.4
2011,Jan,64601,60167,4434,6.9
2011,Feb,64303,59988,4315,6.7
2011,Mar,64771,60578,4193,6.5
2011,Apr,64790,60756,4034,6.2
2011,May,64751,60587,4164,6.4
2011,Jun,64797,60065,4732,7.3
2011,Jul,64623,60004,4619,7.1
2011,Aug,64231,59761,4470,7.0
2011,Sep,64645,60286,4359,6.7
2011,Oct,65147,61049,4098,6.3
2011,Nov,64937,61081,3856,5.9
2011,Dec,64541,60830,3711,5.7
2012,Jan,64526,60596,3930,6.1
2012,Feb,64780,61001,3779,5.8
2012,Mar,64781,61140,3641,5.6
2012,Apr,64425,60972,3453,5.4
2012,May,64351,60682,3669,5.7
2012,Jun,64337,60205,4132,6.4
2012,Jul,64556,60456,4100,6.4
2012,Aug,63886,60118,3768,5.9
2012,Sep,64327,60901,3426,5.3
2012,Oct,64851,61489,3362,5.2
2012,Nov,64559,61306,3253,5.0
2012,Dec,64438,61139,3299,5.1
2013,Jan,64514,60776,3738,5.8
2013,Feb,64583,61072,3511,5.4
2013,Mar,64293,60946,3347,5.2
2013,Apr,64865,61691,3174,4.9
2013,May,65017,61540,3477,5.3
2013,Jun,64898,60987,3911,6.0
2013,Jul,64650,60897,3753,5.8
2013,Aug,64074,60597,3477,5.4
2013,Sep,64616,61250,3366,5.2
2013,Oct,64691,61438,3253,5.0
2013,Nov,65152,62098,3054,4.7
2013,Dec,64605,61752,2853,4.4
2014,Jan,64559,61611,2948,4.6
2014,Feb,64766,61774,2992,4.6
2014,Mar,64710,61775,2935,4.5
2014,Apr,64883,62430,2453,3.8
2014,May,65011,62255,2756,4.2
2014,Jun,64733,61784,2949,4.6
2014,Jul,64700,61608,3092,4.8
2014,Aug,64063,61208,2855,4.5
2014,Sep,64229,61582,2647,4.1
2014,Oct,64228,61773,2455,3.8
2014,Nov,64231,61861,2370,3.7
2014,Dec,63764,61638,2126,3.3
2015,Jan,63591,61164,2427,3.8
2015,Feb,63670,61301,2369,3.7
2015,Mar,63294,61023,2271,3.6
2015,Apr,63725,61611,2114,3.3
2015,May,63855,61479,2376,3.7
2015,Jun,63500,60961,2539,4.0
2015,Jul,63152,60628,2524,4.0
2015,Aug,62852,60535,2317,3.7
2015,Sep,63080,60746,2334,3.7
2015,Oct,63054,60801,2253,3.6
2015,Nov,63462,61228,2234,3.5
2015,Dec,63107,61029,2078,3.3
2016,Jan,63197,60926,2271,3.6
2016,Feb,63635,61379,2256,3.5
2016,Mar,63469,61176,2293,3.6
2016,Apr,63021,60911,2110,3.3
2016,May,62752,60548,2204,3.5
2016,Jun,63054,60486,2568,4.1
2016,Jul,63197,60578,2619,4.1
2016,Aug,63060,60555,2505,4.0
2016,Sep,63627,61091,2536,4.0
2016,Oct,63423,61009,2414,3.8
2016,Nov,63555,61258,2297,3.6
2016,Dec,63262,60980,2282,3.6
2017,Jan,63368,60896,2472,3.9
2017,Feb,64149,61657,2492,3.9
2017,Mar,64193,61899,2294,3.6
2017,Apr,64208,62116,2092,3.3
2017,May,64111,61846,2265,3.5
2017,Jun,64003,61518,2485,3.9
2017,Jul,63976,61515,2461,3.8
2017,Aug,64118,61667,2451,3.8
2017,Sep,64918,62756,2162,3.3
2017,Oct,64402,62395,2007,3.1
2017,Nov,64646,62596,2050,3.2
2017,Dec,64478,62503,1975,3.1
2018,Jan,64393,62193,2200,3.4
2018,Feb,65297,63123,2174,3.3
2018,Mar,65244,63122,2122,3.3
2018,Apr,65714,63798,1916,2.9
2018,May,65620,63734,1886,2.9
2018,Jun,65447,63152,2295,3.5
2018,Jul,65385,63212,2173,3.3
2018,Aug,64580,62470,2110,3.3
2018,Sep,65330,63339,1991,3.0
2018,Oct,65609,63693,1916,2.9
2018,Nov,65769,63887,1882,2.9
2018,Dec,65722,63787,1935,2.9
2019,Jan,65721,63543,2178,3.3
2019,Feb,66344,64357,1987,3.0
2019,Mar,66480,64532,1948,2.9
2019,Apr,66431,64819,1612,2.4
2019,May,66381,64675,1706,2.6
2019,Jun,66501,64405,2096,3.2
2019,Jul,66961,64825,2136,3.2
2019,Aug,66795,64751,2044,3.1
2019,Sep,67755,65871,1884,2.8
2019,Oct,67997,66138,1859,2.7
2019,Nov,68204,66341,1863,2.7
2019,Dec,67546,65805,1741,2.6
2020,Jan,67604,65569,2035,3.0
2020,Feb,68062,66092,1970,2.9
2020,Mar,66326,63554,2772,4.2
2020,Apr,60388,55012,5376,8.9
