Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484430000000003,LAUCN484430000000004,LAUCN484430000000005,LAUCN484430000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Terrell County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,459,427,32,7.0
2010,Feb,485,449,36,7.4
2010,Mar,490,456,34,6.9
2010,Apr,497,467,30,6.0
2010,May,495,467,28,5.7
2010,Jun,506,472,34,6.7
2010,Jul,509,471,38,7.5
2010,Aug,519,479,40,7.7
2010,Sep,523,484,39,7.5
2010,Oct,510,479,31,6.1
2010,Nov,509,477,32,6.3
2010,Dec,503,471,32,6.4
2011,Jan,511,478,33,6.5
2011,Feb,499,467,32,6.4
2011,Mar,506,474,32,6.3
2011,Apr,508,477,31,6.1
2011,May,511,477,34,6.7
2011,Jun,519,483,36,6.9
2011,Jul,532,499,33,6.2
2011,Aug,535,503,32,6.0
2011,Sep,535,503,32,6.0
2011,Oct,522,492,30,5.7
2011,Nov,514,486,28,5.4
2011,Dec,519,488,31,6.0
2012,Jan,497,469,28,5.6
2012,Feb,501,476,25,5.0
2012,Mar,513,489,24,4.7
2012,Apr,528,506,22,4.2
2012,May,557,534,23,4.1
2012,Jun,577,550,27,4.7
2012,Jul,574,546,28,4.9
2012,Aug,560,533,27,4.8
2012,Sep,580,554,26,4.5
2012,Oct,559,534,25,4.5
2012,Nov,568,545,23,4.0
2012,Dec,563,535,28,5.0
2013,Jan,524,495,29,5.5
2013,Feb,533,503,30,5.6
2013,Mar,522,494,28,5.4
2013,Apr,530,501,29,5.5
2013,May,531,505,26,4.9
2013,Jun,545,521,24,4.4
2013,Jul,557,535,22,3.9
2013,Aug,527,501,26,4.9
2013,Sep,535,512,23,4.3
2013,Oct,507,482,25,4.9
2013,Nov,495,471,24,4.8
2013,Dec,483,462,21,4.3
2014,Jan,498,472,26,5.2
2014,Feb,495,468,27,5.5
2014,Mar,469,442,27,5.8
2014,Apr,498,475,23,4.6
2014,May,489,467,22,4.5
2014,Jun,479,459,20,4.2
2014,Jul,488,468,20,4.1
2014,Aug,476,457,19,4.0
2014,Sep,469,449,20,4.3
2014,Oct,475,456,19,4.0
2014,Nov,468,449,19,4.1
2014,Dec,459,443,16,3.5
2015,Jan,435,420,15,3.4
2015,Feb,451,435,16,3.5
2015,Mar,462,443,19,4.1
2015,Apr,453,433,20,4.4
2015,May,461,438,23,5.0
2015,Jun,463,438,25,5.4
2015,Jul,436,411,25,5.7
2015,Aug,425,400,25,5.9
2015,Sep,420,395,25,6.0
2015,Oct,410,388,22,5.4
2015,Nov,403,383,20,5.0
2015,Dec,398,380,18,4.5
2016,Jan,398,380,18,4.5
2016,Feb,412,395,17,4.1
2016,Mar,412,397,15,3.6
2016,Apr,416,402,14,3.4
2016,May,416,403,13,3.1
2016,Jun,422,407,15,3.6
2016,Jul,419,403,16,3.8
2016,Aug,410,394,16,3.9
2016,Sep,414,396,18,4.3
2016,Oct,396,379,17,4.3
2016,Nov,390,372,18,4.6
2016,Dec,372,352,20,5.4
2017,Jan,372,347,25,6.7
2017,Feb,393,368,25,6.4
2017,Mar,405,381,24,5.9
2017,Apr,404,384,20,5.0
2017,May,403,384,19,4.7
2017,Jun,398,379,19,4.8
2017,Jul,392,373,19,4.8
2017,Aug,373,359,14,3.8
2017,Sep,380,366,14,3.7
2017,Oct,406,393,13,3.2
2017,Nov,405,389,16,4.0
2017,Dec,391,378,13,3.3
2018,Jan,371,358,13,3.5
2018,Feb,372,357,15,4.0
2018,Mar,388,373,15,3.9
2018,Apr,388,373,15,3.9
2018,May,390,377,13,3.3
2018,Jun,386,375,11,2.8
2018,Jul,381,370,11,2.9
2018,Aug,378,367,11,2.9
2018,Sep,377,365,12,3.2
2018,Oct,372,361,11,3.0
2018,Nov,366,355,11,3.0
2018,Dec,366,353,13,3.6
2019,Jan,364,349,15,4.1
2019,Feb,377,364,13,3.4
2019,Mar,379,366,13,3.4
2019,Apr,376,366,10,2.7
2019,May,394,384,10,2.5
2019,Jun,400,388,12,3.0
2019,Jul,369,357,12,3.3
2019,Aug,376,361,15,4.0
2019,Sep,377,360,17,4.5
2019,Oct,375,362,13,3.5
2019,Nov,371,358,13,3.5
2019,Dec,367,354,13,3.5
2020,Jan,360,347,13,3.6
2020,Feb,370,356,14,3.8
2020,Mar,370,348,22,5.9
2020,Apr,310,294,16,5.2
