Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484450000000003,LAUCN484450000000004,LAUCN484450000000005,LAUCN484450000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Terry County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5566,5091,475,8.5
2010,Feb,5582,5122,460,8.2
2010,Mar,5673,5222,451,7.9
2010,Apr,5782,5354,428,7.4
2010,May,5722,5299,423,7.4
2010,Jun,5856,5398,458,7.8
2010,Jul,5857,5399,458,7.8
2010,Aug,5779,5351,428,7.4
2010,Sep,5782,5387,395,6.8
2010,Oct,5844,5469,375,6.4
2010,Nov,5812,5423,389,6.7
2010,Dec,5821,5421,400,6.9
2011,Jan,5757,5338,419,7.3
2011,Feb,5692,5284,408,7.2
2011,Mar,5836,5421,415,7.1
2011,Apr,5817,5427,390,6.7
2011,May,5782,5389,393,6.8
2011,Jun,5981,5529,452,7.6
2011,Jul,5999,5541,458,7.6
2011,Aug,6004,5573,431,7.2
2011,Sep,5929,5486,443,7.5
2011,Oct,5762,5352,410,7.1
2011,Nov,5831,5446,385,6.6
2011,Dec,5850,5460,390,6.7
2012,Jan,5647,5246,401,7.1
2012,Feb,5602,5205,397,7.1
2012,Mar,5687,5297,390,6.9
2012,Apr,5736,5380,356,6.2
2012,May,5749,5378,371,6.5
2012,Jun,5863,5448,415,7.1
2012,Jul,5784,5371,413,7.1
2012,Aug,5642,5270,372,6.6
2012,Sep,5646,5303,343,6.1
2012,Oct,5567,5233,334,6.0
2012,Nov,5485,5166,319,5.8
2012,Dec,5579,5238,341,6.1
2013,Jan,5388,4996,392,7.3
2013,Feb,5359,4995,364,6.8
2013,Mar,5334,4985,349,6.5
2013,Apr,5461,5143,318,5.8
2013,May,5580,5254,326,5.8
2013,Jun,5699,5322,377,6.6
2013,Jul,5724,5366,358,6.3
2013,Aug,5554,5239,315,5.7
2013,Sep,5596,5279,317,5.7
2013,Oct,5611,5319,292,5.2
2013,Nov,5446,5178,268,4.9
2013,Dec,5646,5389,257,4.6
2014,Jan,5456,5200,256,4.7
2014,Feb,5553,5273,280,5.0
2014,Mar,5558,5298,260,4.7
2014,Apr,5670,5448,222,3.9
2014,May,5713,5468,245,4.3
2014,Jun,5716,5448,268,4.7
2014,Jul,5704,5433,271,4.8
2014,Aug,5609,5358,251,4.5
2014,Sep,5575,5343,232,4.2
2014,Oct,5669,5447,222,3.9
2014,Nov,5640,5437,203,3.6
2014,Dec,5560,5375,185,3.3
2015,Jan,5433,5201,232,4.3
2015,Feb,5497,5248,249,4.5
2015,Mar,5524,5274,250,4.5
2015,Apr,5458,5221,237,4.3
2015,May,5489,5231,258,4.7
2015,Jun,5495,5206,289,5.3
2015,Jul,5411,5123,288,5.3
2015,Aug,5314,5042,272,5.1
2015,Sep,5274,5016,258,4.9
2015,Oct,5308,5065,243,4.6
2015,Nov,5341,5108,233,4.4
2015,Dec,5300,5080,220,4.2
2016,Jan,5029,4797,232,4.6
2016,Feb,5265,5017,248,4.7
2016,Mar,5391,5134,257,4.8
2016,Apr,5458,5216,242,4.4
2016,May,5621,5372,249,4.4
2016,Jun,5519,5234,285,5.2
2016,Jul,5387,5095,292,5.4
2016,Aug,5453,5179,274,5.0
2016,Sep,5383,5116,267,5.0
2016,Oct,5258,5011,247,4.7
2016,Nov,5218,4984,234,4.5
2016,Dec,5187,4958,229,4.4
2017,Jan,5112,4859,253,4.9
2017,Feb,5227,4931,296,5.7
2017,Mar,5387,5102,285,5.3
2017,Apr,5421,5160,261,4.8
2017,May,5426,5168,258,4.8
2017,Jun,5357,5062,295,5.5
2017,Jul,5160,4873,287,5.6
2017,Aug,5220,4928,292,5.6
2017,Sep,5115,4861,254,5.0
2017,Oct,5206,4975,231,4.4
2017,Nov,5165,4939,226,4.4
2017,Dec,5138,4909,229,4.5
2018,Jan,5041,4790,251,5.0
2018,Feb,5103,4857,246,4.8
2018,Mar,5254,5030,224,4.3
2018,Apr,5193,4991,202,3.9
2018,May,5261,5067,194,3.7
2018,Jun,5212,4982,230,4.4
2018,Jul,5129,4921,208,4.1
2018,Aug,5175,4980,195,3.8
2018,Sep,5152,4964,188,3.6
2018,Oct,5069,4881,188,3.7
2018,Nov,5045,4861,184,3.6
2018,Dec,4939,4752,187,3.8
2019,Jan,4950,4738,212,4.3
2019,Feb,5043,4839,204,4.0
2019,Mar,5095,4907,188,3.7
2019,Apr,5032,4867,165,3.3
2019,May,5088,4916,172,3.4
2019,Jun,5023,4826,197,3.9
2019,Jul,4982,4783,199,4.0
2019,Aug,5070,4883,187,3.7
2019,Sep,4944,4774,170,3.4
2019,Oct,5017,4847,170,3.4
2019,Nov,4909,4739,170,3.5
2019,Dec,4918,4756,162,3.3
2020,Jan,4876,4686,190,3.9
2020,Feb,4899,4728,171,3.5
2020,Mar,4901,4640,261,5.3
2020,Apr,4323,3909,414,9.6
