Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484470000000003,LAUCN484470000000004,LAUCN484470000000005,LAUCN484470000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Throckmorton County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,848,791,57,6.7
2010,Feb,840,786,54,6.4
2010,Mar,861,812,49,5.7
2010,Apr,891,837,54,6.1
2010,May,874,827,47,5.4
2010,Jun,912,859,53,5.8
2010,Jul,913,855,58,6.4
2010,Aug,894,840,54,6.0
2010,Sep,890,836,54,6.1
2010,Oct,868,819,49,5.6
2010,Nov,866,815,51,5.9
2010,Dec,867,816,51,5.9
2011,Jan,851,791,60,7.1
2011,Feb,833,777,56,6.7
2011,Mar,860,801,59,6.9
2011,Apr,867,805,62,7.2
2011,May,885,820,65,7.3
2011,Jun,914,844,70,7.7
2011,Jul,882,815,67,7.6
2011,Aug,896,830,66,7.4
2011,Sep,873,812,61,7.0
2011,Oct,865,807,58,6.7
2011,Nov,871,817,54,6.2
2011,Dec,872,822,50,5.7
2012,Jan,830,782,48,5.8
2012,Feb,822,777,45,5.5
2012,Mar,832,787,45,5.4
2012,Apr,838,792,46,5.5
2012,May,846,797,49,5.8
2012,Jun,857,805,52,6.1
2012,Jul,845,796,49,5.8
2012,Aug,823,782,41,5.0
2012,Sep,827,790,37,4.5
2012,Oct,825,786,39,4.7
2012,Nov,813,775,38,4.7
2012,Dec,802,764,38,4.7
2013,Jan,772,728,44,5.7
2013,Feb,780,739,41,5.3
2013,Mar,771,733,38,4.9
2013,Apr,784,748,36,4.6
2013,May,807,766,41,5.1
2013,Jun,812,770,42,5.2
2013,Jul,811,770,41,5.1
2013,Aug,793,754,39,4.9
2013,Sep,806,766,40,5.0
2013,Oct,812,768,44,5.4
2013,Nov,788,752,36,4.6
2013,Dec,809,775,34,4.2
2014,Jan,813,779,34,4.2
2014,Feb,832,796,36,4.3
2014,Mar,841,803,38,4.5
2014,Apr,841,810,31,3.7
2014,May,860,825,35,4.1
2014,Jun,857,823,34,4.0
2014,Jul,849,810,39,4.6
2014,Aug,830,794,36,4.3
2014,Sep,833,803,30,3.6
2014,Oct,831,802,29,3.5
2014,Nov,814,785,29,3.6
2014,Dec,803,780,23,2.9
2015,Jan,788,760,28,3.6
2015,Feb,798,773,25,3.1
2015,Mar,799,776,23,2.9
2015,Apr,800,777,23,2.9
2015,May,813,787,26,3.2
2015,Jun,811,783,28,3.5
2015,Jul,786,759,27,3.4
2015,Aug,764,739,25,3.3
2015,Sep,761,736,25,3.3
2015,Oct,758,735,23,3.0
2015,Nov,744,720,24,3.2
2015,Dec,748,726,22,2.9
2016,Jan,736,714,22,3.0
2016,Feb,758,734,24,3.2
2016,Mar,775,749,26,3.4
2016,Apr,765,739,26,3.4
2016,May,780,757,23,2.9
2016,Jun,771,743,28,3.6
2016,Jul,737,709,28,3.8
2016,Aug,743,717,26,3.5
2016,Sep,725,698,27,3.7
2016,Oct,715,689,26,3.6
2016,Nov,702,675,27,3.8
2016,Dec,702,676,26,3.7
2017,Jan,674,644,30,4.5
2017,Feb,684,652,32,4.7
2017,Mar,713,684,29,4.1
2017,Apr,723,688,35,4.8
2017,May,720,688,32,4.4
2017,Jun,715,683,32,4.5
2017,Jul,687,655,32,4.7
2017,Aug,700,665,35,5.0
2017,Sep,669,639,30,4.5
2017,Oct,686,660,26,3.8
2017,Nov,660,637,23,3.5
2017,Dec,658,638,20,3.0
2018,Jan,650,628,22,3.4
2018,Feb,669,644,25,3.7
2018,Mar,695,670,25,3.6
2018,Apr,711,690,21,3.0
2018,May,727,705,22,3.0
2018,Jun,715,689,26,3.6
2018,Jul,715,691,24,3.4
2018,Aug,726,703,23,3.2
2018,Sep,714,691,23,3.2
2018,Oct,700,677,23,3.3
2018,Nov,697,675,22,3.2
2018,Dec,691,670,21,3.0
2019,Jan,628,605,23,3.7
2019,Feb,647,623,24,3.7
2019,Mar,665,641,24,3.6
2019,Apr,649,630,19,2.9
2019,May,663,644,19,2.9
2019,Jun,668,640,28,4.2
2019,Jul,660,631,29,4.4
2019,Aug,682,651,31,4.5
2019,Sep,657,630,27,4.1
2019,Oct,665,639,26,3.9
2019,Nov,640,615,25,3.9
2019,Dec,646,624,22,3.4
2020,Jan,632,608,24,3.8
2020,Feb,642,618,24,3.7
2020,Mar,641,609,32,5.0
2020,Apr,529,505,24,4.5
