Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484490000000003,LAUCN484490000000004,LAUCN484490000000005,LAUCN484490000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Titus County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,13921,12699,1222,8.8
2010,Feb,13987,12775,1212,8.7
2010,Mar,14014,12845,1169,8.3
2010,Apr,14090,12938,1152,8.2
2010,May,13974,12835,1139,8.2
2010,Jun,14152,12903,1249,8.8
2010,Jul,14065,12823,1242,8.8
2010,Aug,13997,12757,1240,8.9
2010,Sep,14046,12841,1205,8.6
2010,Oct,13854,12719,1135,8.2
2010,Nov,13948,12745,1203,8.6
2010,Dec,13807,12665,1142,8.3
2011,Jan,13851,12635,1216,8.8
2011,Feb,13838,12686,1152,8.3
2011,Mar,13891,12786,1105,8.0
2011,Apr,13765,12676,1089,7.9
2011,May,13791,12694,1097,8.0
2011,Jun,13815,12572,1243,9.0
2011,Jul,13848,12619,1229,8.9
2011,Aug,13760,12568,1192,8.7
2011,Sep,13790,12642,1148,8.3
2011,Oct,13454,12364,1090,8.1
2011,Nov,13448,12431,1017,7.6
2011,Dec,13386,12411,975,7.3
2012,Jan,13256,12201,1055,8.0
2012,Feb,13368,12349,1019,7.6
2012,Mar,13376,12411,965,7.2
2012,Apr,13330,12433,897,6.7
2012,May,13318,12377,941,7.1
2012,Jun,13443,12348,1095,8.1
2012,Jul,13316,12177,1139,8.6
2012,Aug,13090,12042,1048,8.0
2012,Sep,13301,12338,963,7.2
2012,Oct,13176,12218,958,7.3
2012,Nov,13116,12201,915,7.0
2012,Dec,13116,12170,946,7.2
2013,Jan,13158,12139,1019,7.7
2013,Feb,13071,12088,983,7.5
2013,Mar,13030,12082,948,7.3
2013,Apr,13104,12209,895,6.8
2013,May,13067,12103,964,7.4
2013,Jun,13157,12063,1094,8.3
2013,Jul,13044,11962,1082,8.3
2013,Aug,12954,11906,1048,8.1
2013,Sep,13159,12177,982,7.5
2013,Oct,13034,12107,927,7.1
2013,Nov,13092,12203,889,6.8
2013,Dec,13086,12248,838,6.4
2014,Jan,13071,12206,865,6.6
2014,Feb,13137,12265,872,6.6
2014,Mar,13140,12255,885,6.7
2014,Apr,12996,12249,747,5.7
2014,May,12954,12146,808,6.2
2014,Jun,13039,12140,899,6.9
2014,Jul,12931,12009,922,7.1
2014,Aug,12791,11888,903,7.1
2014,Sep,12883,12104,779,6.0
2014,Oct,12774,12056,718,5.6
2014,Nov,12774,12070,704,5.5
2014,Dec,12602,11942,660,5.2
2015,Jan,12589,11861,728,5.8
2015,Feb,12660,11968,692,5.5
2015,Mar,12748,12056,692,5.4
2015,Apr,12814,12128,686,5.4
2015,May,12824,12079,745,5.8
2015,Jun,12874,12054,820,6.4
2015,Jul,12710,11873,837,6.6
2015,Aug,12636,11862,774,6.1
2015,Sep,12648,11919,729,5.8
2015,Oct,12735,12031,704,5.5
2015,Nov,12796,12103,693,5.4
2015,Dec,12805,12119,686,5.4
2016,Jan,12699,11990,709,5.6
2016,Feb,12808,12124,684,5.3
2016,Mar,12857,12146,711,5.5
2016,Apr,12864,12164,700,5.4
2016,May,12916,12166,750,5.8
2016,Jun,12995,12093,902,6.9
2016,Jul,12933,12009,924,7.1
2016,Aug,12976,12063,913,7.0
2016,Sep,12945,12067,878,6.8
2016,Oct,12808,12012,796,6.2
2016,Nov,12830,12057,773,6.0
2016,Dec,12836,12069,767,6.0
2017,Jan,13040,12171,869,6.7
2017,Feb,13105,12287,818,6.2
2017,Mar,13111,12322,789,6.0
2017,Apr,12974,12295,679,5.2
2017,May,12871,12212,659,5.1
2017,Jun,12945,12207,738,5.7
2017,Jul,12984,12255,729,5.6
2017,Aug,13007,12292,715,5.5
2017,Sep,12960,12347,613,4.7
2017,Oct,12783,12226,557,4.4
2017,Nov,12773,12169,604,4.7
2017,Dec,12844,12244,600,4.7
2018,Jan,12838,12186,652,5.1
2018,Feb,13132,12430,702,5.3
2018,Mar,13146,12460,686,5.2
2018,Apr,13054,12437,617,4.7
2018,May,12956,12353,603,4.7
2018,Jun,12987,12242,745,5.7
2018,Jul,12921,12210,711,5.5
2018,Aug,12715,12047,668,5.3
2018,Sep,12831,12213,618,4.8
2018,Oct,12745,12151,594,4.7
2018,Nov,12735,12170,565,4.4
2018,Dec,12695,12120,575,4.5
2019,Jan,12717,12067,650,5.1
2019,Feb,12814,12262,552,4.3
2019,Mar,12878,12309,569,4.4
2019,Apr,12887,12426,461,3.6
2019,May,12901,12417,484,3.8
2019,Jun,13025,12443,582,4.5
2019,Jul,13043,12435,608,4.7
2019,Aug,12989,12427,562,4.3
2019,Sep,13169,12659,510,3.9
2019,Oct,13105,12605,500,3.8
2019,Nov,13094,12585,509,3.9
2019,Dec,13083,12579,504,3.9
2020,Jan,13096,12505,591,4.5
2020,Feb,13192,12644,548,4.2
2020,Mar,13091,12320,771,5.9
2020,Apr,11639,10394,1245,10.7
