Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484510000000003,LAUCN484510000000004,LAUCN484510000000005,LAUCN484510000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Tom Green County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,51850,48176,3674,7.1
2010,Feb,51844,48325,3519,6.8
2010,Mar,52079,48635,3444,6.6
2010,Apr,52897,49522,3375,6.4
2010,May,52582,49316,3266,6.2
2010,Jun,52906,49330,3576,6.8
2010,Jul,52744,49189,3555,6.7
2010,Aug,52819,49387,3432,6.5
2010,Sep,52916,49514,3402,6.4
2010,Oct,52659,49326,3333,6.3
2010,Nov,52958,49497,3461,6.5
2010,Dec,52882,49568,3314,6.3
2011,Jan,52626,49105,3521,6.7
2011,Feb,52717,49334,3383,6.4
2011,Mar,52928,49706,3222,6.1
2011,Apr,53065,49942,3123,5.9
2011,May,52924,49660,3264,6.2
2011,Jun,53336,49645,3691,6.9
2011,Jul,53488,49825,3663,6.8
2011,Aug,53684,50159,3525,6.6
2011,Sep,53648,50187,3461,6.5
2011,Oct,53487,50283,3204,6.0
2011,Nov,53648,50631,3017,5.6
2011,Dec,53592,50696,2896,5.4
2012,Jan,53101,49979,3122,5.9
2012,Feb,53250,50282,2968,5.6
2012,Mar,53376,50534,2842,5.3
2012,Apr,53569,50863,2706,5.1
2012,May,53848,50987,2861,5.3
2012,Jun,54117,50932,3185,5.9
2012,Jul,54044,50844,3200,5.9
2012,Aug,53889,50939,2950,5.5
2012,Sep,54207,51498,2709,5.0
2012,Oct,54091,51423,2668,4.9
2012,Nov,53947,51355,2592,4.8
2012,Dec,54032,51411,2621,4.9
2013,Jan,53806,50779,3027,5.6
2013,Feb,53974,51140,2834,5.3
2013,Mar,54092,51360,2732,5.1
2013,Apr,54525,51809,2716,5.0
2013,May,54822,51988,2834,5.2
2013,Jun,54719,51469,3250,5.9
2013,Jul,54413,51302,3111,5.7
2013,Aug,54402,51573,2829,5.2
2013,Sep,54557,51799,2758,5.1
2013,Oct,53937,51292,2645,4.9
2013,Nov,53781,51278,2503,4.7
2013,Dec,53876,51537,2339,4.3
2014,Jan,54344,51891,2453,4.5
2014,Feb,54752,52290,2462,4.5
2014,Mar,55047,52642,2405,4.4
2014,Apr,54556,52569,1987,3.6
2014,May,54662,52426,2236,4.1
2014,Jun,54798,52442,2356,4.3
2014,Jul,54904,52433,2471,4.5
2014,Aug,54764,52469,2295,4.2
2014,Sep,55012,52894,2118,3.9
2014,Oct,54664,52691,1973,3.6
2014,Nov,54753,52784,1969,3.6
2014,Dec,54492,52750,1742,3.2
2015,Jan,54440,52340,2100,3.9
2015,Feb,54675,52577,2098,3.8
2015,Mar,54735,52596,2139,3.9
2015,Apr,55020,52933,2087,3.8
2015,May,55215,52897,2318,4.2
2015,Jun,55043,52592,2451,4.5
2015,Jul,54421,51977,2444,4.5
2015,Aug,54161,51885,2276,4.2
2015,Sep,54139,51900,2239,4.1
2015,Oct,54224,51985,2239,4.1
2015,Nov,54296,52037,2259,4.2
2015,Dec,54303,52149,2154,4.0
2016,Jan,54066,51837,2229,4.1
2016,Feb,54822,52446,2376,4.3
2016,Mar,54935,52489,2446,4.5
2016,Apr,54703,52331,2372,4.3
2016,May,54657,52338,2319,4.2
2016,Jun,54739,52129,2610,4.8
2016,Jul,54138,51454,2684,5.0
2016,Aug,53988,51402,2586,4.8
2016,Sep,53871,51344,2527,4.7
2016,Oct,53710,51296,2414,4.5
2016,Nov,53712,51426,2286,4.3
2016,Dec,53389,51143,2246,4.2
2017,Jan,53821,51401,2420,4.5
2017,Feb,54065,51754,2311,4.3
2017,Mar,54134,51964,2170,4.0
2017,Apr,53974,52057,1917,3.6
2017,May,53840,51856,1984,3.7
2017,Jun,54240,52116,2124,3.9
2017,Jul,54210,52122,2088,3.9
2017,Aug,54171,52170,2001,3.7
2017,Sep,54552,52761,1791,3.3
2017,Oct,54355,52695,1660,3.1
2017,Nov,54331,52606,1725,3.2
2017,Dec,54278,52636,1642,3.0
2018,Jan,54271,52467,1804,3.3
2018,Feb,54813,53047,1766,3.2
2018,Mar,54806,53067,1739,3.2
2018,Apr,54765,53212,1553,2.8
2018,May,54546,52990,1556,2.9
2018,Jun,54605,52724,1881,3.4
2018,Jul,54631,52828,1803,3.3
2018,Aug,54468,52720,1748,3.2
2018,Sep,54808,53125,1683,3.1
2018,Oct,54719,53088,1631,3.0
2018,Nov,54923,53282,1641,3.0
2018,Dec,54399,52722,1677,3.1
2019,Jan,54662,52802,1860,3.4
2019,Feb,55134,53402,1732,3.1
2019,Mar,54906,53254,1652,3.0
2019,Apr,54546,53170,1376,2.5
2019,May,54167,52694,1473,2.7
2019,Jun,54391,52606,1785,3.3
2019,Jul,54076,52228,1848,3.4
2019,Aug,54383,52639,1744,3.2
2019,Sep,54658,53057,1601,2.9
2019,Oct,54691,53096,1595,2.9
2019,Nov,54772,53163,1609,2.9
2019,Dec,54431,52897,1534,2.8
2020,Jan,54544,52785,1759,3.2
2020,Feb,54948,53309,1639,3.0
2020,Mar,53699,51381,2318,4.3
2020,Apr,47781,42716,5065,10.6
