Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484530000000003,LAUCN484530000000004,LAUCN484530000000005,LAUCN484530000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Travis County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,564497,523466,41031,7.3
2010,Feb,566547,526892,39655,7.0
2010,Mar,569861,530852,39009,6.8
2010,Apr,576319,538376,37943,6.6
2010,May,573364,535692,37672,6.6
2010,Jun,575801,535375,40426,7.0
2010,Jul,576189,535683,40506,7.0
2010,Aug,577253,537831,39422,6.8
2010,Sep,578599,540128,38471,6.6
2010,Oct,581791,543950,37841,6.5
2010,Nov,585144,546276,38868,6.6
2010,Dec,582185,545393,36792,6.3
2011,Jan,584276,545214,39062,6.7
2011,Feb,587153,549686,37467,6.4
2011,Mar,589138,552337,36801,6.2
2011,Apr,592036,556415,35621,6.0
2011,May,591916,555222,36694,6.2
2011,Jun,593724,552633,41091,6.9
2011,Jul,593264,552347,40917,6.9
2011,Aug,594417,554520,39897,6.7
2011,Sep,598912,559072,39840,6.7
2011,Oct,601179,563590,37589,6.3
2011,Nov,602452,567080,35372,5.9
2011,Dec,600013,566088,33925,5.7
2012,Jan,603253,567038,36215,6.0
2012,Feb,605313,569998,35315,5.8
2012,Mar,606838,572502,34336,5.7
2012,Apr,606691,574835,31856,5.3
2012,May,608329,574965,33364,5.5
2012,Jun,611922,575307,36615,6.0
2012,Jul,612255,575613,36642,6.0
2012,Aug,609941,575421,34520,5.7
2012,Sep,616068,584023,32045,5.2
2012,Oct,621703,589916,31787,5.1
2012,Nov,623268,592995,30273,4.9
2012,Dec,621592,590684,30908,5.0
2013,Jan,621201,585878,35323,5.7
2013,Feb,621656,588806,32850,5.3
2013,Mar,622452,590544,31908,5.1
2013,Apr,627461,597454,30007,4.8
2013,May,629514,598024,31490,5.0
2013,Jun,632218,597381,34837,5.5
2013,Jul,632078,598200,33878,5.4
2013,Aug,629914,597709,32205,5.1
2013,Sep,634146,602280,31866,5.0
2013,Oct,633132,601721,31411,5.0
2013,Nov,639148,610735,28413,4.4
2013,Dec,636105,609537,26568,4.2
2014,Jan,636731,608204,28527,4.5
2014,Feb,641382,612733,28649,4.5
2014,Mar,644755,616521,28234,4.4
2014,Apr,642570,618912,23658,3.7
2014,May,643535,617520,26015,4.0
2014,Jun,645679,618307,27372,4.2
2014,Jul,646980,618020,28960,4.5
2014,Aug,644698,616414,28284,4.4
2014,Sep,646645,620358,26287,4.1
2014,Oct,650146,625674,24472,3.8
2014,Nov,652039,628225,23814,3.7
2014,Dec,646651,625115,21536,3.3
2015,Jan,645153,620938,24215,3.8
2015,Feb,646794,624590,22204,3.4
2015,Mar,648502,627648,20854,3.2
2015,Apr,652557,633308,19249,2.9
2015,May,655790,634697,21093,3.2
2015,Jun,657021,634571,22450,3.4
2015,Jul,655914,632781,23133,3.5
2015,Aug,654019,632517,21502,3.3
2015,Sep,658177,636773,21404,3.3
2015,Oct,662397,641231,21166,3.2
2015,Nov,667133,646319,20814,3.1
2015,Dec,666198,646627,19571,2.9
2016,Jan,664074,643098,20976,3.2
2016,Feb,669810,649376,20434,3.1
2016,Mar,672850,652215,20635,3.1
2016,Apr,673563,654634,18929,2.8
2016,May,673328,654064,19264,2.9
2016,Jun,678405,655726,22679,3.3
2016,Jul,681463,657765,23698,3.5
2016,Aug,678189,655228,22961,3.4
2016,Sep,683262,659731,23531,3.4
2016,Oct,686105,663607,22498,3.3
2016,Nov,688140,666626,21514,3.1
2016,Dec,686148,665028,21120,3.1
2017,Jan,686400,662896,23504,3.4
2017,Feb,692560,668888,23672,3.4
2017,Mar,693780,671398,22382,3.2
2017,Apr,695735,675970,19765,2.8
2017,May,695116,674729,20387,2.9
2017,Jun,697952,675904,22048,3.2
2017,Jul,701127,678584,22543,3.2
2017,Aug,697562,674989,22573,3.2
2017,Sep,705186,684709,20477,2.9
2017,Oct,704290,685300,18990,2.7
2017,Nov,707726,687782,19944,2.8
2017,Dec,706953,687696,19257,2.7
2018,Jan,706583,685421,21162,3.0
2018,Feb,715119,693666,21453,3.0
2018,Mar,714993,693852,21141,3.0
2018,Apr,716947,697990,18957,2.6
2018,May,716201,697590,18611,2.6
2018,Jun,720561,698300,22261,3.1
2018,Jul,721152,699399,21753,3.0
2018,Aug,714255,693034,21221,3.0
2018,Sep,720656,700426,20230,2.8
2018,Oct,726381,707010,19371,2.7
2018,Nov,729069,710000,19069,2.6
2018,Dec,728937,709731,19206,2.6
2019,Jan,731787,709071,22716,3.1
2019,Feb,736440,716500,19940,2.7
2019,Mar,735922,716826,19096,2.6
2019,Apr,735216,719042,16174,2.2
2019,May,734176,717545,16631,2.3
2019,Jun,739439,719531,19908,2.7
2019,Jul,742943,721984,20959,2.8
2019,Aug,739901,719674,20227,2.7
2019,Sep,745227,726312,18915,2.5
2019,Oct,749182,730820,18362,2.5
2019,Nov,751192,732931,18261,2.4
2019,Dec,751789,734410,17379,2.3
2020,Jan,750910,731017,19893,2.6
2020,Feb,757671,738329,19342,2.6
2020,Mar,739887,712454,27433,3.7
2020,Apr,680114,595892,84222,12.4
