Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484550000000003,LAUCN484550000000004,LAUCN484550000000005,LAUCN484550000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Trinity County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5701,5123,578,10.1
2010,Feb,5678,5134,544,9.6
2010,Mar,5751,5187,564,9.8
2010,Apr,5879,5332,547,9.3
2010,May,5803,5265,538,9.3
2010,Jun,5873,5300,573,9.8
2010,Jul,5806,5255,551,9.5
2010,Aug,5792,5239,553,9.5
2010,Sep,5830,5286,544,9.3
2010,Oct,5762,5237,525,9.1
2010,Nov,5751,5206,545,9.5
2010,Dec,5771,5223,548,9.5
2011,Jan,5697,5127,570,10.0
2011,Feb,5680,5135,545,9.6
2011,Mar,5696,5154,542,9.5
2011,Apr,5688,5168,520,9.1
2011,May,5680,5143,537,9.5
2011,Jun,5737,5156,581,10.1
2011,Jul,5747,5180,567,9.9
2011,Aug,5754,5194,560,9.7
2011,Sep,5817,5247,570,9.8
2011,Oct,5706,5178,528,9.3
2011,Nov,5718,5200,518,9.1
2011,Dec,5707,5197,510,8.9
2012,Jan,5537,5023,514,9.3
2012,Feb,5505,5023,482,8.8
2012,Mar,5519,5059,460,8.3
2012,Apr,5566,5128,438,7.9
2012,May,5590,5134,456,8.2
2012,Jun,5660,5164,496,8.8
2012,Jul,5658,5159,499,8.8
2012,Aug,5572,5119,453,8.1
2012,Sep,5631,5197,434,7.7
2012,Oct,5584,5170,414,7.4
2012,Nov,5539,5139,400,7.2
2012,Dec,5530,5099,431,7.8
2013,Jan,5532,5058,474,8.6
2013,Feb,5503,5077,426,7.7
2013,Mar,5483,5068,415,7.6
2013,Apr,5562,5160,402,7.2
2013,May,5615,5198,417,7.4
2013,Jun,5681,5209,472,8.3
2013,Jul,5668,5214,454,8.0
2013,Aug,5590,5166,424,7.6
2013,Sep,5653,5246,407,7.2
2013,Oct,5571,5181,390,7.0
2013,Nov,5509,5143,366,6.6
2013,Dec,5459,5117,342,6.3
2014,Jan,5420,5056,364,6.7
2014,Feb,5527,5164,363,6.6
2014,Mar,5532,5181,351,6.3
2014,Apr,5555,5248,307,5.5
2014,May,5616,5272,344,6.1
2014,Jun,5619,5273,346,6.2
2014,Jul,5616,5245,371,6.6
2014,Aug,5528,5181,347,6.3
2014,Sep,5593,5273,320,5.7
2014,Oct,5513,5210,303,5.5
2014,Nov,5452,5163,289,5.3
2014,Dec,5384,5102,282,5.2
2015,Jan,5407,5092,315,5.8
2015,Feb,5470,5160,310,5.7
2015,Mar,5487,5189,298,5.4
2015,Apr,5484,5195,289,5.3
2015,May,5540,5222,318,5.7
2015,Jun,5586,5244,342,6.1
2015,Jul,5525,5169,356,6.4
2015,Aug,5468,5127,341,6.2
2015,Sep,5511,5182,329,6.0
2015,Oct,5462,5142,320,5.9
2015,Nov,5434,5107,327,6.0
2015,Dec,5411,5089,322,6.0
2016,Jan,5352,5025,327,6.1
2016,Feb,5450,5127,323,5.9
2016,Mar,5516,5182,334,6.1
2016,Apr,5549,5225,324,5.8
2016,May,5554,5234,320,5.8
2016,Jun,5581,5224,357,6.4
2016,Jul,5496,5141,355,6.5
2016,Aug,5494,5140,354,6.4
2016,Sep,5516,5157,359,6.5
2016,Oct,5438,5121,317,5.8
2016,Nov,5424,5109,315,5.8
2016,Dec,5388,5081,307,5.7
2017,Jan,5365,5027,338,6.3
2017,Feb,5430,5099,331,6.1
2017,Mar,5529,5208,321,5.8
2017,Apr,5520,5217,303,5.5
2017,May,5455,5170,285,5.2
2017,Jun,5480,5192,288,5.3
2017,Jul,5343,5051,292,5.5
2017,Aug,5305,5002,303,5.7
2017,Sep,5284,4989,295,5.6
2017,Oct,5300,5037,263,5.0
2017,Nov,5266,4986,280,5.3
2017,Dec,5239,4974,265,5.1
2018,Jan,5297,4996,301,5.7
2018,Feb,5312,5013,299,5.6
2018,Mar,5371,5085,286,5.3
2018,Apr,5346,5088,258,4.8
2018,May,5399,5147,252,4.7
2018,Jun,5408,5113,295,5.5
2018,Jul,5324,5042,282,5.3
2018,Aug,5320,5044,276,5.2
2018,Sep,5348,5091,257,4.8
2018,Oct,5239,5002,237,4.5
2018,Nov,5238,4985,253,4.8
2018,Dec,5163,4900,263,5.1
2019,Jan,5238,4938,300,5.7
2019,Feb,5291,5022,269,5.1
2019,Mar,5323,5078,245,4.6
2019,Apr,5243,5037,206,3.9
2019,May,5298,5088,210,4.0
2019,Jun,5313,5067,246,4.6
2019,Jul,5318,5058,260,4.9
2019,Aug,5385,5125,260,4.8
2019,Sep,5382,5133,249,4.6
2019,Oct,5380,5124,256,4.8
2019,Nov,5327,5057,270,5.1
2019,Dec,5305,5039,266,5.0
2020,Jan,5329,5025,304,5.7
2020,Feb,5342,5070,272,5.1
2020,Mar,5331,4960,371,7.0
2020,Apr,4710,4197,513,10.9
