Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484570000000003,LAUCN484570000000004,LAUCN484570000000005,LAUCN484570000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Tyler County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7728,6785,943,12.2
2010,Feb,7693,6778,915,11.9
2010,Mar,7864,6909,955,12.1
2010,Apr,7872,6988,884,11.2
2010,May,8091,7174,917,11.3
2010,Jun,8128,7160,968,11.9
2010,Jul,8050,7071,979,12.2
2010,Aug,7902,6967,935,11.8
2010,Sep,7877,6979,898,11.4
2010,Oct,7847,6961,886,11.3
2010,Nov,7920,6965,955,12.1
2010,Dec,7882,6941,941,11.9
2011,Jan,7774,6813,961,12.4
2011,Feb,7727,6819,908,11.8
2011,Mar,7870,6957,913,11.6
2011,Apr,7892,6986,906,11.5
2011,May,7871,6935,936,11.9
2011,Jun,7977,6947,1030,12.9
2011,Jul,7880,6851,1029,13.1
2011,Aug,7897,6889,1008,12.8
2011,Sep,7862,6885,977,12.4
2011,Oct,7796,6889,907,11.6
2011,Nov,7785,6905,880,11.3
2011,Dec,7772,6898,874,11.2
2012,Jan,7618,6752,866,11.4
2012,Feb,7551,6738,813,10.8
2012,Mar,7579,6798,781,10.3
2012,Apr,7591,6842,749,9.9
2012,May,7637,6847,790,10.3
2012,Jun,7747,6863,884,11.4
2012,Jul,7655,6783,872,11.4
2012,Aug,7519,6694,825,11.0
2012,Sep,7559,6764,795,10.5
2012,Oct,7530,6754,776,10.3
2012,Nov,7483,6724,759,10.1
2012,Dec,7496,6681,815,10.9
2013,Jan,7603,6713,890,11.7
2013,Feb,7583,6772,811,10.7
2013,Mar,7582,6808,774,10.2
2013,Apr,7645,6905,740,9.7
2013,May,7670,6904,766,10.0
2013,Jun,7764,6906,858,11.1
2013,Jul,7664,6842,822,10.7
2013,Aug,7514,6721,793,10.6
2013,Sep,7580,6824,756,10.0
2013,Oct,7563,6830,733,9.7
2013,Nov,7483,6765,718,9.6
2013,Dec,7568,6869,699,9.2
2014,Jan,7547,6839,708,9.4
2014,Feb,7653,6981,672,8.8
2014,Mar,7721,7057,664,8.6
2014,Apr,7724,7156,568,7.4
2014,May,7716,7125,591,7.7
2014,Jun,7656,7037,619,8.1
2014,Jul,7630,6982,648,8.5
2014,Aug,7563,6917,646,8.5
2014,Sep,7582,6998,584,7.7
2014,Oct,7507,6982,525,7.0
2014,Nov,7417,6883,534,7.2
2014,Dec,7299,6800,499,6.8
2015,Jan,7379,6844,535,7.3
2015,Feb,7493,6984,509,6.8
2015,Mar,7542,7050,492,6.5
2015,Apr,7520,7036,484,6.4
2015,May,7563,7045,518,6.8
2015,Jun,7461,6930,531,7.1
2015,Jul,7372,6832,540,7.3
2015,Aug,7247,6728,519,7.2
2015,Sep,7219,6717,502,7.0
2015,Oct,7276,6772,504,6.9
2015,Nov,7170,6646,524,7.3
2015,Dec,7166,6644,522,7.3
2016,Jan,7035,6544,491,7.0
2016,Feb,7176,6685,491,6.8
2016,Mar,7230,6717,513,7.1
2016,Apr,7282,6810,472,6.5
2016,May,7271,6821,450,6.2
2016,Jun,7285,6725,560,7.7
2016,Jul,7233,6658,575,7.9
2016,Aug,7241,6673,568,7.8
2016,Sep,7186,6620,566,7.9
2016,Oct,7190,6682,508,7.1
2016,Nov,7192,6653,539,7.5
2016,Dec,7198,6621,577,8.0
2017,Jan,7182,6553,629,8.8
2017,Feb,7224,6656,568,7.9
2017,Mar,7327,6788,539,7.4
2017,Apr,7289,6803,486,6.7
2017,May,7206,6731,475,6.6
2017,Jun,7187,6657,530,7.4
2017,Jul,6981,6444,537,7.7
2017,Aug,6965,6403,562,8.1
2017,Sep,6883,6371,512,7.4
2017,Oct,6866,6435,431,6.3
2017,Nov,6873,6412,461,6.7
2017,Dec,6888,6388,500,7.3
2018,Jan,6927,6378,549,7.9
2018,Feb,6970,6448,522,7.5
2018,Mar,6995,6509,486,6.9
2018,Apr,6939,6485,454,6.5
2018,May,7002,6572,430,6.1
2018,Jun,6989,6514,475,6.8
2018,Jul,6946,6462,484,7.0
2018,Aug,6968,6499,469,6.7
2018,Sep,7050,6627,423,6.0
2018,Oct,7012,6623,389,5.5
2018,Nov,7004,6605,399,5.7
2018,Dec,6959,6534,425,6.1
2019,Jan,7099,6599,500,7.0
2019,Feb,7168,6747,421,5.9
2019,Mar,7192,6801,391,5.4
2019,Apr,7072,6741,331,4.7
2019,May,7086,6743,343,4.8
2019,Jun,7189,6755,434,6.0
2019,Jul,7209,6758,451,6.3
2019,Aug,7265,6825,440,6.1
2019,Sep,7134,6738,396,5.6
2019,Oct,7168,6800,368,5.1
2019,Nov,7129,6711,418,5.9
2019,Dec,7159,6709,450,6.3
2020,Jan,7191,6702,489,6.8
2020,Feb,7205,6777,428,5.9
2020,Mar,7217,6611,606,8.4
2020,Apr,6541,5568,973,14.9
