Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484590000000003,LAUCN484590000000004,LAUCN484590000000005,LAUCN484590000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Upshur County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,17787,16071,1716,9.6
2010,Feb,17915,16243,1672,9.3
2010,Mar,18096,16481,1615,8.9
2010,Apr,18356,16777,1579,8.6
2010,May,18232,16661,1571,8.6
2010,Jun,18256,16626,1630,8.9
2010,Jul,18361,16722,1639,8.9
2010,Aug,18367,16775,1592,8.7
2010,Sep,18500,16916,1584,8.6
2010,Oct,18604,17045,1559,8.4
2010,Nov,18554,16961,1593,8.6
2010,Dec,18369,16821,1548,8.4
2011,Jan,18446,16828,1618,8.8
2011,Feb,18413,16873,1540,8.4
2011,Mar,18463,16978,1485,8.0
2011,Apr,18521,17134,1387,7.5
2011,May,18468,17023,1445,7.8
2011,Jun,18524,16917,1607,8.7
2011,Jul,18649,17079,1570,8.4
2011,Aug,18736,17221,1515,8.1
2011,Sep,18791,17288,1503,8.0
2011,Oct,18802,17371,1431,7.6
2011,Nov,18805,17437,1368,7.3
2011,Dec,18758,17449,1309,7.0
2012,Jan,18692,17339,1353,7.2
2012,Feb,18722,17413,1309,7.0
2012,Mar,18858,17592,1266,6.7
2012,Apr,18865,17686,1179,6.2
2012,May,18783,17541,1242,6.6
2012,Jun,18808,17430,1378,7.3
2012,Jul,18747,17378,1369,7.3
2012,Aug,18565,17287,1278,6.9
2012,Sep,18664,17460,1204,6.5
2012,Oct,18753,17555,1198,6.4
2012,Nov,18691,17526,1165,6.2
2012,Dec,18572,17373,1199,6.5
2013,Jan,18604,17267,1337,7.2
2013,Feb,18664,17416,1248,6.7
2013,Mar,18642,17462,1180,6.3
2013,Apr,18656,17527,1129,6.1
2013,May,18605,17412,1193,6.4
2013,Jun,18694,17378,1316,7.0
2013,Jul,18629,17359,1270,6.8
2013,Aug,18450,17258,1192,6.5
2013,Sep,18478,17316,1162,6.3
2013,Oct,18314,17193,1121,6.1
2013,Nov,18389,17313,1076,5.9
2013,Dec,18335,17334,1001,5.5
2014,Jan,18412,17342,1070,5.8
2014,Feb,18498,17445,1053,5.7
2014,Mar,18527,17483,1044,5.6
2014,Apr,18559,17673,886,4.8
2014,May,18616,17660,956,5.1
2014,Jun,18725,17707,1018,5.4
2014,Jul,18727,17662,1065,5.7
2014,Aug,18655,17650,1005,5.4
2014,Sep,18710,17797,913,4.9
2014,Oct,18672,17819,853,4.6
2014,Nov,18636,17799,837,4.5
2014,Dec,18443,17686,757,4.1
2015,Jan,18278,17423,855,4.7
2015,Feb,18200,17372,828,4.5
2015,Mar,18082,17252,830,4.6
2015,Apr,18063,17183,880,4.9
2015,May,18044,17082,962,5.3
2015,Jun,17936,16922,1014,5.7
2015,Jul,17921,16862,1059,5.9
2015,Aug,17840,16841,999,5.6
2015,Sep,17787,16812,975,5.5
2015,Oct,17848,16872,976,5.5
2015,Nov,17927,16962,965,5.4
2015,Dec,17806,16846,960,5.4
2016,Jan,17821,16816,1005,5.6
2016,Feb,17932,16952,980,5.5
2016,Mar,18054,17016,1038,5.7
2016,Apr,17959,16884,1075,6.0
2016,May,17897,16813,1084,6.1
2016,Jun,17968,16693,1275,7.1
2016,Jul,17903,16601,1302,7.3
2016,Aug,17912,16594,1318,7.4
2016,Sep,17915,16626,1289,7.2
2016,Oct,17859,16696,1163,6.5
2016,Nov,17757,16653,1104,6.2
2016,Dec,17667,16564,1103,6.2
2017,Jan,17786,16592,1194,6.7
2017,Feb,17871,16711,1160,6.5
2017,Mar,17894,16846,1048,5.9
2017,Apr,17792,16839,953,5.4
2017,May,17638,16737,901,5.1
2017,Jun,17726,16792,934,5.3
2017,Jul,17682,16770,912,5.2
2017,Aug,17638,16744,894,5.1
2017,Sep,17696,16883,813,4.6
2017,Oct,17604,16843,761,4.3
2017,Nov,17634,16837,797,4.5
2017,Dec,17659,16892,767,4.3
2018,Jan,17478,16658,820,4.7
2018,Feb,17654,16843,811,4.6
2018,Mar,17799,17025,774,4.3
2018,Apr,17758,17049,709,4.0
2018,May,17724,17037,687,3.9
2018,Jun,17724,16942,782,4.4
2018,Jul,17694,16943,751,4.2
2018,Aug,17588,16862,726,4.1
2018,Sep,17664,16972,692,3.9
2018,Oct,17672,16988,684,3.9
2018,Nov,17679,16987,692,3.9
2018,Dec,17651,16947,704,4.0
2019,Jan,17842,17047,795,4.5
2019,Feb,17891,17203,688,3.8
2019,Mar,17910,17251,659,3.7
2019,Apr,17875,17321,554,3.1
2019,May,17838,17272,566,3.2
2019,Jun,17824,17164,660,3.7
2019,Jul,17915,17203,712,4.0
2019,Aug,17947,17243,704,3.9
2019,Sep,17976,17338,638,3.5
2019,Oct,18028,17395,633,3.5
2019,Nov,18011,17331,680,3.8
2019,Dec,17913,17248,665,3.7
2020,Jan,17883,17097,786,4.4
2020,Feb,17852,17096,756,4.2
2020,Mar,17534,16512,1022,5.8
2020,Apr,15986,14128,1858,11.6
