Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484610000000003,LAUCN484610000000004,LAUCN484610000000005,LAUCN484610000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Upton County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1464,1348,116,7.9
2010,Feb,1481,1372,109,7.4
2010,Mar,1510,1405,105,7.0
2010,Apr,1513,1417,96,6.3
2010,May,1497,1406,91,6.1
2010,Jun,1547,1450,97,6.3
2010,Jul,1621,1527,94,5.8
2010,Aug,1617,1530,87,5.4
2010,Sep,1604,1518,86,5.4
2010,Oct,1595,1508,87,5.5
2010,Nov,1601,1510,91,5.7
2010,Dec,1580,1498,82,5.2
2011,Jan,1522,1436,86,5.7
2011,Feb,1516,1434,82,5.4
2011,Mar,1522,1442,80,5.3
2011,Apr,1534,1456,78,5.1
2011,May,1520,1437,83,5.5
2011,Jun,1581,1489,92,5.8
2011,Jul,1617,1523,94,5.8
2011,Aug,1642,1554,88,5.4
2011,Sep,1617,1527,90,5.6
2011,Oct,1618,1536,82,5.1
2011,Nov,1596,1521,75,4.7
2011,Dec,1567,1498,69,4.4
2012,Jan,1548,1471,77,5.0
2012,Feb,1534,1467,67,4.4
2012,Mar,1528,1466,62,4.1
2012,Apr,1570,1511,59,3.8
2012,May,1588,1524,64,4.0
2012,Jun,1619,1552,67,4.1
2012,Jul,1664,1591,73,4.4
2012,Aug,1636,1571,65,4.0
2012,Sep,1624,1563,61,3.8
2012,Oct,1608,1549,59,3.7
2012,Nov,1598,1537,61,3.8
2012,Dec,1577,1519,58,3.7
2013,Jan,1627,1555,72,4.4
2013,Feb,1612,1545,67,4.2
2013,Mar,1620,1554,66,4.1
2013,Apr,1663,1599,64,3.8
2013,May,1707,1640,67,3.9
2013,Jun,1751,1670,81,4.6
2013,Jul,1779,1700,79,4.4
2013,Aug,1753,1677,76,4.3
2013,Sep,1741,1667,74,4.3
2013,Oct,1739,1673,66,3.8
2013,Nov,1750,1684,66,3.8
2013,Dec,1774,1712,62,3.5
2014,Jan,1809,1746,63,3.5
2014,Feb,1833,1763,70,3.8
2014,Mar,1843,1779,64,3.5
2014,Apr,1836,1783,53,2.9
2014,May,1847,1790,57,3.1
2014,Jun,1874,1807,67,3.6
2014,Jul,1918,1848,70,3.6
2014,Aug,1914,1852,62,3.2
2014,Sep,1891,1832,59,3.1
2014,Oct,1931,1874,57,3.0
2014,Nov,1920,1869,51,2.7
2014,Dec,1907,1860,47,2.5
2015,Jan,1874,1817,57,3.0
2015,Feb,1877,1820,57,3.0
2015,Mar,1844,1787,57,3.1
2015,Apr,1778,1719,59,3.3
2015,May,1780,1712,68,3.8
2015,Jun,1813,1734,79,4.4
2015,Jul,1786,1714,72,4.0
2015,Aug,1771,1701,70,4.0
2015,Sep,1731,1656,75,4.3
2015,Oct,1731,1656,75,4.3
2015,Nov,1726,1637,89,5.2
2015,Dec,1699,1622,77,4.5
2016,Jan,1637,1565,72,4.4
2016,Feb,1636,1554,82,5.0
2016,Mar,1618,1526,92,5.7
2016,Apr,1612,1526,86,5.3
2016,May,1592,1509,83,5.2
2016,Jun,1583,1488,95,6.0
2016,Jul,1593,1505,88,5.5
2016,Aug,1584,1500,84,5.3
2016,Sep,1557,1467,90,5.8
2016,Oct,1516,1434,82,5.4
2016,Nov,1520,1441,79,5.2
2016,Dec,1516,1443,73,4.8
2017,Jan,1526,1453,73,4.8
2017,Feb,1545,1475,70,4.5
2017,Mar,1575,1511,64,4.1
2017,Apr,1544,1490,54,3.5
2017,May,1526,1467,59,3.9
2017,Jun,1574,1518,56,3.6
2017,Jul,1581,1521,60,3.8
2017,Aug,1549,1494,55,3.6
2017,Sep,1527,1476,51,3.3
2017,Oct,1536,1487,49,3.2
2017,Nov,1537,1483,54,3.5
2017,Dec,1552,1502,50,3.2
2018,Jan,1543,1487,56,3.6
2018,Feb,1571,1513,58,3.7
2018,Mar,1580,1529,51,3.2
2018,Apr,1582,1529,53,3.4
2018,May,1558,1509,49,3.1
2018,Jun,1579,1524,55,3.5
2018,Jul,1589,1539,50,3.1
2018,Aug,1581,1532,49,3.1
2018,Sep,1564,1518,46,2.9
2018,Oct,1607,1549,58,3.6
2018,Nov,1619,1560,59,3.6
2018,Dec,1586,1527,59,3.7
2019,Jan,1627,1560,67,4.1
2019,Feb,1616,1565,51,3.2
2019,Mar,1639,1586,53,3.2
2019,Apr,1683,1638,45,2.7
2019,May,1678,1631,47,2.8
2019,Jun,1715,1662,53,3.1
2019,Jul,1712,1659,53,3.1
2019,Aug,1729,1676,53,3.1
2019,Sep,1675,1630,45,2.7
2019,Oct,1676,1638,38,2.3
2019,Nov,1675,1634,41,2.4
2019,Dec,1674,1634,40,2.4
2020,Jan,1698,1643,55,3.2
2020,Feb,1715,1659,56,3.3
2020,Mar,1696,1624,72,4.2
2020,Apr,1454,1346,108,7.4
