Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484630000000003,LAUCN484630000000004,LAUCN484630000000005,LAUCN484630000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Uvalde County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11504,10451,1053,9.2
2010,Feb,11606,10562,1044,9.0
2010,Mar,11744,10722,1022,8.7
2010,Apr,11835,10833,1002,8.5
2010,May,11760,10790,970,8.2
2010,Jun,12043,10948,1095,9.1
2010,Jul,12020,10865,1155,9.6
2010,Aug,11952,10826,1126,9.4
2010,Sep,11998,10920,1078,9.0
2010,Oct,11810,10771,1039,8.8
2010,Nov,11817,10764,1053,8.9
2010,Dec,11815,10772,1043,8.8
2011,Jan,11770,10667,1103,9.4
2011,Feb,11756,10670,1086,9.2
2011,Mar,11893,10849,1044,8.8
2011,Apr,12012,11034,978,8.1
2011,May,12065,11070,995,8.2
2011,Jun,12423,11278,1145,9.2
2011,Jul,12442,11228,1214,9.8
2011,Aug,12403,11213,1190,9.6
2011,Sep,12297,11189,1108,9.0
2011,Oct,12237,11171,1066,8.7
2011,Nov,12209,11210,999,8.2
2011,Dec,12220,11211,1009,8.3
2012,Jan,11939,10908,1031,8.6
2012,Feb,11853,10842,1011,8.5
2012,Mar,11977,10950,1027,8.6
2012,Apr,11957,11067,890,7.4
2012,May,11989,11089,900,7.5
2012,Jun,12192,11172,1020,8.4
2012,Jul,12269,11224,1045,8.5
2012,Aug,12093,11087,1006,8.3
2012,Sep,12015,11133,882,7.3
2012,Oct,11730,10883,847,7.2
2012,Nov,11715,10868,847,7.2
2012,Dec,11694,10821,873,7.5
2013,Jan,11849,10871,978,8.3
2013,Feb,11768,10859,909,7.7
2013,Mar,11811,10920,891,7.5
2013,Apr,11889,11090,799,6.7
2013,May,12136,11299,837,6.9
2013,Jun,12316,11417,899,7.3
2013,Jul,12166,11269,897,7.4
2013,Aug,12086,11240,846,7.0
2013,Sep,12008,11241,767,6.4
2013,Oct,11862,11102,760,6.4
2013,Nov,11729,10995,734,6.3
2013,Dec,11767,11064,703,6.0
2014,Jan,11553,10812,741,6.4
2014,Feb,11673,10934,739,6.3
2014,Mar,11796,11048,748,6.3
2014,Apr,11650,11049,601,5.2
2014,May,11759,11137,622,5.3
2014,Jun,11884,11194,690,5.8
2014,Jul,11841,11086,755,6.4
2014,Aug,11782,11054,728,6.2
2014,Sep,11742,11111,631,5.4
2014,Oct,11655,11061,594,5.1
2014,Nov,11585,10996,589,5.1
2014,Dec,11463,10920,543,4.7
2015,Jan,11583,10980,603,5.2
2015,Feb,11667,11092,575,4.9
2015,Mar,11781,11221,560,4.8
2015,Apr,11637,11130,507,4.4
2015,May,11802,11246,556,4.7
2015,Jun,11862,11256,606,5.1
2015,Jul,11773,11128,645,5.5
2015,Aug,11595,10989,606,5.2
2015,Sep,11689,11102,587,5.0
2015,Oct,11702,11113,589,5.0
2015,Nov,11571,10959,612,5.3
2015,Dec,11535,10924,611,5.3
2016,Jan,11431,10802,629,5.5
2016,Feb,11681,11056,625,5.4
2016,Mar,11863,11241,622,5.2
2016,Apr,11880,11288,592,5.0
2016,May,12002,11443,559,4.7
2016,Jun,12072,11418,654,5.4
2016,Jul,11978,11308,670,5.6
2016,Aug,12025,11376,649,5.4
2016,Sep,11837,11194,643,5.4
2016,Oct,11650,11013,637,5.5
2016,Nov,11627,11010,617,5.3
2016,Dec,11591,10972,619,5.3
2017,Jan,11614,10954,660,5.7
2017,Feb,11688,11061,627,5.4
2017,Mar,11883,11313,570,4.8
2017,Apr,11857,11340,517,4.4
2017,May,11901,11385,516,4.3
2017,Jun,12057,11479,578,4.8
2017,Jul,11909,11327,582,4.9
2017,Aug,11893,11308,585,4.9
2017,Sep,11576,11076,500,4.3
2017,Oct,11437,10975,462,4.0
2017,Nov,11312,10822,490,4.3
2017,Dec,11311,10831,480,4.2
2018,Jan,11357,10844,513,4.5
2018,Feb,11522,10997,525,4.6
2018,Mar,11694,11203,491,4.2
2018,Apr,11481,11040,441,3.8
2018,May,11531,11097,434,3.8
2018,Jun,11721,11179,542,4.6
2018,Jul,11616,11086,530,4.6
2018,Aug,11522,11020,502,4.4
2018,Sep,11386,10906,480,4.2
2018,Oct,11262,10806,456,4.0
2018,Nov,11269,10824,445,3.9
2018,Dec,11232,10768,464,4.1
2019,Jan,11263,10729,534,4.7
2019,Feb,11363,10886,477,4.2
2019,Mar,11514,11075,439,3.8
2019,Apr,11506,11129,377,3.3
2019,May,11587,11201,386,3.3
2019,Jun,11724,11252,472,4.0
2019,Jul,11675,11189,486,4.2
2019,Aug,11671,11215,456,3.9
2019,Sep,11533,11121,412,3.6
2019,Oct,11487,11081,406,3.5
2019,Nov,11350,10950,400,3.5
2019,Dec,11347,10957,390,3.4
2020,Jan,11367,10922,445,3.9
2020,Feb,11432,11017,415,3.6
2020,Mar,11417,10837,580,5.1
2020,Apr,10077,9031,1046,10.4
