Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484670000000003,LAUCN484670000000004,LAUCN484670000000005,LAUCN484670000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Van Zandt County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,23248,21137,2111,9.1
2010,Feb,23234,21191,2043,8.8
2010,Mar,23427,21430,1997,8.5
2010,Apr,23762,21799,1963,8.3
2010,May,23663,21769,1894,8.0
2010,Jun,23974,21935,2039,8.5
2010,Jul,23944,21878,2066,8.6
2010,Aug,23751,21739,2012,8.5
2010,Sep,23659,21702,1957,8.3
2010,Oct,23602,21715,1887,8.0
2010,Nov,23543,21587,1956,8.3
2010,Dec,23410,21563,1847,7.9
2011,Jan,23580,21618,1962,8.3
2011,Feb,23479,21570,1909,8.1
2011,Mar,23712,21847,1865,7.9
2011,Apr,23677,21904,1773,7.5
2011,May,23771,21903,1868,7.9
2011,Jun,23964,21913,2051,8.6
2011,Jul,23765,21725,2040,8.6
2011,Aug,23822,21822,2000,8.4
2011,Sep,23723,21769,1954,8.2
2011,Oct,23684,21835,1849,7.8
2011,Nov,23864,22112,1752,7.3
2011,Dec,23850,22154,1696,7.1
2012,Jan,23554,21805,1749,7.4
2012,Feb,23443,21755,1688,7.2
2012,Mar,23488,21863,1625,6.9
2012,Apr,23452,21909,1543,6.6
2012,May,23567,21944,1623,6.9
2012,Jun,23929,22126,1803,7.5
2012,Jul,23765,21981,1784,7.5
2012,Aug,23590,21904,1686,7.1
2012,Sep,23607,22045,1562,6.6
2012,Oct,23748,22198,1550,6.5
2012,Nov,23662,22170,1492,6.3
2012,Dec,23636,22088,1548,6.5
2013,Jan,23741,22024,1717,7.2
2013,Feb,23608,22032,1576,6.7
2013,Mar,23609,22078,1531,6.5
2013,Apr,23683,22236,1447,6.1
2013,May,23811,22272,1539,6.5
2013,Jun,24250,22531,1719,7.1
2013,Jul,24262,22593,1669,6.9
2013,Aug,24034,22455,1579,6.6
2013,Sep,23964,22381,1583,6.6
2013,Oct,23795,22278,1517,6.4
2013,Nov,23774,22353,1421,6.0
2013,Dec,23673,22303,1370,5.8
2014,Jan,23696,22272,1424,6.0
2014,Feb,23858,22395,1463,6.1
2014,Mar,23898,22497,1401,5.9
2014,Apr,23882,22712,1170,4.9
2014,May,24087,22825,1262,5.2
2014,Jun,24251,22909,1342,5.5
2014,Jul,24134,22745,1389,5.8
2014,Aug,24039,22701,1338,5.6
2014,Sep,23851,22646,1205,5.1
2014,Oct,23878,22772,1106,4.6
2014,Nov,23935,22842,1093,4.6
2014,Dec,23632,22650,982,4.2
2015,Jan,23885,22783,1102,4.6
2015,Feb,23973,22895,1078,4.5
2015,Mar,24046,23006,1040,4.3
2015,Apr,24205,23187,1018,4.2
2015,May,24307,23210,1097,4.5
2015,Jun,24646,23470,1176,4.8
2015,Jul,24599,23395,1204,4.9
2015,Aug,24334,23208,1126,4.6
2015,Sep,24197,23118,1079,4.5
2015,Oct,24182,23110,1072,4.4
2015,Nov,24152,23106,1046,4.3
2015,Dec,24046,23048,998,4.2
2016,Jan,24120,23093,1027,4.3
2016,Feb,24462,23436,1026,4.2
2016,Mar,24628,23591,1037,4.2
2016,Apr,24604,23632,972,4.0
2016,May,24868,23892,976,3.9
2016,Jun,25339,24148,1191,4.7
2016,Jul,25228,24023,1205,4.8
2016,Aug,25187,24057,1130,4.5
2016,Sep,24975,23829,1146,4.6
2016,Oct,24872,23797,1075,4.3
2016,Nov,24926,23912,1014,4.1
2016,Dec,24891,23891,1000,4.0
2017,Jan,25019,23926,1093,4.4
2017,Feb,25162,24113,1049,4.2
2017,Mar,25368,24394,974,3.8
2017,Apr,25187,24307,880,3.5
2017,May,25405,24516,889,3.5
2017,Jun,25761,24765,996,3.9
2017,Jul,25691,24673,1018,4.0
2017,Aug,25557,24541,1016,4.0
2017,Sep,25373,24454,919,3.6
2017,Oct,25268,24423,845,3.3
2017,Nov,25421,24525,896,3.5
2017,Dec,25425,24561,864,3.4
2018,Jan,25318,24368,950,3.8
2018,Feb,25545,24612,933,3.7
2018,Mar,25734,24814,920,3.6
2018,Apr,25777,24940,837,3.2
2018,May,26036,25187,849,3.3
2018,Jun,26201,25195,1006,3.8
2018,Jul,26019,25047,972,3.7
2018,Aug,25829,24908,921,3.6
2018,Sep,25723,24856,867,3.4
2018,Oct,25576,24738,838,3.3
2018,Nov,25650,24816,834,3.3
2018,Dec,25669,24826,843,3.3
2019,Jan,25729,24762,967,3.8
2019,Feb,25896,25000,896,3.5
2019,Mar,26027,25157,870,3.3
2019,Apr,25937,25219,718,2.8
2019,May,26019,25294,725,2.8
2019,Jun,26420,25527,893,3.4
2019,Jul,26315,25379,936,3.6
2019,Aug,26285,25374,911,3.5
2019,Sep,26105,25271,834,3.2
2019,Oct,26058,25246,812,3.1
2019,Nov,26090,25269,821,3.1
2019,Dec,26106,25298,808,3.1
2020,Jan,26143,25205,938,3.6
2020,Feb,26325,25413,912,3.5
2020,Mar,25988,24733,1255,4.8
2020,Apr,23414,21003,2411,10.3
