Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484690000000003,LAUCN484690000000004,LAUCN484690000000005,LAUCN484690000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Victoria County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,42383,38854,3529,8.3
2010,Feb,42754,39151,3603,8.4
2010,Mar,42957,39458,3499,8.1
2010,Apr,43482,40203,3279,7.5
2010,May,43572,40381,3191,7.3
2010,Jun,43632,40250,3382,7.8
2010,Jul,43402,39979,3423,7.9
2010,Aug,43344,40064,3280,7.6
2010,Sep,43110,39937,3173,7.4
2010,Oct,42577,39476,3101,7.3
2010,Nov,42868,39701,3167,7.4
2010,Dec,42866,39880,2986,7.0
2011,Jan,43105,39947,3158,7.3
2011,Feb,43133,40042,3091,7.2
2011,Mar,43195,40182,3013,7.0
2011,Apr,43274,40427,2847,6.6
2011,May,43533,40628,2905,6.7
2011,Jun,43803,40567,3236,7.4
2011,Jul,43856,40680,3176,7.2
2011,Aug,43860,40875,2985,6.8
2011,Sep,44089,41109,2980,6.8
2011,Oct,44197,41423,2774,6.3
2011,Nov,44373,41733,2640,5.9
2011,Dec,44481,41884,2597,5.8
2012,Jan,44444,41733,2711,6.1
2012,Feb,44672,42059,2613,5.8
2012,Mar,44771,42277,2494,5.6
2012,Apr,44715,42378,2337,5.2
2012,May,44894,42456,2438,5.4
2012,Jun,45423,42652,2771,6.1
2012,Jul,45529,42733,2796,6.1
2012,Aug,45213,42669,2544,5.6
2012,Sep,45754,43392,2362,5.2
2012,Oct,45866,43504,2362,5.1
2012,Nov,45768,43329,2439,5.3
2012,Dec,45951,43497,2454,5.3
2013,Jan,45214,42465,2749,6.1
2013,Feb,45160,42638,2522,5.6
2013,Mar,45128,42709,2419,5.4
2013,Apr,45541,43222,2319,5.1
2013,May,45973,43477,2496,5.4
2013,Jun,46182,43409,2773,6.0
2013,Jul,46277,43590,2687,5.8
2013,Aug,46287,43828,2459,5.3
2013,Sep,46296,43912,2384,5.1
2013,Oct,45858,43552,2306,5.0
2013,Nov,46078,43898,2180,4.7
2013,Dec,46048,44011,2037,4.4
2014,Jan,45795,43684,2111,4.6
2014,Feb,46023,43884,2139,4.6
2014,Mar,46203,44120,2083,4.5
2014,Apr,46050,44292,1758,3.8
2014,May,46256,44305,1951,4.2
2014,Jun,46375,44266,2109,4.5
2014,Jul,46404,44215,2189,4.7
2014,Aug,46550,44498,2052,4.4
2014,Sep,46606,44744,1862,4.0
2014,Oct,46617,44928,1689,3.6
2014,Nov,46533,44872,1661,3.6
2014,Dec,46350,44846,1504,3.2
2015,Jan,45916,44183,1733,3.8
2015,Feb,45882,44160,1722,3.8
2015,Mar,45591,43852,1739,3.8
2015,Apr,45739,44066,1673,3.7
2015,May,45760,43881,1879,4.1
2015,Jun,45493,43431,2062,4.5
2015,Jul,45280,43173,2107,4.7
2015,Aug,45124,43163,1961,4.3
2015,Sep,44996,43008,1988,4.4
2015,Oct,44833,42830,2003,4.5
2015,Nov,44855,42879,1976,4.4
2015,Dec,44612,42718,1894,4.2
2016,Jan,44245,42250,1995,4.5
2016,Feb,44182,42140,2042,4.6
2016,Mar,44070,41853,2217,5.0
2016,Apr,43862,41628,2234,5.1
2016,May,43600,41356,2244,5.1
2016,Jun,43472,40856,2616,6.0
2016,Jul,43752,41098,2654,6.1
2016,Aug,43668,40995,2673,6.1
2016,Sep,43717,41097,2620,6.0
2016,Oct,43294,40848,2446,5.6
2016,Nov,43371,41014,2357,5.4
2016,Dec,43103,40808,2295,5.3
2017,Jan,43082,40542,2540,5.9
2017,Feb,43287,40878,2409,5.6
2017,Mar,43266,41088,2178,5.0
2017,Apr,43220,41203,2017,4.7
2017,May,42980,41036,1944,4.5
2017,Jun,43038,40930,2108,4.9
2017,Jul,42949,40851,2098,4.9
2017,Aug,42728,40644,2084,4.9
2017,Sep,42789,40725,2064,4.8
2017,Oct,42507,40658,1849,4.3
2017,Nov,42797,40933,1864,4.4
2017,Dec,42733,40997,1736,4.1
2018,Jan,42773,40891,1882,4.4
2018,Feb,43163,41347,1816,4.2
2018,Mar,43083,41347,1736,4.0
2018,Apr,43098,41519,1579,3.7
2018,May,42959,41440,1519,3.5
2018,Jun,43022,41235,1787,4.2
2018,Jul,42999,41316,1683,3.9
2018,Aug,42636,41009,1627,3.8
2018,Sep,42930,41389,1541,3.6
2018,Oct,42770,41309,1461,3.4
2018,Nov,43021,41546,1475,3.4
2018,Dec,43000,41503,1497,3.5
2019,Jan,43090,41435,1655,3.8
2019,Feb,43230,41712,1518,3.5
2019,Mar,43069,41597,1472,3.4
2019,Apr,42486,41241,1245,2.9
2019,May,42610,41303,1307,3.1
2019,Jun,42698,41163,1535,3.6
2019,Jul,42772,41194,1578,3.7
2019,Aug,42647,41121,1526,3.6
2019,Sep,42784,41345,1439,3.4
2019,Oct,42868,41435,1433,3.3
2019,Nov,43066,41543,1523,3.5
2019,Dec,42931,41470,1461,3.4
2020,Jan,42759,41074,1685,3.9
2020,Feb,42777,41147,1630,3.8
2020,Mar,42016,39719,2297,5.5
2020,Apr,38453,32897,5556,14.4
