Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484710000000003,LAUCN484710000000004,LAUCN484710000000005,LAUCN484710000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Walker County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,23157,21309,1848,8.0
2010,Feb,23220,21450,1770,7.6
2010,Mar,23273,21508,1765,7.6
2010,Apr,23522,21797,1725,7.3
2010,May,23206,21518,1688,7.3
2010,Jun,23172,21272,1900,8.2
2010,Jul,23178,21255,1923,8.3
2010,Aug,23069,21170,1899,8.2
2010,Sep,23273,21467,1806,7.8
2010,Oct,23208,21466,1742,7.5
2010,Nov,23312,21491,1821,7.8
2010,Dec,23215,21525,1690,7.3
2011,Jan,23205,21381,1824,7.9
2011,Feb,23309,21552,1757,7.5
2011,Mar,23108,21432,1676,7.3
2011,Apr,22997,21340,1657,7.2
2011,May,23033,21280,1753,7.6
2011,Jun,22945,20871,2074,9.0
2011,Jul,23286,21222,2064,8.9
2011,Aug,23054,21044,2010,8.7
2011,Sep,23292,21369,1923,8.3
2011,Oct,23462,21662,1800,7.7
2011,Nov,23206,21542,1664,7.2
2011,Dec,23151,21531,1620,7.0
2012,Jan,22886,21192,1694,7.4
2012,Feb,23043,21422,1621,7.0
2012,Mar,23011,21464,1547,6.7
2012,Apr,23118,21661,1457,6.3
2012,May,23168,21617,1551,6.7
2012,Jun,23454,21611,1843,7.9
2012,Jul,23298,21442,1856,8.0
2012,Aug,23023,21295,1728,7.5
2012,Sep,23261,21726,1535,6.6
2012,Oct,23379,21857,1522,6.5
2012,Nov,23170,21689,1481,6.4
2012,Dec,23022,21558,1464,6.4
2013,Jan,23260,21581,1679,7.2
2013,Feb,23117,21600,1517,6.6
2013,Mar,23096,21634,1462,6.3
2013,Apr,23181,21800,1381,6.0
2013,May,23337,21768,1569,6.7
2013,Jun,23448,21655,1793,7.6
2013,Jul,23109,21376,1733,7.5
2013,Aug,22973,21361,1612,7.0
2013,Sep,23295,21799,1496,6.4
2013,Oct,23027,21574,1453,6.3
2013,Nov,22853,21484,1369,6.0
2013,Dec,22779,21492,1287,5.6
2014,Jan,22952,21614,1338,5.8
2014,Feb,23200,21835,1365,5.9
2014,Mar,23168,21844,1324,5.7
2014,Apr,23103,21986,1117,4.8
2014,May,23289,22015,1274,5.5
2014,Jun,23400,22005,1395,6.0
2014,Jul,23245,21746,1499,6.4
2014,Aug,22990,21639,1351,5.9
2014,Sep,23319,22111,1208,5.2
2014,Oct,23237,22115,1122,4.8
2014,Nov,23241,22140,1101,4.7
2014,Dec,23047,22035,1012,4.4
2015,Jan,22870,21739,1131,4.9
2015,Feb,22969,21899,1070,4.7
2015,Mar,22892,21823,1069,4.7
2015,Apr,23014,22011,1003,4.4
2015,May,23100,21915,1185,5.1
2015,Jun,23157,21883,1274,5.5
2015,Jul,22679,21353,1326,5.8
2015,Aug,22707,21447,1260,5.5
2015,Sep,22975,21777,1198,5.2
2015,Oct,23165,22012,1153,5.0
2015,Nov,23211,22052,1159,5.0
2015,Dec,23016,21934,1082,4.7
2016,Jan,23350,22207,1143,4.9
2016,Feb,23635,22484,1151,4.9
2016,Mar,23558,22381,1177,5.0
2016,Apr,23878,22762,1116,4.7
2016,May,23770,22596,1174,4.9
2016,Jun,23859,22469,1390,5.8
2016,Jul,23685,22264,1421,6.0
2016,Aug,23809,22410,1399,5.9
2016,Sep,24048,22705,1343,5.6
2016,Oct,23986,22744,1242,5.2
2016,Nov,23983,22796,1187,4.9
2016,Dec,23731,22556,1175,5.0
2017,Jan,23788,22518,1270,5.3
2017,Feb,24000,22757,1243,5.2
2017,Mar,24007,22888,1119,4.7
2017,Apr,23854,22840,1014,4.3
2017,May,23699,22662,1037,4.4
2017,Jun,23589,22393,1196,5.1
2017,Jul,23318,22113,1205,5.2
2017,Aug,23421,22258,1163,5.0
2017,Sep,23701,22664,1037,4.4
2017,Oct,23651,22724,927,3.9
2017,Nov,23715,22733,982,4.1
2017,Dec,23494,22544,950,4.0
2018,Jan,23748,22659,1089,4.6
2018,Feb,23895,22828,1067,4.5
2018,Mar,23773,22741,1032,4.3
2018,Apr,23772,22839,933,3.9
2018,May,23745,22820,925,3.9
2018,Jun,23887,22749,1138,4.8
2018,Jul,23729,22640,1089,4.6
2018,Aug,23847,22806,1041,4.4
2018,Sep,24206,23263,943,3.9
2018,Oct,24055,23169,886,3.7
2018,Nov,24040,23167,873,3.6
2018,Dec,23824,22915,909,3.8
2019,Jan,24087,23029,1058,4.4
2019,Feb,24259,23330,929,3.8
2019,Mar,24213,23311,902,3.7
2019,Apr,24005,23264,741,3.1
2019,May,23894,23053,841,3.5
2019,Jun,23963,22915,1048,4.4
2019,Jul,23848,22763,1085,4.5
2019,Aug,24100,23054,1046,4.3
2019,Sep,24434,23494,940,3.8
2019,Oct,24443,23544,899,3.7
2019,Nov,24393,23490,903,3.7
2019,Dec,24155,23315,840,3.5
2020,Jan,24284,23315,969,4.0
2020,Feb,24465,23535,930,3.8
2020,Mar,24192,22844,1348,5.6
2020,Apr,21669,19260,2409,11.1
