Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484730000000003,LAUCN484730000000004,LAUCN484730000000005,LAUCN484730000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Waller County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,19523,17767,1756,9.0
2010,Feb,19579,17872,1707,8.7
2010,Mar,19691,18004,1687,8.6
2010,Apr,19965,18307,1658,8.3
2010,May,19900,18246,1654,8.3
2010,Jun,20122,18252,1870,9.3
2010,Jul,20196,18351,1845,9.1
2010,Aug,20157,18327,1830,9.1
2010,Sep,20106,18415,1691,8.4
2010,Oct,20068,18404,1664,8.3
2010,Nov,20130,18409,1721,8.5
2010,Dec,20090,18458,1632,8.1
2011,Jan,20020,18274,1746,8.7
2011,Feb,20022,18350,1672,8.4
2011,Mar,20085,18506,1579,7.9
2011,Apr,20150,18600,1550,7.7
2011,May,20173,18593,1580,7.8
2011,Jun,20525,18633,1892,9.2
2011,Jul,20570,18680,1890,9.2
2011,Aug,20543,18723,1820,8.9
2011,Sep,20556,18850,1706,8.3
2011,Oct,20507,18879,1628,7.9
2011,Nov,20481,18980,1501,7.3
2011,Dec,20496,19059,1437,7.0
2012,Jan,20116,18611,1505,7.5
2012,Feb,20178,18719,1459,7.2
2012,Mar,20256,18865,1391,6.9
2012,Apr,20272,18951,1321,6.5
2012,May,20415,19023,1392,6.8
2012,Jun,20730,19066,1664,8.0
2012,Jul,20782,19124,1658,8.0
2012,Aug,20585,19048,1537,7.5
2012,Sep,20642,19290,1352,6.5
2012,Oct,20714,19373,1341,6.5
2012,Nov,20652,19352,1300,6.3
2012,Dec,20644,19354,1290,6.2
2013,Jan,20570,19110,1460,7.1
2013,Feb,20645,19257,1388,6.7
2013,Mar,20632,19292,1340,6.5
2013,Apr,20757,19462,1295,6.2
2013,May,20931,19535,1396,6.7
2013,Jun,21125,19527,1598,7.6
2013,Jul,21134,19617,1517,7.2
2013,Aug,20909,19493,1416,6.8
2013,Sep,20895,19618,1277,6.1
2013,Oct,20796,19571,1225,5.9
2013,Nov,20824,19662,1162,5.6
2013,Dec,20851,19763,1088,5.2
2014,Jan,21044,19884,1160,5.5
2014,Feb,21235,20058,1177,5.5
2014,Mar,21285,20161,1124,5.3
2014,Apr,21222,20255,967,4.6
2014,May,21376,20284,1092,5.1
2014,Jun,21516,20260,1256,5.8
2014,Jul,21601,20309,1292,6.0
2014,Aug,21403,20205,1198,5.6
2014,Sep,21385,20339,1046,4.9
2014,Oct,21429,20453,976,4.6
2014,Nov,21380,20426,954,4.5
2014,Dec,21241,20404,837,3.9
2015,Jan,21567,20576,991,4.6
2015,Feb,21662,20706,956,4.4
2015,Mar,21636,20731,905,4.2
2015,Apr,21623,20743,880,4.1
2015,May,21736,20735,1001,4.6
2015,Jun,21820,20642,1178,5.4
2015,Jul,21797,20593,1204,5.5
2015,Aug,21613,20485,1128,5.2
2015,Sep,21566,20518,1048,4.9
2015,Oct,21653,20590,1063,4.9
2015,Nov,21646,20568,1078,5.0
2015,Dec,21644,20625,1019,4.7
2016,Jan,21928,20785,1143,5.2
2016,Feb,22163,21028,1135,5.1
2016,Mar,22234,21072,1162,5.2
2016,Apr,22185,21059,1126,5.1
2016,May,22202,21055,1147,5.2
2016,Jun,22341,20930,1411,6.3
2016,Jul,22294,20881,1413,6.3
2016,Aug,22227,20816,1411,6.3
2016,Sep,22177,20852,1325,6.0
2016,Oct,22104,20875,1229,5.6
2016,Nov,22056,20896,1160,5.3
2016,Dec,22015,20847,1168,5.3
2017,Jan,22152,20899,1253,5.7
2017,Feb,22339,21123,1216,5.4
2017,Mar,22481,21334,1147,5.1
2017,Apr,22418,21385,1033,4.6
2017,May,22374,21345,1029,4.6
2017,Jun,22498,21309,1189,5.3
2017,Jul,22414,21262,1152,5.1
2017,Aug,22389,21214,1175,5.2
2017,Sep,22364,21316,1048,4.7
2017,Oct,22354,21394,960,4.3
2017,Nov,22423,21434,989,4.4
2017,Dec,22396,21447,949,4.2
2018,Jan,22771,21735,1036,4.5
2018,Feb,23135,22082,1053,4.6
2018,Mar,23172,22188,984,4.2
2018,Apr,23055,22158,897,3.9
2018,May,23088,22210,878,3.8
2018,Jun,23278,22146,1132,4.9
2018,Jul,23276,22170,1106,4.8
2018,Aug,23119,22053,1066,4.6
2018,Sep,23139,22197,942,4.1
2018,Oct,23217,22315,902,3.9
2018,Nov,23234,22364,870,3.7
2018,Dec,23213,22331,882,3.8
2019,Jan,23215,22239,976,4.2
2019,Feb,23428,22519,909,3.9
2019,Mar,23428,22561,867,3.7
2019,Apr,23218,22516,702,3.0
2019,May,23295,22540,755,3.2
2019,Jun,23488,22507,981,4.2
2019,Jul,23540,22554,986,4.2
2019,Aug,23479,22544,935,4.0
2019,Sep,23555,22694,861,3.7
2019,Oct,23704,22828,876,3.7
2019,Nov,23690,22828,862,3.6
2019,Dec,23660,22830,830,3.5
2020,Jan,23665,22705,960,4.1
2020,Feb,23898,22999,899,3.8
2020,Mar,23541,22243,1298,5.5
2020,Apr,21418,18843,2575,12.0
