Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484750000000003,LAUCN484750000000004,LAUCN484750000000005,LAUCN484750000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Ward County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4520,4083,437,9.7
2010,Feb,4529,4105,424,9.4
2010,Mar,4537,4130,407,9.0
2010,Apr,4609,4227,382,8.3
2010,May,4621,4250,371,8.0
2010,Jun,4689,4268,421,9.0
2010,Jul,4703,4299,404,8.6
2010,Aug,4678,4283,395,8.4
2010,Sep,4660,4293,367,7.9
2010,Oct,4661,4299,362,7.8
2010,Nov,4680,4301,379,8.1
2010,Dec,4679,4327,352,7.5
2011,Jan,4625,4265,360,7.8
2011,Feb,4651,4306,345,7.4
2011,Mar,4712,4385,327,6.9
2011,Apr,4757,4448,309,6.5
2011,May,4832,4525,307,6.4
2011,Jun,4953,4604,349,7.0
2011,Jul,5052,4712,340,6.7
2011,Aug,5054,4727,327,6.5
2011,Sep,5143,4802,341,6.6
2011,Oct,5157,4851,306,5.9
2011,Nov,5176,4899,277,5.4
2011,Dec,5167,4903,264,5.1
2012,Jan,5077,4798,279,5.5
2012,Feb,5051,4786,265,5.2
2012,Mar,5110,4862,248,4.9
2012,Apr,5156,4915,241,4.7
2012,May,5298,5047,251,4.7
2012,Jun,5411,5120,291,5.4
2012,Jul,5560,5272,288,5.2
2012,Aug,5644,5380,264,4.7
2012,Sep,5491,5246,245,4.5
2012,Oct,5447,5203,244,4.5
2012,Nov,5549,5312,237,4.3
2012,Dec,5469,5232,237,4.3
2013,Jan,5295,5018,277,5.2
2013,Feb,5371,5110,261,4.9
2013,Mar,5353,5097,256,4.8
2013,Apr,5428,5187,241,4.4
2013,May,5482,5226,256,4.7
2013,Jun,5585,5291,294,5.3
2013,Jul,5565,5277,288,5.2
2013,Aug,5635,5370,265,4.7
2013,Sep,5647,5389,258,4.6
2013,Oct,5589,5340,249,4.5
2013,Nov,5643,5408,235,4.2
2013,Dec,5641,5414,227,4.0
2014,Jan,5811,5588,223,3.8
2014,Feb,5862,5638,224,3.8
2014,Mar,5866,5647,219,3.7
2014,Apr,5777,5593,184,3.2
2014,May,5884,5679,205,3.5
2014,Jun,5941,5713,228,3.8
2014,Jul,5936,5697,239,4.0
2014,Aug,5967,5735,232,3.9
2014,Sep,5986,5769,217,3.6
2014,Oct,5997,5794,203,3.4
2014,Nov,6030,5839,191,3.2
2014,Dec,6084,5903,181,3.0
2015,Jan,6270,6051,219,3.5
2015,Feb,6161,5937,224,3.6
2015,Mar,6113,5875,238,3.9
2015,Apr,6064,5836,228,3.8
2015,May,5956,5702,254,4.3
2015,Jun,5958,5682,276,4.6
2015,Jul,5977,5699,278,4.7
2015,Aug,5880,5613,267,4.5
2015,Sep,5790,5520,270,4.7
2015,Oct,5630,5371,259,4.6
2015,Nov,5643,5377,266,4.7
2015,Dec,5520,5267,253,4.6
2016,Jan,5471,5196,275,5.0
2016,Feb,5415,5119,296,5.5
2016,Mar,5393,5073,320,5.9
2016,Apr,5281,4958,323,6.1
2016,May,5246,4939,307,5.9
2016,Jun,5284,4946,338,6.4
2016,Jul,5437,5104,333,6.1
2016,Aug,5423,5100,323,6.0
2016,Sep,5498,5173,325,5.9
2016,Oct,5421,5128,293,5.4
2016,Nov,5432,5157,275,5.1
2016,Dec,5405,5129,276,5.1
2017,Jan,5416,5128,288,5.3
2017,Feb,5545,5282,263,4.7
2017,Mar,5579,5339,240,4.3
2017,Apr,5554,5337,217,3.9
2017,May,5602,5374,228,4.1
2017,Jun,5565,5333,232,4.2
2017,Jul,5494,5271,223,4.1
2017,Aug,5562,5338,224,4.0
2017,Sep,5622,5417,205,3.6
2017,Oct,5643,5449,194,3.4
2017,Nov,5725,5526,199,3.5
2017,Dec,5725,5532,193,3.4
2018,Jan,6225,6018,207,3.3
2018,Feb,6351,6162,189,3.0
2018,Mar,6307,6124,183,2.9
2018,Apr,6406,6242,164,2.6
2018,May,6524,6369,155,2.4
2018,Jun,6840,6653,187,2.7
2018,Jul,6983,6807,176,2.5
2018,Aug,7003,6828,175,2.5
2018,Sep,6996,6839,157,2.2
2018,Oct,7172,7021,151,2.1
2018,Nov,7251,7096,155,2.1
2018,Dec,7224,7059,165,2.3
2019,Jan,7434,7249,185,2.5
2019,Feb,7538,7364,174,2.3
2019,Mar,7472,7305,167,2.2
2019,Apr,7453,7314,139,1.9
2019,May,7477,7331,146,2.0
2019,Jun,7477,7298,179,2.4
2019,Jul,7500,7309,191,2.5
2019,Aug,7450,7263,187,2.5
2019,Sep,7414,7248,166,2.2
2019,Oct,7510,7338,172,2.3
2019,Nov,7584,7398,186,2.5
2019,Dec,7551,7374,177,2.3
2020,Jan,7843,7634,209,2.7
2020,Feb,8002,7795,207,2.6
2020,Mar,7879,7577,302,3.8
2020,Apr,7001,6361,640,9.1
