Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484770000000003,LAUCN484770000000004,LAUCN484770000000005,LAUCN484770000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Washington County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,15090,13885,1205,8.0
2010,Feb,15251,14081,1170,7.7
2010,Mar,15420,14287,1133,7.3
2010,Apr,15675,14560,1115,7.1
2010,May,15622,14537,1085,6.9
2010,Jun,15733,14518,1215,7.7
2010,Jul,15684,14499,1185,7.6
2010,Aug,15621,14488,1133,7.3
2010,Sep,15745,14680,1065,6.8
2010,Oct,15643,14596,1047,6.7
2010,Nov,15629,14538,1091,7.0
2010,Dec,15616,14602,1014,6.5
2011,Jan,15431,14342,1089,7.1
2011,Feb,15552,14522,1030,6.6
2011,Mar,15710,14732,978,6.2
2011,Apr,15734,14788,946,6.0
2011,May,15698,14717,981,6.2
2011,Jun,15893,14703,1190,7.5
2011,Jul,15711,14533,1178,7.5
2011,Aug,15695,14558,1137,7.2
2011,Sep,15788,14714,1074,6.8
2011,Oct,15684,14687,997,6.4
2011,Nov,15652,14719,933,6.0
2011,Dec,15642,14738,904,5.8
2012,Jan,15406,14480,926,6.0
2012,Feb,15539,14653,886,5.7
2012,Mar,15578,14685,893,5.7
2012,Apr,15649,14836,813,5.2
2012,May,15652,14786,866,5.5
2012,Jun,15865,14845,1020,6.4
2012,Jul,15792,14773,1019,6.5
2012,Aug,15614,14683,931,6.0
2012,Sep,15745,14922,823,5.2
2012,Oct,15745,14928,817,5.2
2012,Nov,15612,14822,790,5.1
2012,Dec,15554,14775,779,5.0
2013,Jan,15492,14563,929,6.0
2013,Feb,15541,14684,857,5.5
2013,Mar,15610,14746,864,5.5
2013,Apr,15648,14856,792,5.1
2013,May,15835,14979,856,5.4
2013,Jun,16008,14996,1012,6.3
2013,Jul,16013,15026,987,6.2
2013,Aug,15754,14854,900,5.7
2013,Sep,15861,15013,848,5.3
2013,Oct,15717,14901,816,5.2
2013,Nov,15619,14860,759,4.9
2013,Dec,15642,14927,715,4.6
2014,Jan,15480,14720,760,4.9
2014,Feb,15784,15002,782,5.0
2014,Mar,15970,15171,799,5.0
2014,Apr,15930,15293,637,4.0
2014,May,15885,15173,712,4.5
2014,Jun,15917,15112,805,5.1
2014,Jul,15854,14995,859,5.4
2014,Aug,15564,14771,793,5.1
2014,Sep,15666,14970,696,4.4
2014,Oct,15657,15010,647,4.1
2014,Nov,15543,14919,624,4.0
2014,Dec,15365,14816,549,3.6
2015,Jan,15488,14845,643,4.2
2015,Feb,15679,15065,614,3.9
2015,Mar,15799,15209,590,3.7
2015,Apr,15690,15139,551,3.5
2015,May,15737,15095,642,4.1
2015,Jun,15579,14708,871,5.6
2015,Jul,15227,14327,900,5.9
2015,Aug,15006,14164,842,5.6
2015,Sep,15085,14295,790,5.2
2015,Oct,15058,14273,785,5.2
2015,Nov,14995,14203,792,5.3
2015,Dec,14996,14254,742,4.9
2016,Jan,14736,13991,745,5.1
2016,Feb,15052,14320,732,4.9
2016,Mar,15172,14430,742,4.9
2016,Apr,15239,14531,708,4.6
2016,May,15285,14589,696,4.6
2016,Jun,15349,14491,858,5.6
2016,Jul,15071,14210,861,5.7
2016,Aug,15022,14189,833,5.5
2016,Sep,15122,14303,819,5.4
2016,Oct,14992,14222,770,5.1
2016,Nov,14961,14242,719,4.8
2016,Dec,14904,14208,696,4.7
2017,Jan,14695,13967,728,5.0
2017,Feb,14907,14197,710,4.8
2017,Mar,14998,14288,710,4.7
2017,Apr,14958,14364,594,4.0
2017,May,15010,14423,587,3.9
2017,Jun,14984,14315,669,4.5
2017,Jul,14910,14228,682,4.6
2017,Aug,14787,14131,656,4.4
2017,Sep,14803,14240,563,3.8
2017,Oct,14809,14288,521,3.5
2017,Nov,14807,14247,560,3.8
2017,Dec,14793,14258,535,3.6
2018,Jan,14676,14095,581,4.0
2018,Feb,14913,14334,579,3.9
2018,Mar,15077,14483,594,3.9
2018,Apr,14949,14459,490,3.3
2018,May,14950,14478,472,3.2
2018,Jun,14949,14325,624,4.2
2018,Jul,14942,14347,595,4.0
2018,Aug,14800,14267,533,3.6
2018,Sep,14890,14390,500,3.4
2018,Oct,14818,14342,476,3.2
2018,Nov,14727,14241,486,3.3
2018,Dec,14769,14270,499,3.4
2019,Jan,14841,14277,564,3.8
2019,Feb,14980,14468,512,3.4
2019,Mar,15009,14465,544,3.6
2019,Apr,15030,14619,411,2.7
2019,May,14998,14573,425,2.8
2019,Jun,15116,14551,565,3.7
2019,Jul,15317,14726,591,3.9
2019,Aug,15220,14692,528,3.5
2019,Sep,15408,14938,470,3.1
2019,Oct,15396,14939,457,3.0
2019,Nov,15237,14768,469,3.1
2019,Dec,15304,14852,452,3.0
2020,Jan,15332,14810,522,3.4
2020,Feb,15488,14986,502,3.2
2020,Mar,15314,14533,781,5.1
2020,Apr,13250,12221,1029,7.8
