Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484790000000003,LAUCN484790000000004,LAUCN484790000000005,LAUCN484790000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Webb County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,104166,94742,9424,9.0
2010,Feb,104165,95030,9135,8.8
2010,Mar,104325,95324,9001,8.6
2010,Apr,104939,96341,8598,8.2
2010,May,104324,96042,8282,7.9
2010,Jun,104644,95561,9083,8.7
2010,Jul,105162,96187,8975,8.5
2010,Aug,105587,96813,8774,8.3
2010,Sep,105022,96856,8166,7.8
2010,Oct,104998,96967,8031,7.6
2010,Nov,106343,97943,8400,7.9
2010,Dec,106520,98566,7954,7.5
2011,Jan,107336,98801,8535,8.0
2011,Feb,107533,99203,8330,7.7
2011,Mar,107025,99117,7908,7.4
2011,Apr,106717,99028,7689,7.2
2011,May,106923,99080,7843,7.3
2011,Jun,107773,98775,8998,8.3
2011,Jul,107722,99004,8718,8.1
2011,Aug,107516,99260,8256,7.7
2011,Sep,108569,100571,7998,7.4
2011,Oct,108815,101200,7615,7.0
2011,Nov,109268,102096,7172,6.6
2011,Dec,109505,102488,7017,6.4
2012,Jan,108938,101361,7577,7.0
2012,Feb,108921,101478,7443,6.8
2012,Mar,108897,101871,7026,6.5
2012,Apr,108189,101479,6710,6.2
2012,May,108194,101175,7019,6.5
2012,Jun,109275,101196,8079,7.4
2012,Jul,109433,101520,7913,7.2
2012,Aug,108701,101570,7131,6.6
2012,Sep,109419,102838,6581,6.0
2012,Oct,109632,103143,6489,5.9
2012,Nov,110052,103653,6399,5.8
2012,Dec,110081,103576,6505,5.9
2013,Jan,110335,102890,7445,6.7
2013,Feb,110350,103227,7123,6.5
2013,Mar,109624,102921,6703,6.1
2013,Apr,110398,103889,6509,5.9
2013,May,110828,103982,6846,6.2
2013,Jun,110890,103125,7765,7.0
2013,Jul,110839,103462,7377,6.7
2013,Aug,110329,103534,6795,6.2
2013,Sep,110434,103913,6521,5.9
2013,Oct,109292,103000,6292,5.8
2013,Nov,110562,104526,6036,5.5
2013,Dec,110507,104742,5765,5.2
2014,Jan,110711,104472,6239,5.6
2014,Feb,110961,104593,6368,5.7
2014,Mar,111118,105001,6117,5.5
2014,Apr,110663,105419,5244,4.7
2014,May,110782,105179,5603,5.1
2014,Jun,111244,104997,6247,5.6
2014,Jul,111396,104924,6472,5.8
2014,Aug,111368,105491,5877,5.3
2014,Sep,111471,106100,5371,4.8
2014,Oct,111822,106845,4977,4.5
2014,Nov,112154,107262,4892,4.4
2014,Dec,112132,107684,4448,4.0
2015,Jan,111362,106183,5179,4.7
2015,Feb,111469,106378,5091,4.6
2015,Mar,111560,106527,5033,4.5
2015,Apr,111771,106892,4879,4.4
2015,May,112123,106856,5267,4.7
2015,Jun,112311,106454,5857,5.2
2015,Jul,111520,105695,5825,5.2
2015,Aug,110921,105494,5427,4.9
2015,Sep,111425,106182,5243,4.7
2015,Oct,111710,106475,5235,4.7
2015,Nov,112686,107425,5261,4.7
2015,Dec,112719,107694,5025,4.5
2016,Jan,112617,107173,5444,4.8
2016,Feb,112949,107488,5461,4.8
2016,Mar,113458,107872,5586,4.9
2016,Apr,113562,108308,5254,4.6
2016,May,113251,108034,5217,4.6
2016,Jun,113965,107775,6190,5.4
2016,Jul,114368,108182,6186,5.4
2016,Aug,113852,107959,5893,5.2
2016,Sep,114412,108697,5715,5.0
2016,Oct,114029,108675,5354,4.7
2016,Nov,114562,109479,5083,4.4
2016,Dec,114475,109240,5235,4.6
2017,Jan,114742,108891,5851,5.1
2017,Feb,114953,109286,5667,4.9
2017,Mar,115312,110036,5276,4.6
2017,Apr,114760,109951,4809,4.2
2017,May,114535,109811,4724,4.1
2017,Jun,115178,109931,5247,4.6
2017,Jul,115452,110424,5028,4.4
2017,Aug,115260,110286,4974,4.3
2017,Sep,115779,111503,4276,3.7
2017,Oct,114538,110558,3980,3.5
2017,Nov,115465,111281,4184,3.6
2017,Dec,115406,111312,4094,3.5
2018,Jan,115339,110763,4576,4.0
2018,Feb,116272,111681,4591,3.9
2018,Mar,116113,111640,4473,3.9
2018,Apr,115766,111682,4084,3.5
2018,May,115312,111328,3984,3.5
2018,Jun,115999,111021,4978,4.3
2018,Jul,116756,112076,4680,4.0
2018,Aug,115922,111570,4352,3.8
2018,Sep,115710,111594,4116,3.6
2018,Oct,116767,112731,4036,3.5
2018,Nov,117534,113516,4018,3.4
2018,Dec,118032,113661,4371,3.7
2019,Jan,118173,113191,4982,4.2
2019,Feb,118668,113960,4708,4.0
2019,Mar,118259,113829,4430,3.7
2019,Apr,117804,114000,3804,3.2
2019,May,118482,114466,4016,3.4
2019,Jun,118663,113933,4730,4.0
2019,Jul,118394,113600,4794,4.0
2019,Aug,118413,113959,4454,3.8
2019,Sep,118808,114749,4059,3.4
2019,Oct,118980,114899,4081,3.4
2019,Nov,119514,115308,4206,3.5
2019,Dec,119349,115066,4283,3.6
2020,Jan,119635,114720,4915,4.1
2020,Feb,120300,115563,4737,3.9
2020,Mar,118469,111869,6600,5.6
2020,Apr,104251,90038,14213,13.6
