Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484810000000003,LAUCN484810000000004,LAUCN484810000000005,LAUCN484810000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Wharton County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,20691,18853,1838,8.9
2010,Feb,20857,18942,1915,9.2
2010,Mar,21136,19250,1886,8.9
2010,Apr,21329,19547,1782,8.4
2010,May,21184,19426,1758,8.3
2010,Jun,21436,19530,1906,8.9
2010,Jul,21634,19659,1975,9.1
2010,Aug,21418,19514,1904,8.9
2010,Sep,21457,19661,1796,8.4
2010,Oct,21404,19604,1800,8.4
2010,Nov,21388,19540,1848,8.6
2010,Dec,21412,19646,1766,8.2
2011,Jan,21117,19290,1827,8.7
2011,Feb,21126,19368,1758,8.3
2011,Mar,21390,19672,1718,8.0
2011,Apr,21327,19708,1619,7.6
2011,May,21412,19729,1683,7.9
2011,Jun,21687,19798,1889,8.7
2011,Jul,21783,19792,1991,9.1
2011,Aug,21728,19815,1913,8.8
2011,Sep,21597,19744,1853,8.6
2011,Oct,21528,19778,1750,8.1
2011,Nov,21587,19904,1683,7.8
2011,Dec,21694,20079,1615,7.4
2012,Jan,21014,19361,1653,7.9
2012,Feb,21038,19441,1597,7.6
2012,Mar,21233,19726,1507,7.1
2012,Apr,21327,19931,1396,6.5
2012,May,21444,19993,1451,6.8
2012,Jun,21661,20081,1580,7.3
2012,Jul,21856,20279,1577,7.2
2012,Aug,21528,20045,1483,6.9
2012,Sep,21663,20329,1334,6.2
2012,Oct,21643,20354,1289,6.0
2012,Nov,21516,20272,1244,5.8
2012,Dec,21315,20026,1289,6.0
2013,Jan,21064,19627,1437,6.8
2013,Feb,21179,19835,1344,6.3
2013,Mar,21179,19901,1278,6.0
2013,Apr,21457,20254,1203,5.6
2013,May,21710,20439,1271,5.9
2013,Jun,21833,20398,1435,6.6
2013,Jul,21975,20569,1406,6.4
2013,Aug,21541,20216,1325,6.2
2013,Sep,21619,20362,1257,5.8
2013,Oct,21587,20376,1211,5.6
2013,Nov,21397,20259,1138,5.3
2013,Dec,21563,20477,1086,5.0
2014,Jan,21325,20193,1132,5.3
2014,Feb,21550,20439,1111,5.2
2014,Mar,21658,20561,1097,5.1
2014,Apr,21688,20765,923,4.3
2014,May,21797,20788,1009,4.6
2014,Jun,21752,20669,1083,5.0
2014,Jul,21874,20747,1127,5.2
2014,Aug,21504,20417,1087,5.1
2014,Sep,21594,20618,976,4.5
2014,Oct,21700,20820,880,4.1
2014,Nov,21466,20597,869,4.0
2014,Dec,21277,20492,785,3.7
2015,Jan,21043,20153,890,4.2
2015,Feb,21298,20452,846,4.0
2015,Mar,21450,20616,834,3.9
2015,Apr,21365,20556,809,3.8
2015,May,21461,20584,877,4.1
2015,Jun,21358,20361,997,4.7
2015,Jul,21429,20358,1071,5.0
2015,Aug,21014,19984,1030,4.9
2015,Sep,21158,20168,990,4.7
2015,Oct,21174,20197,977,4.6
2015,Nov,21060,20090,970,4.6
2015,Dec,20987,20055,932,4.4
2016,Jan,20622,19644,978,4.7
2016,Feb,21204,20185,1019,4.8
2016,Mar,21412,20360,1052,4.9
2016,Apr,21263,20270,993,4.7
2016,May,21481,20495,986,4.6
2016,Jun,21353,20196,1157,5.4
2016,Jul,21108,19938,1170,5.5
2016,Aug,21037,19908,1129,5.4
2016,Sep,20997,19867,1130,5.4
2016,Oct,20778,19754,1024,4.9
2016,Nov,20770,19769,1001,4.8
2016,Dec,20713,19666,1047,5.1
2017,Jan,20571,19476,1095,5.3
2017,Feb,20859,19797,1062,5.1
2017,Mar,21259,20273,986,4.6
2017,Apr,21269,20351,918,4.3
2017,May,21287,20398,889,4.2
2017,Jun,21162,20169,993,4.7
2017,Jul,21150,20177,973,4.6
2017,Aug,21241,20271,970,4.6
2017,Sep,21040,20094,946,4.5
2017,Oct,21209,20385,824,3.9
2017,Nov,21090,20220,870,4.1
2017,Dec,21058,20227,831,3.9
2018,Jan,20799,19899,900,4.3
2018,Feb,21134,20265,869,4.1
2018,Mar,21445,20639,806,3.8
2018,Apr,21247,20504,743,3.5
2018,May,21398,20679,719,3.4
2018,Jun,21379,20511,868,4.1
2018,Jul,21408,20564,844,3.9
2018,Aug,21350,20542,808,3.8
2018,Sep,21395,20664,731,3.4
2018,Oct,21373,20672,701,3.3
2018,Nov,21319,20626,693,3.3
2018,Dec,21151,20430,721,3.4
2019,Jan,21006,20205,801,3.8
2019,Feb,21328,20591,737,3.5
2019,Mar,21617,20914,703,3.3
2019,Apr,21529,20920,609,2.8
2019,May,21762,21107,655,3.0
2019,Jun,21791,21001,790,3.6
2019,Jul,21797,20969,828,3.8
2019,Aug,21803,21016,787,3.6
2019,Sep,21840,21108,732,3.4
2019,Oct,21985,21274,711,3.2
2019,Nov,21766,21037,729,3.3
2019,Dec,21809,21075,734,3.4
2020,Jan,21620,20774,846,3.9
2020,Feb,21858,21065,793,3.6
2020,Mar,21770,20628,1142,5.2
2020,Apr,19317,17460,1857,9.6
