Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484830000000003,LAUCN484830000000004,LAUCN484830000000005,LAUCN484830000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Wheeler County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2620,2418,202,7.7
2010,Feb,2548,2358,190,7.5
2010,Mar,2612,2429,183,7.0
2010,Apr,2752,2578,174,6.3
2010,May,2688,2523,165,6.1
2010,Jun,2808,2634,174,6.2
2010,Jul,2797,2630,167,6.0
2010,Aug,2782,2623,159,5.7
2010,Sep,2807,2658,149,5.3
2010,Oct,2783,2633,150,5.4
2010,Nov,2766,2617,149,5.4
2010,Dec,2824,2683,141,5.0
2011,Jan,2782,2634,148,5.3
2011,Feb,2721,2579,142,5.2
2011,Mar,2782,2642,140,5.0
2011,Apr,2793,2661,132,4.7
2011,May,2915,2777,138,4.7
2011,Jun,3021,2864,157,5.2
2011,Jul,2908,2750,158,5.4
2011,Aug,2862,2717,145,5.1
2011,Sep,2828,2680,148,5.2
2011,Oct,2808,2669,139,5.0
2011,Nov,2894,2768,126,4.4
2011,Dec,2954,2836,118,4.0
2012,Jan,2764,2638,126,4.6
2012,Feb,2789,2666,123,4.4
2012,Mar,2902,2785,117,4.0
2012,Apr,2995,2880,115,3.8
2012,May,3038,2916,122,4.0
2012,Jun,2914,2772,142,4.9
2012,Jul,2930,2778,152,5.2
2012,Aug,2854,2722,132,4.6
2012,Sep,2885,2764,121,4.2
2012,Oct,2892,2768,124,4.3
2012,Nov,2890,2770,120,4.2
2012,Dec,2887,2765,122,4.2
2013,Jan,2888,2745,143,5.0
2013,Feb,2859,2724,135,4.7
2013,Mar,2885,2758,127,4.4
2013,Apr,2963,2838,125,4.2
2013,May,3120,2986,134,4.3
2013,Jun,3232,3082,150,4.6
2013,Jul,3337,3193,144,4.3
2013,Aug,3281,3147,134,4.1
2013,Sep,3410,3268,142,4.2
2013,Oct,3293,3150,143,4.3
2013,Nov,3199,3074,125,3.9
2013,Dec,3169,3053,116,3.7
2014,Jan,3056,2938,118,3.9
2014,Feb,3058,2939,119,3.9
2014,Mar,3104,2988,116,3.7
2014,Apr,3133,3028,105,3.4
2014,May,3123,3007,116,3.7
2014,Jun,3155,3030,125,4.0
2014,Jul,3209,3077,132,4.1
2014,Aug,3153,3043,110,3.5
2014,Sep,3195,3089,106,3.3
2014,Oct,3000,2902,98,3.3
2014,Nov,2937,2844,93,3.2
2014,Dec,2899,2817,82,2.8
2015,Jan,2892,2791,101,3.5
2015,Feb,2875,2772,103,3.6
2015,Mar,2896,2787,109,3.8
2015,Apr,2779,2690,89,3.2
2015,May,2855,2743,112,3.9
2015,Jun,2881,2761,120,4.2
2015,Jul,2828,2702,126,4.5
2015,Aug,2836,2723,113,4.0
2015,Sep,2852,2743,109,3.8
2015,Oct,2771,2663,108,3.9
2015,Nov,2694,2584,110,4.1
2015,Dec,2700,2590,110,4.1
2016,Jan,2546,2439,107,4.2
2016,Feb,2631,2520,111,4.2
2016,Mar,2606,2486,120,4.6
2016,Apr,2535,2417,118,4.7
2016,May,2590,2473,117,4.5
2016,Jun,2560,2435,125,4.9
2016,Jul,2473,2347,126,5.1
2016,Aug,2435,2317,118,4.8
2016,Sep,2364,2244,120,5.1
2016,Oct,2362,2245,117,5.0
2016,Nov,2330,2213,117,5.0
2016,Dec,2342,2230,112,4.8
2017,Jan,2299,2182,117,5.1
2017,Feb,2302,2192,110,4.8
2017,Mar,2351,2249,102,4.3
2017,Apr,2342,2249,93,4.0
2017,May,2443,2355,88,3.6
2017,Jun,2406,2316,90,3.7
2017,Jul,2337,2243,94,4.0
2017,Aug,2354,2263,91,3.9
2017,Sep,2311,2226,85,3.7
2017,Oct,2354,2276,78,3.3
2017,Nov,2333,2246,87,3.7
2017,Dec,2399,2317,82,3.4
2018,Jan,2539,2446,93,3.7
2018,Feb,2545,2458,87,3.4
2018,Mar,2571,2485,86,3.3
2018,Apr,2491,2413,78,3.1
2018,May,2441,2367,74,3.0
2018,Jun,2321,2242,79,3.4
2018,Jul,2353,2281,72,3.1
2018,Aug,2436,2367,69,2.8
2018,Sep,2420,2355,65,2.7
2018,Oct,2362,2291,71,3.0
2018,Nov,2341,2273,68,2.9
2018,Dec,2302,2236,66,2.9
2019,Jan,2213,2138,75,3.4
2019,Feb,2277,2208,69,3.0
2019,Mar,2291,2224,67,2.9
2019,Apr,2240,2181,59,2.6
2019,May,2280,2222,58,2.5
2019,Jun,2286,2219,67,2.9
2019,Jul,2360,2285,75,3.2
2019,Aug,2343,2271,72,3.1
2019,Sep,2275,2203,72,3.2
2019,Oct,2286,2215,71,3.1
2019,Nov,2239,2163,76,3.4
2019,Dec,2261,2195,66,2.9
2020,Jan,2276,2199,77,3.4
2020,Feb,2293,2219,74,3.2
2020,Mar,2261,2153,108,4.8
2020,Apr,1945,1810,135,6.9
