Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484850000000003,LAUCN484850000000004,LAUCN484850000000005,LAUCN484850000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Wichita County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,58279,53383,4896,8.4
2010,Feb,58472,53650,4822,8.2
2010,Mar,58609,53903,4706,8.0
2010,Apr,59476,54908,4568,7.7
2010,May,59350,54853,4497,7.6
2010,Jun,59966,55118,4848,8.1
2010,Jul,59661,54838,4823,8.1
2010,Aug,59673,55022,4651,7.8
2010,Sep,59622,55191,4431,7.4
2010,Oct,59170,54862,4308,7.3
2010,Nov,59597,55164,4433,7.4
2010,Dec,59487,55279,4208,7.1
2011,Jan,59307,54915,4392,7.4
2011,Feb,58983,54843,4140,7.0
2011,Mar,59225,55192,4033,6.8
2011,Apr,58907,55035,3872,6.6
2011,May,59214,55272,3942,6.7
2011,Jun,59631,55110,4521,7.6
2011,Jul,59195,54774,4421,7.5
2011,Aug,58660,54448,4212,7.2
2011,Sep,58767,54667,4100,7.0
2011,Oct,58805,54928,3877,6.6
2011,Nov,58749,55057,3692,6.3
2011,Dec,58870,55284,3586,6.1
2012,Jan,59173,55449,3724,6.3
2012,Feb,59013,55417,3596,6.1
2012,Mar,59022,55488,3534,6.0
2012,Apr,58580,55330,3250,5.5
2012,May,58736,55250,3486,5.9
2012,Jun,58922,54959,3963,6.7
2012,Jul,58648,54688,3960,6.8
2012,Aug,57883,54185,3698,6.4
2012,Sep,58034,54617,3417,5.9
2012,Oct,57909,54517,3392,5.9
2012,Nov,57824,54544,3280,5.7
2012,Dec,57876,54525,3351,5.8
2013,Jan,57843,54094,3749,6.5
2013,Feb,57446,53930,3516,6.1
2013,Mar,57353,53879,3474,6.1
2013,Apr,57453,54264,3189,5.6
2013,May,57689,54303,3386,5.9
2013,Jun,57945,54189,3756,6.5
2013,Jul,57675,54031,3644,6.3
2013,Aug,56986,53632,3354,5.9
2013,Sep,56985,53730,3255,5.7
2013,Oct,56761,53641,3120,5.5
2013,Nov,57001,54006,2995,5.3
2013,Dec,56931,54104,2827,5.0
2014,Jan,56878,53895,2983,5.2
2014,Feb,56878,53904,2974,5.2
2014,Mar,57039,54149,2890,5.1
2014,Apr,56435,53972,2463,4.4
2014,May,56536,53862,2674,4.7
2014,Jun,57017,53970,3047,5.3
2014,Jul,57033,53853,3180,5.6
2014,Aug,56700,53682,3018,5.3
2014,Sep,56433,53742,2691,4.8
2014,Oct,56256,53736,2520,4.5
2014,Nov,56049,53614,2435,4.3
2014,Dec,55645,53457,2188,3.9
2015,Jan,55457,53030,2427,4.4
2015,Feb,55375,53049,2326,4.2
2015,Mar,55194,52945,2249,4.1
2015,Apr,55316,53186,2130,3.9
2015,May,55448,53118,2330,4.2
2015,Jun,55583,53063,2520,4.5
2015,Jul,55517,52941,2576,4.6
2015,Aug,55092,52752,2340,4.2
2015,Sep,54984,52565,2419,4.4
2015,Oct,55238,52830,2408,4.4
2015,Nov,55449,53066,2383,4.3
2015,Dec,55351,53060,2291,4.1
2016,Jan,55203,52774,2429,4.4
2016,Feb,55411,53027,2384,4.3
2016,Mar,55652,53196,2456,4.4
2016,Apr,55401,53170,2231,4.0
2016,May,55140,52913,2227,4.0
2016,Jun,55628,53056,2572,4.6
2016,Jul,55808,53164,2644,4.7
2016,Aug,55265,52764,2501,4.5
2016,Sep,55003,52520,2483,4.5
2016,Oct,55410,53047,2363,4.3
2016,Nov,55544,53281,2263,4.1
2016,Dec,55777,53511,2266,4.1
2017,Jan,55860,53391,2469,4.4
2017,Feb,56208,53825,2383,4.2
2017,Mar,56224,53980,2244,4.0
2017,Apr,56176,54229,1947,3.5
2017,May,55922,53946,1976,3.5
2017,Jun,56048,53889,2159,3.9
2017,Jul,56227,54044,2183,3.9
2017,Aug,55713,53602,2111,3.8
2017,Sep,55922,54021,1901,3.4
2017,Oct,55774,54030,1744,3.1
2017,Nov,56466,54579,1887,3.3
2017,Dec,56395,54588,1807,3.2
2018,Jan,56346,54334,2012,3.6
2018,Feb,56752,54762,1990,3.5
2018,Mar,56518,54493,2025,3.6
2018,Apr,56553,54819,1734,3.1
2018,May,56382,54641,1741,3.1
2018,Jun,56691,54493,2198,3.9
2018,Jul,56438,54314,2124,3.8
2018,Aug,55738,53831,1907,3.4
2018,Sep,55865,54055,1810,3.2
2018,Oct,56078,54340,1738,3.1
2018,Nov,56486,54720,1766,3.1
2018,Dec,56573,54735,1838,3.2
2019,Jan,56592,54509,2083,3.7
2019,Feb,56475,54590,1885,3.3
2019,Mar,56227,54435,1792,3.2
2019,Apr,55964,54464,1500,2.7
2019,May,55852,54273,1579,2.8
2019,Jun,56465,54485,1980,3.5
2019,Jul,56523,54488,2035,3.6
2019,Aug,56131,54251,1880,3.3
2019,Sep,56397,54683,1714,3.0
2019,Oct,56522,54842,1680,3.0
2019,Nov,56729,55047,1682,3.0
2019,Dec,56462,54817,1645,2.9
2020,Jan,56473,54596,1877,3.3
2020,Feb,56590,54799,1791,3.2
2020,Mar,55223,52703,2520,4.6
2020,Apr,49866,44019,5847,11.7
