Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484870000000003,LAUCN484870000000004,LAUCN484870000000005,LAUCN484870000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Wilbarger County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,6067,5592,475,7.8
2010,Feb,6039,5589,450,7.5
2010,Mar,6087,5616,471,7.7
2010,Apr,6208,5774,434,7.0
2010,May,6169,5725,444,7.2
2010,Jun,6152,5620,532,8.6
2010,Jul,6189,5645,544,8.8
2010,Aug,6150,5627,523,8.5
2010,Sep,6175,5681,494,8.0
2010,Oct,6143,5673,470,7.7
2010,Nov,6141,5652,489,8.0
2010,Dec,6153,5688,465,7.6
2011,Jan,6079,5594,485,8.0
2011,Feb,6038,5580,458,7.6
2011,Mar,6069,5621,448,7.4
2011,Apr,6128,5702,426,7.0
2011,May,6078,5642,436,7.2
2011,Jun,6119,5619,500,8.2
2011,Jul,5996,5516,480,8.0
2011,Aug,5954,5495,459,7.7
2011,Sep,5940,5513,427,7.2
2011,Oct,6006,5609,397,6.6
2011,Nov,6026,5649,377,6.3
2011,Dec,6037,5675,362,6.0
2012,Jan,5910,5524,386,6.5
2012,Feb,5877,5507,370,6.3
2012,Mar,5909,5550,359,6.1
2012,Apr,5936,5602,334,5.6
2012,May,5908,5551,357,6.0
2012,Jun,6013,5600,413,6.9
2012,Jul,6011,5600,411,6.8
2012,Aug,5915,5546,369,6.2
2012,Sep,5946,5615,331,5.6
2012,Oct,5921,5596,325,5.5
2012,Nov,5875,5570,305,5.2
2012,Dec,5863,5550,313,5.3
2013,Jan,5804,5434,370,6.4
2013,Feb,5777,5424,353,6.1
2013,Mar,5823,5499,324,5.6
2013,Apr,5898,5592,306,5.2
2013,May,5974,5638,336,5.6
2013,Jun,6033,5633,400,6.6
2013,Jul,5817,5445,372,6.4
2013,Aug,5701,5360,341,6.0
2013,Sep,5664,5329,335,5.9
2013,Oct,5638,5331,307,5.4
2013,Nov,5592,5304,288,5.2
2013,Dec,5624,5347,277,4.9
2014,Jan,5427,5138,289,5.3
2014,Feb,5370,5082,288,5.4
2014,Mar,5458,5191,267,4.9
2014,Apr,5410,5170,240,4.4
2014,May,5386,5126,260,4.8
2014,Jun,5398,5118,280,5.2
2014,Jul,5333,5042,291,5.5
2014,Aug,5199,4916,283,5.4
2014,Sep,5198,4948,250,4.8
2014,Oct,5168,4936,232,4.5
2014,Nov,5183,4952,231,4.5
2014,Dec,5085,4875,210,4.1
2015,Jan,5082,4831,251,4.9
2015,Feb,5085,4851,234,4.6
2015,Mar,5221,4990,231,4.4
2015,Apr,5161,4930,231,4.5
2015,May,5204,4928,276,5.3
2015,Jun,5212,4923,289,5.5
2015,Jul,5157,4881,276,5.4
2015,Aug,5057,4808,249,4.9
2015,Sep,5093,4854,239,4.7
2015,Oct,5070,4835,235,4.6
2015,Nov,4984,4761,223,4.5
2015,Dec,4996,4776,220,4.4
2016,Jan,5040,4807,233,4.6
2016,Feb,5081,4859,222,4.4
2016,Mar,5115,4885,230,4.5
2016,Apr,5081,4871,210,4.1
2016,May,5123,4901,222,4.3
2016,Jun,5112,4851,261,5.1
2016,Jul,5048,4775,273,5.4
2016,Aug,5052,4794,258,5.1
2016,Sep,5011,4765,246,4.9
2016,Oct,4970,4741,229,4.6
2016,Nov,4957,4733,224,4.5
2016,Dec,4957,4723,234,4.7
2017,Jan,5029,4771,258,5.1
2017,Feb,5091,4802,289,5.7
2017,Mar,5134,4867,267,5.2
2017,Apr,5026,4800,226,4.5
2017,May,4967,4745,222,4.5
2017,Jun,4916,4680,236,4.8
2017,Jul,4912,4682,230,4.7
2017,Aug,4870,4637,233,4.8
2017,Sep,4885,4675,210,4.3
2017,Oct,4906,4712,194,4.0
2017,Nov,4897,4691,206,4.2
2017,Dec,4903,4696,207,4.2
2018,Jan,4973,4728,245,4.9
2018,Feb,4977,4757,220,4.4
2018,Mar,5006,4793,213,4.3
2018,Apr,4950,4747,203,4.1
2018,May,4984,4794,190,3.8
2018,Jun,4930,4707,223,4.5
2018,Jul,5003,4797,206,4.1
2018,Aug,4949,4742,207,4.2
2018,Sep,4996,4800,196,3.9
2018,Oct,4971,4786,185,3.7
2018,Nov,5014,4823,191,3.8
2018,Dec,4980,4790,190,3.8
2019,Jan,5013,4796,217,4.3
2019,Feb,4997,4811,186,3.7
2019,Mar,5005,4817,188,3.8
2019,Apr,4964,4821,143,2.9
2019,May,4951,4798,153,3.1
2019,Jun,4970,4779,191,3.8
2019,Jul,4989,4785,204,4.1
2019,Aug,4936,4749,187,3.8
2019,Sep,4974,4814,160,3.2
2019,Oct,4982,4826,156,3.1
2019,Nov,4958,4788,170,3.4
2019,Dec,4960,4789,171,3.4
2020,Jan,4977,4779,198,4.0
2020,Feb,4998,4797,201,4.0
2020,Mar,4968,4697,271,5.5
2020,Apr,4280,3958,322,7.5
