Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484890000000003,LAUCN484890000000004,LAUCN484890000000005,LAUCN484890000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Willacy County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7789,6622,1167,15.0
2010,Feb,7796,6634,1162,14.9
2010,Mar,7887,6758,1129,14.3
2010,Apr,7933,6864,1069,13.5
2010,May,7849,6774,1075,13.7
2010,Jun,7903,6739,1164,14.7
2010,Jul,7814,6636,1178,15.1
2010,Aug,7680,6557,1123,14.6
2010,Sep,7629,6548,1081,14.2
2010,Oct,7660,6595,1065,13.9
2010,Nov,7724,6574,1150,14.9
2010,Dec,7706,6567,1139,14.8
2011,Jan,7785,6559,1226,15.7
2011,Feb,7802,6579,1223,15.7
2011,Mar,7923,6727,1196,15.1
2011,Apr,7942,6784,1158,14.6
2011,May,7853,6684,1169,14.9
2011,Jun,7911,6634,1277,16.1
2011,Jul,7824,6424,1400,17.9
2011,Aug,7673,6227,1446,18.8
2011,Sep,7494,6117,1377,18.4
2011,Oct,7474,6174,1300,17.4
2011,Nov,7429,6195,1234,16.6
2011,Dec,7544,6294,1250,16.6
2012,Jan,7413,6140,1273,17.2
2012,Feb,7467,6167,1300,17.4
2012,Mar,7448,6227,1221,16.4
2012,Apr,7418,6293,1125,15.2
2012,May,7435,6271,1164,15.7
2012,Jun,7540,6312,1228,16.3
2012,Jul,7472,6267,1205,16.1
2012,Aug,7402,6257,1145,15.5
2012,Sep,7392,6282,1110,15.0
2012,Oct,7389,6304,1085,14.7
2012,Nov,7342,6274,1068,14.5
2012,Dec,7408,6249,1159,15.6
2013,Jan,7541,6250,1291,17.1
2013,Feb,7589,6327,1262,16.6
2013,Mar,7561,6377,1184,15.7
2013,Apr,7589,6434,1155,15.2
2013,May,7604,6417,1187,15.6
2013,Jun,7706,6434,1272,16.5
2013,Jul,7455,6232,1223,16.4
2013,Aug,7314,6130,1184,16.2
2013,Sep,7292,6153,1139,15.6
2013,Oct,7249,6125,1124,15.5
2013,Nov,7153,6110,1043,14.6
2013,Dec,7184,6169,1015,14.1
2014,Jan,7294,6184,1110,15.2
2014,Feb,7308,6240,1068,14.6
2014,Mar,7508,6477,1031,13.7
2014,Apr,7402,6514,888,12.0
2014,May,7348,6470,878,11.9
2014,Jun,7197,6265,932,12.9
2014,Jul,7082,6159,923,13.0
2014,Aug,7063,6191,872,12.3
2014,Sep,7039,6261,778,11.1
2014,Oct,7048,6325,723,10.3
2014,Nov,6988,6230,758,10.8
2014,Dec,6859,6158,701,10.2
2015,Jan,6955,6113,842,12.1
2015,Feb,7041,6223,818,11.6
2015,Mar,7042,6111,931,13.2
2015,Apr,6924,5999,925,13.4
2015,May,6870,5935,935,13.6
2015,Jun,6757,5776,981,14.5
2015,Jul,6681,5727,954,14.3
2015,Aug,6663,5753,910,13.7
2015,Sep,6548,5732,816,12.5
2015,Oct,6528,5692,836,12.8
2015,Nov,6500,5686,814,12.5
2015,Dec,6454,5678,776,12.0
2016,Jan,6484,5682,802,12.4
2016,Feb,6580,5781,799,12.1
2016,Mar,6671,5849,822,12.3
2016,Apr,6581,5787,794,12.1
2016,May,6583,5791,792,12.0
2016,Jun,6619,5728,891,13.5
2016,Jul,6485,5598,887,13.7
2016,Aug,6470,5644,826,12.8
2016,Sep,6485,5684,801,12.4
2016,Oct,6354,5639,715,11.3
2016,Nov,6352,5649,703,11.1
2016,Dec,6308,5606,702,11.1
2017,Jan,6388,5569,819,12.8
2017,Feb,6438,5631,807,12.5
2017,Mar,6553,5765,788,12.0
2017,Apr,6732,5941,791,11.7
2017,May,6508,5775,733,11.3
2017,Jun,6455,5703,752,11.6
2017,Jul,6126,5390,736,12.0
2017,Aug,6150,5468,682,11.1
2017,Sep,6113,5516,597,9.8
2017,Oct,6161,5615,546,8.9
2017,Nov,6114,5569,545,8.9
2017,Dec,6129,5566,563,9.2
2018,Jan,6330,5651,679,10.7
2018,Feb,6428,5719,709,11.0
2018,Mar,6572,5896,676,10.3
2018,Apr,6419,5724,695,10.8
2018,May,6383,5717,666,10.4
2018,Jun,6363,5628,735,11.6
2018,Jul,6306,5615,691,11.0
2018,Aug,6260,5687,573,9.2
2018,Sep,6352,5791,561,8.8
2018,Oct,6459,5938,521,8.1
2018,Nov,6401,5907,494,7.7
2018,Dec,6389,5871,518,8.1
2019,Jan,6488,5889,599,9.2
2019,Feb,6601,6018,583,8.8
2019,Mar,6624,6085,539,8.1
2019,Apr,6558,6042,516,7.9
2019,May,6531,6003,528,8.1
2019,Jun,6525,5923,602,9.2
2019,Jul,6506,5879,627,9.6
2019,Aug,6551,6004,547,8.3
2019,Sep,6672,6172,500,7.5
2019,Oct,6730,6249,481,7.1
2019,Nov,6650,6181,469,7.1
2019,Dec,6664,6181,483,7.2
2020,Jan,6768,6205,563,8.3
2020,Feb,6835,6273,562,8.2
2020,Mar,6959,6190,769,11.1
2020,Apr,6256,5167,1089,17.4
