Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484910000000003,LAUCN484910000000004,LAUCN484910000000005,LAUCN484910000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Williamson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,218256,200976,17280,7.9
2010,Feb,219261,202466,16795,7.7
2010,Mar,220698,204140,16558,7.5
2010,Apr,222920,207069,15851,7.1
2010,May,221988,206359,15629,7.0
2010,Jun,222452,205939,16513,7.4
2010,Jul,222798,206157,16641,7.5
2010,Aug,223253,207045,16208,7.3
2010,Sep,223586,207859,15727,7.0
2010,Oct,224921,209489,15432,6.9
2010,Nov,226106,210251,15855,7.0
2010,Dec,224767,209744,15023,6.7
2011,Jan,226724,210491,16233,7.2
2011,Feb,228228,212446,15782,6.9
2011,Mar,229103,213700,15403,6.7
2011,Apr,230135,215390,14745,6.4
2011,May,230420,215255,15165,6.6
2011,Jun,231047,214116,16931,7.3
2011,Jul,230693,213882,16811,7.3
2011,Aug,231022,214678,16344,7.1
2011,Sep,232791,216393,16398,7.0
2011,Oct,233650,218210,15440,6.6
2011,Nov,233953,219381,14572,6.2
2011,Dec,232977,218930,14047,6.0
2012,Jan,233766,218892,14874,6.4
2012,Feb,234825,220333,14492,6.2
2012,Mar,235358,221338,14020,6.0
2012,Apr,235334,222273,13061,5.5
2012,May,236409,222671,13738,5.8
2012,Jun,237570,222442,15128,6.4
2012,Jul,237728,222573,15155,6.4
2012,Aug,236477,222359,14118,6.0
2012,Sep,238602,225404,13198,5.5
2012,Oct,240915,227883,13032,5.4
2012,Nov,241287,228784,12503,5.2
2012,Dec,240790,228073,12717,5.3
2013,Jan,243130,228619,14511,6.0
2013,Feb,243393,229837,13556,5.6
2013,Mar,243821,230784,13037,5.3
2013,Apr,245405,233158,12247,5.0
2013,May,246626,233681,12945,5.2
2013,Jun,247686,233448,14238,5.7
2013,Jul,247571,233679,13892,5.6
2013,Aug,246751,233543,13208,5.4
2013,Sep,248263,235249,13014,5.2
2013,Oct,247763,235042,12721,5.1
2013,Nov,250105,238299,11806,4.7
2013,Dec,248994,237944,11050,4.4
2014,Jan,252344,240437,11907,4.7
2014,Feb,254211,242038,12173,4.8
2014,Mar,255603,243657,11946,4.7
2014,Apr,254821,244612,10209,4.0
2014,May,255218,244174,11044,4.3
2014,Jun,256059,244407,11652,4.6
2014,Jul,256635,244362,12273,4.8
2014,Aug,255731,243782,11949,4.7
2014,Sep,255977,244930,11047,4.3
2014,Oct,257232,246913,10319,4.0
2014,Nov,257904,247800,10104,3.9
2014,Dec,256037,247005,9032,3.5
2015,Jan,259879,249707,10172,3.9
2015,Feb,260922,251527,9395,3.6
2015,Mar,261338,252418,8920,3.4
2015,Apr,262540,254330,8210,3.1
2015,May,263775,254739,9036,3.4
2015,Jun,264504,254889,9615,3.6
2015,Jul,264040,254202,9838,3.7
2015,Aug,263384,254278,9106,3.5
2015,Sep,265000,255919,9081,3.4
2015,Oct,266506,257602,8904,3.3
2015,Nov,268405,259670,8735,3.3
2015,Dec,268262,260070,8192,3.1
2016,Jan,272751,263901,8850,3.2
2016,Feb,275334,266569,8765,3.2
2016,Mar,276352,267458,8894,3.2
2016,Apr,276377,268181,8196,3.0
2016,May,276298,267952,8346,3.0
2016,Jun,278301,268470,9831,3.5
2016,Jul,279754,269527,10227,3.7
2016,Aug,278594,268607,9987,3.6
2016,Sep,281154,270931,10223,3.6
2016,Oct,282114,272255,9859,3.5
2016,Nov,282966,273586,9380,3.3
2016,Dec,281960,272547,9413,3.3
2017,Jan,285715,275142,10573,3.7
2017,Feb,288164,277539,10625,3.7
2017,Mar,288747,278772,9975,3.5
2017,Apr,289696,280794,8902,3.1
2017,May,289315,280215,9100,3.1
2017,Jun,290343,280482,9861,3.4
2017,Jul,291921,281938,9983,3.4
2017,Aug,290432,280437,9995,3.4
2017,Sep,293740,284673,9067,3.1
2017,Oct,293267,284763,8504,2.9
2017,Nov,294457,285619,8838,3.0
2017,Dec,293742,285177,8565,2.9
2018,Jan,298402,288884,9518,3.2
2018,Feb,302309,292613,9696,3.2
2018,Mar,301841,292388,9453,3.1
2018,Apr,302793,294199,8594,2.8
2018,May,302779,294292,8487,2.8
2018,Jun,304991,294831,10160,3.3
2018,Jul,305081,295249,9832,3.2
2018,Aug,302381,292788,9593,3.2
2018,Sep,305094,295977,9117,3.0
2018,Oct,307758,298887,8871,2.9
2018,Nov,308825,300054,8771,2.8
2018,Dec,308329,299483,8846,2.9
2019,Jan,309270,299146,10124,3.3
2019,Feb,311665,302476,9189,2.9
2019,Mar,311456,302653,8803,2.8
2019,Apr,311346,303834,7512,2.4
2019,May,311131,303292,7839,2.5
2019,Jun,313294,304149,9145,2.9
2019,Jul,314705,305213,9492,3.0
2019,Aug,313384,304103,9281,3.0
2019,Sep,315801,307030,8771,2.8
2019,Oct,317883,309323,8560,2.7
2019,Nov,318419,309903,8516,2.7
2019,Dec,318437,310403,8034,2.5
2020,Jan,318094,308981,9113,2.9
2020,Feb,320860,312002,8858,2.8
2020,Mar,313796,301244,12552,4.0
2020,Apr,286258,252451,33807,11.8
