Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484930000000003,LAUCN484930000000004,LAUCN484930000000005,LAUCN484930000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Wilson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,20817,19318,1499,7.2
2010,Feb,20917,19495,1422,6.8
2010,Mar,21050,19627,1423,6.8
2010,Apr,21318,19928,1390,6.5
2010,May,21235,19877,1358,6.4
2010,Jun,21400,19860,1540,7.2
2010,Jul,21410,19835,1575,7.4
2010,Aug,21355,19834,1521,7.1
2010,Sep,21311,19883,1428,6.7
2010,Oct,21321,19911,1410,6.6
2010,Nov,21363,19908,1455,6.8
2010,Dec,21322,19947,1375,6.4
2011,Jan,21230,19773,1457,6.9
2011,Feb,21312,19902,1410,6.6
2011,Mar,21418,20049,1369,6.4
2011,Apr,21423,20123,1300,6.1
2011,May,21481,20138,1343,6.3
2011,Jun,21695,20103,1592,7.3
2011,Jul,21713,20142,1571,7.2
2011,Aug,21696,20162,1534,7.1
2011,Sep,21728,20256,1472,6.8
2011,Oct,21638,20292,1346,6.2
2011,Nov,21623,20369,1254,5.8
2011,Dec,21617,20400,1217,5.6
2012,Jan,21434,20132,1302,6.1
2012,Feb,21501,20258,1243,5.8
2012,Mar,21558,20369,1189,5.5
2012,Apr,21582,20460,1122,5.2
2012,May,21674,20499,1175,5.4
2012,Jun,21900,20545,1355,6.2
2012,Jul,21920,20551,1369,6.2
2012,Aug,21774,20513,1261,5.8
2012,Sep,21837,20711,1126,5.2
2012,Oct,21884,20776,1108,5.1
2012,Nov,21854,20758,1096,5.0
2012,Dec,21867,20762,1105,5.1
2013,Jan,21918,20649,1269,5.8
2013,Feb,21946,20780,1166,5.3
2013,Mar,21966,20817,1149,5.2
2013,Apr,22117,21036,1081,4.9
2013,May,22254,21091,1163,5.2
2013,Jun,22466,21131,1335,5.9
2013,Jul,22504,21196,1308,5.8
2013,Aug,22325,21088,1237,5.5
2013,Sep,22366,21188,1178,5.3
2013,Oct,22172,21064,1108,5.0
2013,Nov,22278,21228,1050,4.7
2013,Dec,22243,21275,968,4.4
2014,Jan,22259,21227,1032,4.6
2014,Feb,22426,21382,1044,4.7
2014,Mar,22524,21520,1004,4.5
2014,Apr,22508,21658,850,3.8
2014,May,22606,21679,927,4.1
2014,Jun,22720,21721,999,4.4
2014,Jul,22772,21727,1045,4.6
2014,Aug,22593,21619,974,4.3
2014,Sep,22594,21693,901,4.0
2014,Oct,22687,21827,860,3.8
2014,Nov,22685,21844,841,3.7
2014,Dec,22514,21751,763,3.4
2015,Jan,22619,21741,878,3.9
2015,Feb,22725,21899,826,3.6
2015,Mar,22782,21977,805,3.5
2015,Apr,22905,22134,771,3.4
2015,May,23038,22190,848,3.7
2015,Jun,23036,22105,931,4.0
2015,Jul,23068,22105,963,4.2
2015,Aug,22958,22053,905,3.9
2015,Sep,23041,22141,900,3.9
2015,Oct,23110,22225,885,3.8
2015,Nov,23238,22348,890,3.8
2015,Dec,23201,22363,838,3.6
2016,Jan,23233,22364,869,3.7
2016,Feb,23512,22637,875,3.7
2016,Mar,23656,22756,900,3.8
2016,Apr,23659,22809,850,3.6
2016,May,23695,22837,858,3.6
2016,Jun,23804,22782,1022,4.3
2016,Jul,23883,22847,1036,4.3
2016,Aug,23830,22835,995,4.2
2016,Sep,23908,22917,991,4.1
2016,Oct,23855,22929,926,3.9
2016,Nov,23945,23052,893,3.7
2016,Dec,23905,23010,895,3.7
2017,Jan,23947,22959,988,4.1
2017,Feb,24081,23124,957,4.0
2017,Mar,24179,23281,898,3.7
2017,Apr,24154,23359,795,3.3
2017,May,24106,23278,828,3.4
2017,Jun,24221,23325,896,3.7
2017,Jul,24293,23393,900,3.7
2017,Aug,24215,23328,887,3.7
2017,Sep,24368,23584,784,3.2
2017,Oct,24164,23452,712,2.9
2017,Nov,24249,23496,753,3.1
2017,Dec,24234,23501,733,3.0
2018,Jan,24223,23419,804,3.3
2018,Feb,24467,23683,784,3.2
2018,Mar,24528,23767,761,3.1
2018,Apr,24561,23874,687,2.8
2018,May,24535,23838,697,2.8
2018,Jun,24667,23815,852,3.5
2018,Jul,24665,23858,807,3.3
2018,Aug,24488,23715,773,3.2
2018,Sep,24583,23855,728,3.0
2018,Oct,24578,23878,700,2.8
2018,Nov,24634,23948,686,2.8
2018,Dec,24636,23922,714,2.9
2019,Jan,24570,23782,788,3.2
2019,Feb,24704,23974,730,3.0
2019,Mar,24740,24030,710,2.9
2019,Apr,24658,24063,595,2.4
2019,May,24648,24034,614,2.5
2019,Jun,24840,24078,762,3.1
2019,Jul,24940,24155,785,3.1
2019,Aug,24887,24154,733,2.9
2019,Sep,24979,24308,671,2.7
2019,Oct,25196,24513,683,2.7
2019,Nov,25183,24487,696,2.8
2019,Dec,25162,24509,653,2.6
2020,Jan,25200,24439,761,3.0
2020,Feb,25315,24554,761,3.0
2020,Mar,24770,23704,1066,4.3
2020,Apr,21994,20056,1938,8.8
