Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484950000000003,LAUCN484950000000004,LAUCN484950000000005,LAUCN484950000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Winkler County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2855,2538,317,11.1
2010,Feb,2816,2521,295,10.5
2010,Mar,2805,2531,274,9.8
2010,Apr,2860,2588,272,9.5
2010,May,2911,2634,277,9.5
2010,Jun,2914,2634,280,9.6
2010,Jul,2896,2635,261,9.0
2010,Aug,2900,2647,253,8.7
2010,Sep,2887,2641,246,8.5
2010,Oct,2970,2730,240,8.1
2010,Nov,2979,2732,247,8.3
2010,Dec,2976,2747,229,7.7
2011,Jan,3019,2764,255,8.4
2011,Feb,2982,2743,239,8.0
2011,Mar,2979,2754,225,7.6
2011,Apr,3015,2807,208,6.9
2011,May,3002,2786,216,7.2
2011,Jun,3073,2831,242,7.9
2011,Jul,3066,2836,230,7.5
2011,Aug,3094,2875,219,7.1
2011,Sep,3076,2866,210,6.8
2011,Oct,3105,2911,194,6.2
2011,Nov,3097,2914,183,5.9
2011,Dec,3101,2919,182,5.9
2012,Jan,3146,2960,186,5.9
2012,Feb,3162,2986,176,5.6
2012,Mar,3195,3018,177,5.5
2012,Apr,3169,2999,170,5.4
2012,May,3142,2967,175,5.6
2012,Jun,3167,2962,205,6.5
2012,Jul,3179,2973,206,6.5
2012,Aug,3186,3000,186,5.8
2012,Sep,3201,3031,170,5.3
2012,Oct,3251,3081,170,5.2
2012,Nov,3212,3044,168,5.2
2012,Dec,3213,3045,168,5.2
2013,Jan,3279,3086,193,5.9
2013,Feb,3244,3067,177,5.5
2013,Mar,3259,3093,166,5.1
2013,Apr,3250,3088,162,5.0
2013,May,3289,3115,174,5.3
2013,Jun,3286,3091,195,5.9
2013,Jul,3371,3177,194,5.8
2013,Aug,3419,3233,186,5.4
2013,Sep,3394,3219,175,5.2
2013,Oct,3351,3186,165,4.9
2013,Nov,3368,3215,153,4.5
2013,Dec,3356,3196,160,4.8
2014,Jan,3334,3162,172,5.2
2014,Feb,3286,3124,162,4.9
2014,Mar,3286,3129,157,4.8
2014,Apr,3253,3123,130,4.0
2014,May,3251,3111,140,4.3
2014,Jun,3334,3184,150,4.5
2014,Jul,3282,3122,160,4.9
2014,Aug,3287,3141,146,4.4
2014,Sep,3296,3151,145,4.4
2014,Oct,3313,3181,132,4.0
2014,Nov,3292,3166,126,3.8
2014,Dec,3263,3148,115,3.5
2015,Jan,3229,3090,139,4.3
2015,Feb,3128,2976,152,4.9
2015,Mar,3126,2964,162,5.2
2015,Apr,3123,2961,162,5.2
2015,May,3128,2946,182,5.8
2015,Jun,3126,2930,196,6.3
2015,Jul,3122,2921,201,6.4
2015,Aug,3088,2897,191,6.2
2015,Sep,3057,2878,179,5.9
2015,Oct,3044,2849,195,6.4
2015,Nov,3052,2866,186,6.1
2015,Dec,3018,2845,173,5.7
2016,Jan,3082,2892,190,6.2
2016,Feb,3093,2884,209,6.8
2016,Mar,3112,2884,228,7.3
2016,Apr,3076,2844,232,7.5
2016,May,3057,2812,245,8.0
2016,Jun,3085,2813,272,8.8
2016,Jul,3085,2811,274,8.9
2016,Aug,3037,2786,251,8.3
2016,Sep,3000,2744,256,8.5
2016,Oct,3061,2836,225,7.4
2016,Nov,3055,2832,223,7.3
2016,Dec,3073,2844,229,7.5
2017,Jan,3086,2857,229,7.4
2017,Feb,3148,2932,216,6.9
2017,Mar,3168,2968,200,6.3
2017,Apr,3154,2988,166,5.3
2017,May,3233,3055,178,5.5
2017,Jun,3220,3053,167,5.2
2017,Jul,3251,3092,159,4.9
2017,Aug,3246,3083,163,5.0
2017,Sep,3275,3132,143,4.4
2017,Oct,3349,3223,126,3.8
2017,Nov,3471,3340,131,3.8
2017,Dec,3501,3375,126,3.6
2018,Jan,3705,3577,128,3.5
2018,Feb,3848,3726,122,3.2
2018,Mar,3882,3760,122,3.1
2018,Apr,3875,3766,109,2.8
2018,May,3942,3836,106,2.7
2018,Jun,3958,3835,123,3.1
2018,Jul,4120,4004,116,2.8
2018,Aug,4061,3950,111,2.7
2018,Sep,4080,3973,107,2.6
2018,Oct,4249,4149,100,2.4
2018,Nov,4303,4194,109,2.5
2018,Dec,4278,4168,110,2.6
2019,Jan,4084,3967,117,2.9
2019,Feb,4103,3992,111,2.7
2019,Mar,4105,3997,108,2.6
2019,Apr,3918,3830,88,2.2
2019,May,3930,3831,99,2.5
2019,Jun,3977,3859,118,3.0
2019,Jul,4034,3912,122,3.0
2019,Aug,3992,3872,120,3.0
2019,Sep,4041,3922,119,2.9
2019,Oct,4036,3931,105,2.6
2019,Nov,4051,3930,121,3.0
2019,Dec,4041,3915,126,3.1
2020,Jan,4054,3905,149,3.7
2020,Feb,4044,3911,133,3.3
2020,Mar,3986,3795,191,4.8
2020,Apr,3491,3083,408,11.7
