Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484970000000003,LAUCN484970000000004,LAUCN484970000000005,LAUCN484970000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Wise County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,27305,24685,2620,9.6
2010,Feb,27341,24788,2553,9.3
2010,Mar,27465,25009,2456,8.9
2010,Apr,27745,25371,2374,8.6
2010,May,27637,25277,2360,8.5
2010,Jun,27869,25323,2546,9.1
2010,Jul,27866,25346,2520,9.0
2010,Aug,27780,25348,2432,8.8
2010,Sep,27751,25459,2292,8.3
2010,Oct,27731,25519,2212,8.0
2010,Nov,27772,25497,2275,8.2
2010,Dec,27746,25600,2146,7.7
2011,Jan,27701,25409,2292,8.3
2011,Feb,27724,25495,2229,8.0
2011,Mar,27903,25720,2183,7.8
2011,Apr,27974,25898,2076,7.4
2011,May,28057,25944,2113,7.5
2011,Jun,28378,26009,2369,8.3
2011,Jul,28385,26067,2318,8.2
2011,Aug,28366,26176,2190,7.7
2011,Sep,28392,26277,2115,7.4
2011,Oct,28273,26295,1978,7.0
2011,Nov,28335,26452,1883,6.6
2011,Dec,28330,26517,1813,6.4
2012,Jan,27856,25945,1911,6.9
2012,Feb,27957,26053,1904,6.8
2012,Mar,28124,26204,1920,6.8
2012,Apr,28032,26328,1704,6.1
2012,May,28189,26400,1789,6.3
2012,Jun,28543,26489,2054,7.2
2012,Jul,28483,26433,2050,7.2
2012,Aug,28316,26394,1922,6.8
2012,Sep,28361,26662,1699,6.0
2012,Oct,28391,26732,1659,5.8
2012,Nov,28375,26763,1612,5.7
2012,Dec,28427,26779,1648,5.8
2013,Jan,28083,26206,1877,6.7
2013,Feb,28106,26345,1761,6.3
2013,Mar,28151,26383,1768,6.3
2013,Apr,28268,26674,1594,5.6
2013,May,28487,26818,1669,5.9
2013,Jun,28731,26810,1921,6.7
2013,Jul,28715,26839,1876,6.5
2013,Aug,28516,26773,1743,6.1
2013,Sep,28610,26942,1668,5.8
2013,Oct,28346,26742,1604,5.7
2013,Nov,28441,26924,1517,5.3
2013,Dec,28457,27025,1432,5.0
2014,Jan,28168,26637,1531,5.4
2014,Feb,28388,26859,1529,5.4
2014,Mar,28597,27014,1583,5.5
2014,Apr,28435,27165,1270,4.5
2014,May,28577,27222,1355,4.7
2014,Jun,28748,27241,1507,5.2
2014,Jul,28757,27159,1598,5.6
2014,Aug,28561,27076,1485,5.2
2014,Sep,28530,27225,1305,4.6
2014,Oct,28556,27342,1214,4.3
2014,Nov,28541,27342,1199,4.2
2014,Dec,28427,27332,1095,3.9
2015,Jan,28324,27080,1244,4.4
2015,Feb,28401,27190,1211,4.3
2015,Mar,28536,27223,1313,4.6
2015,Apr,28578,27399,1179,4.1
2015,May,28789,27514,1275,4.4
2015,Jun,28853,27391,1462,5.1
2015,Jul,28819,27323,1496,5.2
2015,Aug,28672,27275,1397,4.9
2015,Sep,28648,27320,1328,4.6
2015,Oct,28767,27414,1353,4.7
2015,Nov,28843,27475,1368,4.7
2015,Dec,28901,27598,1303,4.5
2016,Jan,28838,27493,1345,4.7
2016,Feb,29181,27832,1349,4.6
2016,Mar,29331,27955,1376,4.7
2016,Apr,29355,28069,1286,4.4
2016,May,29429,28140,1289,4.4
2016,Jun,29613,28030,1583,5.3
2016,Jul,29592,28010,1582,5.3
2016,Aug,29510,28028,1482,5.0
2016,Sep,29555,28111,1444,4.9
2016,Oct,29450,28099,1351,4.6
2016,Nov,29569,28272,1297,4.4
2016,Dec,29524,28255,1269,4.3
2017,Jan,29708,28356,1352,4.6
2017,Feb,29918,28570,1348,4.5
2017,Mar,30175,28803,1372,4.5
2017,Apr,30044,28911,1133,3.8
2017,May,30013,28859,1154,3.8
2017,Jun,30238,28899,1339,4.4
2017,Jul,30316,28953,1363,4.5
2017,Aug,30276,28981,1295,4.3
2017,Sep,30342,29260,1082,3.6
2017,Oct,30250,29252,998,3.3
2017,Nov,30418,29372,1046,3.4
2017,Dec,30378,29364,1014,3.3
2018,Jan,30783,29660,1123,3.6
2018,Feb,31092,29991,1101,3.5
2018,Mar,31277,30089,1188,3.8
2018,Apr,31116,30139,977,3.1
2018,May,31166,30225,941,3.0
2018,Jun,31354,30154,1200,3.8
2018,Jul,31400,30198,1202,3.8
2018,Aug,31209,30078,1131,3.6
2018,Sep,31305,30298,1007,3.2
2018,Oct,31386,30400,986,3.1
2018,Nov,31462,30488,974,3.1
2018,Dec,31472,30482,990,3.1
2019,Jan,31476,30340,1136,3.6
2019,Feb,31639,30609,1030,3.3
2019,Mar,31793,30692,1101,3.5
2019,Apr,31488,30651,837,2.7
2019,May,31575,30706,869,2.8
2019,Jun,31860,30698,1162,3.6
2019,Jul,32032,30822,1210,3.8
2019,Aug,31964,30880,1084,3.4
2019,Sep,32075,31101,974,3.0
2019,Oct,32150,31186,964,3.0
2019,Nov,32358,31363,995,3.1
2019,Dec,32283,31322,961,3.0
2020,Jan,32280,31165,1115,3.5
2020,Feb,32532,31416,1116,3.4
2020,Mar,31965,30218,1747,5.5
2020,Apr,28790,25473,3317,11.5
