Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN484990000000003,LAUCN484990000000004,LAUCN484990000000005,LAUCN484990000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Wood County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,16835,15140,1695,10.1
2010,Feb,16758,15171,1587,9.5
2010,Mar,16905,15330,1575,9.3
2010,Apr,17214,15685,1529,8.9
2010,May,17003,15513,1490,8.8
2010,Jun,17164,15560,1604,9.3
2010,Jul,17080,15483,1597,9.4
2010,Aug,17013,15488,1525,9.0
2010,Sep,17052,15578,1474,8.6
2010,Oct,16826,15372,1454,8.6
2010,Nov,16925,15435,1490,8.8
2010,Dec,16852,15434,1418,8.4
2011,Jan,16952,15430,1522,9.0
2011,Feb,16915,15466,1449,8.6
2011,Mar,17017,15597,1420,8.3
2011,Apr,16960,15591,1369,8.1
2011,May,16971,15566,1405,8.3
2011,Jun,17121,15531,1590,9.3
2011,Jul,16937,15377,1560,9.2
2011,Aug,16969,15424,1545,9.1
2011,Sep,17024,15484,1540,9.0
2011,Oct,16972,15516,1456,8.6
2011,Nov,16945,15551,1394,8.2
2011,Dec,16887,15538,1349,8.0
2012,Jan,16678,15268,1410,8.5
2012,Feb,16661,15288,1373,8.2
2012,Mar,16702,15378,1324,7.9
2012,Apr,16696,15482,1214,7.3
2012,May,16741,15451,1290,7.7
2012,Jun,16954,15538,1416,8.4
2012,Jul,16822,15396,1426,8.5
2012,Aug,16640,15288,1352,8.1
2012,Sep,16825,15552,1273,7.6
2012,Oct,16756,15493,1263,7.5
2012,Nov,16656,15437,1219,7.3
2012,Dec,16687,15471,1216,7.3
2013,Jan,16677,15289,1388,8.3
2013,Feb,16646,15358,1288,7.7
2013,Mar,16659,15434,1225,7.4
2013,Apr,16813,15647,1166,6.9
2013,May,16922,15709,1213,7.2
2013,Jun,17014,15709,1305,7.7
2013,Jul,16810,15523,1287,7.7
2013,Aug,16660,15439,1221,7.3
2013,Sep,16761,15553,1208,7.2
2013,Oct,16613,15445,1168,7.0
2013,Nov,16572,15466,1106,6.7
2013,Dec,16552,15512,1040,6.3
2014,Jan,16519,15424,1095,6.6
2014,Feb,16656,15555,1101,6.6
2014,Mar,16791,15709,1082,6.4
2014,Apr,16773,15877,896,5.3
2014,May,16910,15917,993,5.9
2014,Jun,16959,15922,1037,6.1
2014,Jul,16904,15807,1097,6.5
2014,Aug,16735,15672,1063,6.4
2014,Sep,16736,15750,986,5.9
2014,Oct,16952,16021,931,5.5
2014,Nov,16841,15939,902,5.4
2014,Dec,16670,15849,821,4.9
2015,Jan,16578,15660,918,5.5
2015,Feb,16583,15718,865,5.2
2015,Mar,16574,15724,850,5.1
2015,Apr,16694,15891,803,4.8
2015,May,16933,16043,890,5.3
2015,Jun,16909,15962,947,5.6
2015,Jul,16872,15888,984,5.8
2015,Aug,16743,15837,906,5.4
2015,Sep,16863,15972,891,5.3
2015,Oct,16789,15911,878,5.2
2015,Nov,16811,15937,874,5.2
2015,Dec,16813,15963,850,5.1
2016,Jan,16851,15985,866,5.1
2016,Feb,17137,16278,859,5.0
2016,Mar,17330,16466,864,5.0
2016,Apr,17327,16504,823,4.7
2016,May,17351,16513,838,4.8
2016,Jun,17415,16451,964,5.5
2016,Jul,17252,16265,987,5.7
2016,Aug,17226,16246,980,5.7
2016,Sep,17312,16310,1002,5.8
2016,Oct,17225,16308,917,5.3
2016,Nov,17190,16318,872,5.1
2016,Dec,17184,16288,896,5.2
2017,Jan,17166,16194,972,5.7
2017,Feb,17447,16496,951,5.5
2017,Mar,17456,16601,855,4.9
2017,Apr,17484,16711,773,4.4
2017,May,17446,16661,785,4.5
2017,Jun,17399,16567,832,4.8
2017,Jul,17256,16410,846,4.9
2017,Aug,17228,16403,825,4.8
2017,Sep,17308,16551,757,4.4
2017,Oct,17350,16632,718,4.1
2017,Nov,17279,16535,744,4.3
2017,Dec,17298,16589,709,4.1
2018,Jan,17222,16446,776,4.5
2018,Feb,17442,16655,787,4.5
2018,Mar,17492,16727,765,4.4
2018,Apr,17423,16742,681,3.9
2018,May,17432,16770,662,3.8
2018,Jun,17440,16641,799,4.6
2018,Jul,17270,16519,751,4.3
2018,Aug,17132,16386,746,4.4
2018,Sep,17295,16574,721,4.2
2018,Oct,17345,16634,711,4.1
2018,Nov,17400,16686,714,4.1
2018,Dec,17385,16675,710,4.1
2019,Jan,17479,16684,795,4.5
2019,Feb,17604,16870,734,4.2
2019,Mar,17568,16881,687,3.9
2019,Apr,17504,16915,589,3.4
2019,May,17632,17039,593,3.4
2019,Jun,17727,17034,693,3.9
2019,Jul,17715,16985,730,4.1
2019,Aug,17807,17090,717,4.0
2019,Sep,17866,17187,679,3.8
2019,Oct,17828,17162,666,3.7
2019,Nov,17796,17119,677,3.8
2019,Dec,17788,17126,662,3.7
2020,Jan,17810,17052,758,4.3
2020,Feb,17945,17209,736,4.1
2020,Mar,17817,16777,1040,5.8
2020,Apr,15823,14161,1662,10.5
