Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN485010000000003,LAUCN485010000000004,LAUCN485010000000005,LAUCN485010000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Yoakum County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3568,3279,289,8.1
2010,Feb,3566,3301,265,7.4
2010,Mar,3606,3338,268,7.4
2010,Apr,3693,3428,265,7.2
2010,May,3675,3398,277,7.5
2010,Jun,3757,3472,285,7.6
2010,Jul,3719,3446,273,7.3
2010,Aug,3690,3433,257,7.0
2010,Sep,3781,3535,246,6.5
2010,Oct,3724,3497,227,6.1
2010,Nov,3737,3511,226,6.0
2010,Dec,3764,3554,210,5.6
2011,Jan,3844,3610,234,6.1
2011,Feb,3897,3670,227,5.8
2011,Mar,3976,3748,228,5.7
2011,Apr,4038,3827,211,5.2
2011,May,4080,3868,212,5.2
2011,Jun,4216,3975,241,5.7
2011,Jul,4164,3926,238,5.7
2011,Aug,4237,4010,227,5.4
2011,Sep,4381,4160,221,5.0
2011,Oct,4303,4104,199,4.6
2011,Nov,4385,4197,188,4.3
2011,Dec,4465,4286,179,4.0
2012,Jan,4393,4205,188,4.3
2012,Feb,4326,4144,182,4.2
2012,Mar,4367,4192,175,4.0
2012,Apr,4349,4183,166,3.8
2012,May,4334,4161,173,4.0
2012,Jun,4446,4254,192,4.3
2012,Jul,4310,4117,193,4.5
2012,Aug,4240,4061,179,4.2
2012,Sep,4337,4171,166,3.8
2012,Oct,4324,4160,164,3.8
2012,Nov,4308,4149,159,3.7
2012,Dec,4293,4141,152,3.5
2013,Jan,4189,4010,179,4.3
2013,Feb,4208,4042,166,3.9
2013,Mar,4177,4016,161,3.9
2013,Apr,4165,4014,151,3.6
2013,May,4202,4036,166,4.0
2013,Jun,4257,4073,184,4.3
2013,Jul,4262,4081,181,4.2
2013,Aug,4119,3955,164,4.0
2013,Sep,4220,4058,162,3.8
2013,Oct,4265,4112,153,3.6
2013,Nov,4226,4081,145,3.4
2013,Dec,4269,4130,139,3.3
2014,Jan,4238,4093,145,3.4
2014,Feb,4331,4186,145,3.3
2014,Mar,4307,4166,141,3.3
2014,Apr,4308,4194,114,2.6
2014,May,4330,4202,128,3.0
2014,Jun,4355,4216,139,3.2
2014,Jul,4311,4165,146,3.4
2014,Aug,4258,4126,132,3.1
2014,Sep,4337,4212,125,2.9
2014,Oct,4298,4178,120,2.8
2014,Nov,4259,4143,116,2.7
2014,Dec,4252,4149,103,2.4
2015,Jan,4176,4040,136,3.3
2015,Feb,4167,4031,136,3.3
2015,Mar,4184,4039,145,3.5
2015,Apr,4145,4003,142,3.4
2015,May,4129,3967,162,3.9
2015,Jun,4151,3981,170,4.1
2015,Jul,3989,3821,168,4.2
2015,Aug,3957,3802,155,3.9
2015,Sep,3995,3841,154,3.9
2015,Oct,3944,3792,152,3.9
2015,Nov,3877,3726,151,3.9
2015,Dec,3845,3694,151,3.9
2016,Jan,3689,3524,165,4.5
2016,Feb,3788,3618,170,4.5
2016,Mar,3834,3640,194,5.1
2016,Apr,3872,3683,189,4.9
2016,May,3879,3697,182,4.7
2016,Jun,3864,3662,202,5.2
2016,Jul,3701,3503,198,5.3
2016,Aug,3696,3511,185,5.0
2016,Sep,3692,3524,168,4.6
2016,Oct,3701,3529,172,4.6
2016,Nov,3684,3521,163,4.4
2016,Dec,3696,3537,159,4.3
2017,Jan,3843,3674,169,4.4
2017,Feb,3890,3727,163,4.2
2017,Mar,3959,3805,154,3.9
2017,Apr,3894,3754,140,3.6
2017,May,3882,3745,137,3.5
2017,Jun,3907,3766,141,3.6
2017,Jul,3758,3626,132,3.5
2017,Aug,3779,3645,134,3.5
2017,Sep,3770,3652,118,3.1
2017,Oct,3762,3657,105,2.8
2017,Nov,3719,3605,114,3.1
2017,Dec,3703,3596,107,2.9
2018,Jan,3689,3572,117,3.2
2018,Feb,3726,3614,112,3.0
2018,Mar,3814,3706,108,2.8
2018,Apr,3707,3609,98,2.6
2018,May,3732,3639,93,2.5
2018,Jun,3791,3673,118,3.1
2018,Jul,3725,3615,110,3.0
2018,Aug,3715,3601,114,3.1
2018,Sep,3738,3635,103,2.8
2018,Oct,3660,3562,98,2.7
2018,Nov,3648,3550,98,2.7
2018,Dec,3615,3518,97,2.7
2019,Jan,3733,3620,113,3.0
2019,Feb,3774,3661,113,3.0
2019,Mar,3828,3722,106,2.8
2019,Apr,3756,3670,86,2.3
2019,May,3811,3717,94,2.5
2019,Jun,3868,3746,122,3.2
2019,Jul,3745,3629,116,3.1
2019,Aug,3766,3652,114,3.0
2019,Sep,3725,3613,112,3.0
2019,Oct,3699,3585,114,3.1
2019,Nov,3640,3529,111,3.0
2019,Dec,3653,3544,109,3.0
2020,Jan,3759,3626,133,3.5
2020,Feb,3784,3651,133,3.5
2020,Mar,3765,3580,185,4.9
2020,Apr,3614,3012,602,16.7
