Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN485030000000003,LAUCN485030000000004,LAUCN485030000000005,LAUCN485030000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Young County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,8536,7849,687,8.0
2010,Feb,8557,7866,691,8.1
2010,Mar,8669,7989,680,7.8
2010,Apr,8719,8084,635,7.3
2010,May,8649,8026,623,7.2
2010,Jun,8764,8106,658,7.5
2010,Jul,8710,8049,661,7.6
2010,Aug,8627,7955,672,7.8
2010,Sep,8656,7989,667,7.7
2010,Oct,8617,7955,662,7.7
2010,Nov,8631,7954,677,7.8
2010,Dec,8614,7965,649,7.5
2011,Jan,8585,7907,678,7.9
2011,Feb,8500,7850,650,7.6
2011,Mar,8582,7940,642,7.5
2011,Apr,8575,7962,613,7.1
2011,May,8537,7928,609,7.1
2011,Jun,8683,7994,689,7.9
2011,Jul,8633,7963,670,7.8
2011,Aug,8598,7974,624,7.3
2011,Sep,8604,8008,596,6.9
2011,Oct,8617,8057,560,6.5
2011,Nov,8604,8077,527,6.1
2011,Dec,8592,8073,519,6.0
2012,Jan,8447,7917,530,6.3
2012,Feb,8394,7885,509,6.1
2012,Mar,8484,7994,490,5.8
2012,Apr,8511,8051,460,5.4
2012,May,8582,8094,488,5.7
2012,Jun,8731,8175,556,6.4
2012,Jul,8711,8153,558,6.4
2012,Aug,8579,8079,500,5.8
2012,Sep,8624,8159,465,5.4
2012,Oct,8610,8161,449,5.2
2012,Nov,8574,8148,426,5.0
2012,Dec,8592,8157,435,5.1
2013,Jan,8613,8113,500,5.8
2013,Feb,8562,8099,463,5.4
2013,Mar,8541,8103,438,5.1
2013,Apr,8573,8162,411,4.8
2013,May,8668,8230,438,5.1
2013,Jun,8702,8209,493,5.7
2013,Jul,8644,8165,479,5.5
2013,Aug,8549,8103,446,5.2
2013,Sep,8563,8129,434,5.1
2013,Oct,8516,8096,420,4.9
2013,Nov,8480,8077,403,4.8
2013,Dec,8479,8097,382,4.5
2014,Jan,8531,8142,389,4.6
2014,Feb,8569,8175,394,4.6
2014,Mar,8617,8243,374,4.3
2014,Apr,8635,8310,325,3.8
2014,May,8710,8355,355,4.1
2014,Jun,8784,8414,370,4.2
2014,Jul,8800,8407,393,4.5
2014,Aug,8687,8326,361,4.2
2014,Sep,8718,8373,345,4.0
2014,Oct,8802,8471,331,3.8
2014,Nov,8704,8384,320,3.7
2014,Dec,8611,8326,285,3.3
2015,Jan,8471,8128,343,4.0
2015,Feb,8479,8131,348,4.1
2015,Mar,8528,8156,372,4.4
2015,Apr,8528,8201,327,3.8
2015,May,8536,8159,377,4.4
2015,Jun,8542,8161,381,4.5
2015,Jul,8546,8149,397,4.6
2015,Aug,8381,8024,357,4.3
2015,Sep,8320,7952,368,4.4
2015,Oct,8370,8001,369,4.4
2015,Nov,8604,8249,355,4.1
2015,Dec,8337,8006,331,4.0
2016,Jan,8228,7891,337,4.1
2016,Feb,8296,7959,337,4.1
2016,Mar,8388,8024,364,4.3
2016,Apr,8379,8038,341,4.1
2016,May,8459,8112,347,4.1
2016,Jun,8451,8070,381,4.5
2016,Jul,8380,7988,392,4.7
2016,Aug,8336,7948,388,4.7
2016,Sep,8268,7871,397,4.8
2016,Oct,8176,7815,361,4.4
2016,Nov,8159,7805,354,4.3
2016,Dec,8134,7776,358,4.4
2017,Jan,7928,7555,373,4.7
2017,Feb,7995,7619,376,4.7
2017,Mar,8012,7686,326,4.1
2017,Apr,8111,7823,288,3.6
2017,May,8106,7812,294,3.6
2017,Jun,8218,7902,316,3.8
2017,Jul,8090,7777,313,3.9
2017,Aug,8085,7777,308,3.8
2017,Sep,8111,7832,279,3.4
2017,Oct,8137,7884,253,3.1
2017,Nov,8068,7804,264,3.3
2017,Dec,8049,7791,258,3.2
2018,Jan,8007,7712,295,3.7
2018,Feb,8104,7809,295,3.6
2018,Mar,8180,7890,290,3.5
2018,Apr,8142,7894,248,3.0
2018,May,8189,7941,248,3.0
2018,Jun,8229,7954,275,3.3
2018,Jul,8218,7956,262,3.2
2018,Aug,8177,7914,263,3.2
2018,Sep,8202,7956,246,3.0
2018,Oct,8199,7963,236,2.9
2018,Nov,8184,7943,241,2.9
2018,Dec,8161,7919,242,3.0
2019,Jan,7971,7695,276,3.5
2019,Feb,7982,7737,245,3.1
2019,Mar,7997,7759,238,3.0
2019,Apr,8034,7837,197,2.5
2019,May,8005,7796,209,2.6
2019,Jun,8074,7824,250,3.1
2019,Jul,8080,7813,267,3.3
2019,Aug,8061,7805,256,3.2
2019,Sep,8083,7848,235,2.9
2019,Oct,8105,7878,227,2.8
2019,Nov,8050,7816,234,2.9
2019,Dec,8037,7814,223,2.8
2020,Jan,7916,7664,252,3.2
2020,Feb,7947,7708,239,3.0
2020,Mar,7874,7520,354,4.5
2020,Apr,6962,6378,584,8.4
