Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN485050000000003,LAUCN485050000000004,LAUCN485050000000005,LAUCN485050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Zapata County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5653,4985,668,11.8
2010,Feb,5672,5026,646,11.4
2010,Mar,5676,5050,626,11.0
2010,Apr,5679,5087,592,10.4
2010,May,5651,5076,575,10.2
2010,Jun,5740,5109,631,11.0
2010,Jul,5681,5071,610,10.7
2010,Aug,5691,5100,591,10.4
2010,Sep,5784,5224,560,9.7
2010,Oct,5886,5341,545,9.3
2010,Nov,5983,5404,579,9.7
2010,Dec,6036,5476,560,9.3
2011,Jan,6248,5681,567,9.1
2011,Feb,6298,5734,564,9.0
2011,Mar,6270,5729,541,8.6
2011,Apr,6310,5812,498,7.9
2011,May,6320,5825,495,7.8
2011,Jun,6492,5897,595,9.2
2011,Jul,6545,5958,587,9.0
2011,Aug,6570,6020,550,8.4
2011,Sep,6593,6087,506,7.7
2011,Oct,6619,6142,477,7.2
2011,Nov,6657,6201,456,6.8
2011,Dec,6677,6236,441,6.6
2012,Jan,6688,6229,459,6.9
2012,Feb,6703,6252,451,6.7
2012,Mar,6670,6242,428,6.4
2012,Apr,6624,6221,403,6.1
2012,May,6651,6241,410,6.2
2012,Jun,6798,6294,504,7.4
2012,Jul,6758,6263,495,7.3
2012,Aug,6796,6367,429,6.3
2012,Sep,6927,6533,394,5.7
2012,Oct,7001,6604,397,5.7
2012,Nov,7091,6686,405,5.7
2012,Dec,7119,6712,407,5.7
2013,Jan,7235,6752,483,6.7
2013,Feb,7157,6709,448,6.3
2013,Mar,7089,6670,419,5.9
2013,Apr,7109,6704,405,5.7
2013,May,7098,6652,446,6.3
2013,Jun,7142,6638,504,7.1
2013,Jul,7102,6613,489,6.9
2013,Aug,7055,6612,443,6.3
2013,Sep,7003,6586,417,6.0
2013,Oct,6923,6518,405,5.9
2013,Nov,6977,6564,413,5.9
2013,Dec,6877,6469,408,5.9
2014,Jan,6987,6565,422,6.0
2014,Feb,7027,6613,414,5.9
2014,Mar,7008,6620,388,5.5
2014,Apr,6982,6644,338,4.8
2014,May,6967,6619,348,5.0
2014,Jun,7021,6616,405,5.8
2014,Jul,7028,6616,412,5.9
2014,Aug,6862,6510,352,5.1
2014,Sep,6892,6557,335,4.9
2014,Oct,6884,6574,310,4.5
2014,Nov,6877,6569,308,4.5
2014,Dec,6827,6534,293,4.3
2015,Jan,6782,6444,338,5.0
2015,Feb,6743,6359,384,5.7
2015,Mar,6719,6286,433,6.4
2015,Apr,6608,6183,425,6.4
2015,May,6446,5972,474,7.4
2015,Jun,6376,5839,537,8.4
2015,Jul,5935,5384,551,9.3
2015,Aug,5872,5354,518,8.8
2015,Sep,5809,5307,502,8.6
2015,Oct,5723,5216,507,8.9
2015,Nov,5666,5155,511,9.0
2015,Dec,5616,5130,486,8.7
2016,Jan,5509,4982,527,9.6
2016,Feb,5463,4922,541,9.9
2016,Mar,5429,4855,574,10.6
2016,Apr,5233,4646,587,11.2
2016,May,5234,4674,560,10.7
2016,Jun,5269,4625,644,12.2
2016,Jul,5059,4424,635,12.6
2016,Aug,4999,4391,608,12.2
2016,Sep,4903,4362,541,11.0
2016,Oct,5137,4629,508,9.9
2016,Nov,5123,4630,493,9.6
2016,Dec,5091,4601,490,9.6
2017,Jan,5355,4841,514,9.6
2017,Feb,5352,4848,504,9.4
2017,Mar,5369,4893,476,8.9
2017,Apr,5493,5071,422,7.7
2017,May,5424,5049,375,6.9
2017,Jun,5475,5056,419,7.7
2017,Jul,5429,5028,401,7.4
2017,Aug,5404,5024,380,7.0
2017,Sep,5367,5033,334,6.2
2017,Oct,5253,4946,307,5.8
2017,Nov,5357,5019,338,6.3
2017,Dec,5391,5052,339,6.3
2018,Jan,5352,4977,375,7.0
2018,Feb,5402,5053,349,6.5
2018,Mar,5414,5081,333,6.2
2018,Apr,5402,5112,290,5.4
2018,May,5390,5120,270,5.0
2018,Jun,5400,5067,333,6.2
2018,Jul,5379,5076,303,5.6
2018,Aug,5298,5023,275,5.2
2018,Sep,5397,5137,260,4.8
2018,Oct,5260,5004,256,4.9
2018,Nov,5287,5039,248,4.7
2018,Dec,5320,5068,252,4.7
2019,Jan,5368,5069,299,5.6
2019,Feb,5309,5033,276,5.2
2019,Mar,5275,5023,252,4.8
2019,Apr,5265,5046,219,4.2
2019,May,5174,4950,224,4.3
2019,Jun,5111,4846,265,5.2
2019,Jul,4855,4560,295,6.1
2019,Aug,4812,4569,243,5.0
2019,Sep,4844,4612,232,4.8
2019,Oct,4789,4545,244,5.1
2019,Nov,4856,4590,266,5.5
2019,Dec,4885,4601,284,5.8
2020,Jan,4906,4585,321,6.5
2020,Feb,4906,4601,305,6.2
2020,Mar,4874,4455,419,8.6
2020,Apr,4236,3663,573,13.5
