Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN485070000000003,LAUCN485070000000004,LAUCN485070000000005,LAUCN485070000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Zavala County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4543,3879,664,14.6
2010,Feb,4601,3937,664,14.4
2010,Mar,4581,3951,630,13.8
2010,Apr,4583,3993,590,12.9
2010,May,4564,3963,601,13.2
2010,Jun,4577,3920,657,14.4
2010,Jul,4469,3751,718,16.1
2010,Aug,4422,3714,708,16.0
2010,Sep,4441,3827,614,13.8
2010,Oct,4595,4022,573,12.5
2010,Nov,4639,4062,577,12.4
2010,Dec,4664,4070,594,12.7
2011,Jan,4681,4031,650,13.9
2011,Feb,4623,3942,681,14.7
2011,Mar,4669,4058,611,13.1
2011,Apr,4598,4006,592,12.9
2011,May,4560,3958,602,13.2
2011,Jun,4653,3951,702,15.1
2011,Jul,4558,3786,772,16.9
2011,Aug,4548,3820,728,16.0
2011,Sep,4473,3806,667,14.9
2011,Oct,4578,4009,569,12.4
2011,Nov,4509,3937,572,12.7
2011,Dec,4623,4023,600,13.0
2012,Jan,4676,4016,660,14.1
2012,Feb,4628,3987,641,13.9
2012,Mar,4558,3945,613,13.4
2012,Apr,4509,3976,533,11.8
2012,May,4549,3986,563,12.4
2012,Jun,4499,3876,623,13.8
2012,Jul,4341,3703,638,14.7
2012,Aug,4276,3653,623,14.6
2012,Sep,4250,3670,580,13.6
2012,Oct,4208,3655,553,13.1
2012,Nov,4087,3561,526,12.9
2012,Dec,4101,3537,564,13.8
2013,Jan,4168,3529,639,15.3
2013,Feb,4099,3498,601,14.7
2013,Mar,4019,3453,566,14.1
2013,Apr,3999,3459,540,13.5
2013,May,3965,3390,575,14.5
2013,Jun,4151,3531,620,14.9
2013,Jul,4060,3418,642,15.8
2013,Aug,3990,3359,631,15.8
2013,Sep,3875,3305,570,14.7
2013,Oct,3950,3424,526,13.3
2013,Nov,3839,3301,538,14.0
2013,Dec,4020,3493,527,13.1
2014,Jan,3897,3327,570,14.6
2014,Feb,4052,3505,547,13.5
2014,Mar,4033,3502,531,13.2
2014,Apr,4032,3582,450,11.2
2014,May,4158,3696,462,11.1
2014,Jun,3865,3366,499,12.9
2014,Jul,3829,3302,527,13.8
2014,Aug,3807,3256,551,14.5
2014,Sep,3726,3268,458,12.3
2014,Oct,3799,3422,377,9.9
2014,Nov,3840,3470,370,9.6
2014,Dec,3788,3445,343,9.1
2015,Jan,3687,3276,411,11.1
2015,Feb,3879,3486,393,10.1
2015,Mar,3876,3482,394,10.2
2015,Apr,3890,3524,366,9.4
2015,May,3962,3584,378,9.5
2015,Jun,3727,3278,449,12.0
2015,Jul,3742,3261,481,12.9
2015,Aug,3723,3248,475,12.8
2015,Sep,3859,3452,407,10.5
2015,Oct,3766,3351,415,11.0
2015,Nov,3758,3299,459,12.2
2015,Dec,3809,3342,467,12.3
2016,Jan,3885,3414,471,12.1
2016,Feb,4003,3521,482,12.0
2016,Mar,4060,3540,520,12.8
2016,Apr,3978,3462,516,13.0
2016,May,3969,3478,491,12.4
2016,Jun,3812,3198,614,16.1
2016,Jul,3810,3171,639,16.8
2016,Aug,3823,3192,631,16.5
2016,Sep,3767,3165,602,16.0
2016,Oct,3759,3223,536,14.3
2016,Nov,3805,3328,477,12.5
2016,Dec,3924,3445,479,12.2
2017,Jan,3940,3431,509,12.9
2017,Feb,3924,3452,472,12.0
2017,Mar,3975,3540,435,10.9
2017,Apr,3866,3471,395,10.2
2017,May,3842,3468,374,9.7
2017,Jun,3742,3287,455,12.2
2017,Jul,3641,3184,457,12.6
2017,Aug,3638,3186,452,12.4
2017,Sep,3489,3103,386,11.1
2017,Oct,3544,3182,362,10.2
2017,Nov,3484,3128,356,10.2
2017,Dec,3690,3343,347,9.4
2018,Jan,3737,3365,372,10.0
2018,Feb,3723,3351,372,10.0
2018,Mar,3753,3403,350,9.3
2018,Apr,3673,3351,322,8.8
2018,May,3568,3251,317,8.9
2018,Jun,3621,3208,413,11.4
2018,Jul,3509,3127,382,10.9
2018,Aug,3485,3142,343,9.8
2018,Sep,3414,3095,319,9.3
2018,Oct,3404,3106,298,8.8
2018,Nov,3411,3136,275,8.1
2018,Dec,3403,3088,315,9.3
2019,Jan,3403,3058,345,10.1
2019,Feb,3353,3059,294,8.8
2019,Mar,3369,3093,276,8.2
2019,Apr,3267,3034,233,7.1
2019,May,3285,3042,243,7.4
2019,Jun,3298,3000,298,9.0
2019,Jul,3318,2995,323,9.7
2019,Aug,3347,3041,306,9.1
2019,Sep,3292,3023,269,8.2
2019,Oct,3352,3078,274,8.2
2019,Nov,3323,3053,270,8.1
2019,Dec,3398,3125,273,8.0
2020,Jan,3412,3099,313,9.2
2020,Feb,3429,3119,310,9.0
2020,Mar,3478,3055,423,12.2
2020,Apr,2940,2422,518,17.6
