"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US48017950100","Census Tract 9501, Bailey County, Texas","7092","*****"
"1400000US48023950300","Census Tract 9503, Baylor County, Texas","3591","*****"
"1400000US48079950100","Census Tract 9501, Cochran County, Texas","2904","*****"
"1400000US48087950300","Census Tract 9503, Collingsworth County, Texas","2996","*****"
"1400000US48095950300","Census Tract 9503, Concho County, Texas","4233","*****"
"1400000US48103950100","Census Tract 9501, Crane County, Texas","4839","*****"
"1400000US48109950300","Census Tract 9503, Culberson County, Texas","2241","*****"
"1400000US48125950300","Census Tract 9503, Dickens County, Texas","2216","*****"
"1400000US48191950500","Census Tract 9505, Hall County, Texas","3074","*****"
"1400000US48197950100","Census Tract 9501, Hardeman County, Texas","3952","*****"
"1400000US48205950200","Census Tract 9502, Hartley County, Texas","5767","*****"
"1400000US48211950300","Census Tract 9503, Hemphill County, Texas","4061","*****"
"1400000US48229950300","Census Tract 9503, Hudspeth County, Texas","4098","*****"
"1400000US48243950100","Census Tract 9501, Jeff Davis County, Texas","2234","*****"
"1400000US48271950100","Census Tract 9501, Kinney County, Texas","3675","*****"
"1400000US48327950300","Census Tract 9503, Menard County, Texas","2123","*****"
"1400000US48359950100","Census Tract 9501, Oldham County, Texas","2090","*****"
"1400000US48383950100","Census Tract 9501, Reagan County, Texas","3752","*****"
"1400000US48385950100","Census Tract 9501, Real County, Texas","3389","*****"
"1400000US48413950300","Census Tract 9503, Schleicher County, Texas","3061","*****"
"1400000US48417950300","Census Tract 9503, Shackelford County, Texas","3311","*****"
"1400000US48421950200","Census Tract 9502, Sherman County, Texas","3058","*****"
"1400000US48435950300","Census Tract 9503, Sutton County, Texas","3865","*****"
"1400000US48113019213","Census Tract 192.13, Dallas County, Texas","3518","392"
"1400000US48085032011","Census Tract 320.11, Collin County, Texas","7626","548"
"1400000US48201350700","Census Tract 3507, Harris County, Texas","2490","254"
"1400000US48375015000","Census Tract 150, Potter County, Texas","7278","684"
"1400000US48029170500","Census Tract 1705, Bexar County, Texas","4887","800"
"1400000US48389950400","Census Tract 9504, Reeves County, Texas","4675","464"
"1400000US48167722900","Census Tract 7229, Galveston County, Texas","2640","323"
"1400000US48245007100","Census Tract 71, Jefferson County, Texas","3581","372"
"1400000US48201410100","Census Tract 4101, Harris County, Texas","4499","462"
"1400000US48427950106","Census Tract 9501.06, Starr County, Texas","3052","417"
"1400000US48491020504","Census Tract 205.04, Williamson County, Texas","10445","792"
"1400000US48453001813","Census Tract 18.13, Travis County, Texas","7423","596"
"1400000US48167725900","Census Tract 7259, Galveston County, Texas","2475","255"
"1400000US48121020203","Census Tract 202.03, Denton County, Texas","6420","361"
"1400000US48113008603","Census Tract 86.03, Dallas County, Texas","747","219"
"1400000US48141004201","Census Tract 42.01, El Paso County, Texas","5510","625"
"1400000US48049950800","Census Tract 9508, Brown County, Texas","2761","335"
"1400000US48355005407","Census Tract 54.07, Nueces County, Texas","2927","336"
"1400000US48491021000","Census Tract 210, Williamson County, Texas","3095","411"
"1400000US48169950100","Census Tract 9501, Garza County, Texas","6288","188"
"1400000US48201510700","Census Tract 5107, Harris County, Texas","4544","451"
"1400000US48053960500","Census Tract 9605, Burnet County, Texas","6358","375"
"1400000US48439113403","Census Tract 1134.03, Tarrant County, Texas","2931","461"
"1400000US48201312400","Census Tract 3124, Harris County, Texas","2212","361"
"1400000US48113013611","Census Tract 136.11, Dallas County, Texas","2634","295"
"1400000US48159950200","Census Tract 9502, Franklin County, Texas","2675","174"
"1400000US48085032013","Census Tract 320.13, Collin County, Texas","6285","808"
"1400000US48439110704","Census Tract 1107.04, Tarrant County, Texas","4784","438"
"1400000US48339692500","Census Tract 6925, Montgomery County, Texas","9584","845"
"1400000US48453001908","Census Tract 19.08, Travis County, Texas","9409","794"
"1400000US48215020726","Census Tract 207.26, Hidalgo County, Texas","7378","997"
"1400000US48113017201","Census Tract 172.01, Dallas County, Texas","5636","607"
"1400000US48141004314","Census Tract 43.14, El Paso County, Texas","4809","409"
"1400000US48121021636","Census Tract 216.36, Denton County, Texas","7148","532"
"1400000US48029121501","Census Tract 1215.01, Bexar County, Texas","9767","851"
"1400000US48439113810","Census Tract 1138.10, Tarrant County, Texas","4757","341"
"1400000US48441010300","Census Tract 103, Taylor County, Texas","2347","253"
"1400000US48355001100","Census Tract 11, Nueces County, Texas","1884","294"
"1400000US48201320900","Census Tract 3209, Harris County, Texas","7272","635"
"1400000US48201520700","Census Tract 5207, Harris County, Texas","4072","449"
